	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026152_Torulaspora_franciscae
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL075C, YEL077C, YER189W, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	genemark-flattened_line_101-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.0&CDS=1-1815, snap_masked-flattened_line_161-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_161-processed-gene-0.1&CDS=1-810, snap_masked-flattened_line_54-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.13&CDS=1-1110, snap_masked-flattened_line_65-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.3&CDS=1-1005
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	augustus_masked-flattened_line_1-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-5.73&CDS=1-885, snap_masked-flattened_line_0-processed-gene-15.123-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.123&CDS=1-1086, snap_masked-flattened_line_0-processed-gene-4.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.46&CDS=1-1086
2	OG0000002	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	
3	OG0000003		augustus_masked-flattened_line_3-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-6.51&CDS=1-429, augustus_masked-flattened_line_80-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.2&CDS=1-2490, snap_masked-flattened_line_127-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_127-processed-gene-0.1&CDS=1-546, snap_masked-flattened_line_18-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.100&CDS=1-312, snap_masked-flattened_line_18-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.103&CDS=1-756, snap_masked-flattened_line_203-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_203-processed-gene-0.0&CDS=1-279, snap_masked-flattened_line_205-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_205-processed-gene-0.0&CDS=1-279, snap_masked-flattened_line_54-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.18&CDS=1-675, snap_masked-flattened_line_67-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.7&CDS=1-780, snap_masked-flattened_line_96-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.2&CDS=1-201
4	OG0000004		augustus_masked-flattened_line_129-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.2&CDS=1-639, augustus_masked-flattened_line_32-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.91&CDS=1-1506, snap_masked-flattened_line_20-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.110&CDS=1-1026, snap_masked-flattened_line_34-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.86&CDS=1-1137, snap_masked-flattened_line_36-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.140&CDS=1-219, snap_masked-flattened_line_5-processed-gene-5.10-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.10&CDS=1-1146, snap_masked-flattened_line_77-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.2&CDS=1-639, snap_masked-flattened_line_77-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.3&CDS=1-666
5	OG0000005	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_50-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.26&CDS=1-1200
6	OG0000006	YAR071W, YBR092C, YBR093C, YHR215W	snap_masked-flattened_line_0-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.68&CDS=1-1395, snap_masked-flattened_line_0-processed-gene-18.183-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.183&CDS=1-1395
7	OG0000007	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_3-processed-gene-6.83-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.83&CDS=1-813, snap_masked-flattened_line_50-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.37&CDS=1-726
8	OG0000008	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_48-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.4&CDS=1-276, maker-flattened_line_48-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.6&CDS=1-864
9	OG0000009		maker-flattened_line_65-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_65-snap-gene-0.1&CDS=1-1941, snap_masked-flattened_line_135-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.1&CDS=1-219, snap_masked-flattened_line_145-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.1&CDS=1-615, snap_masked-flattened_line_163-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.1&CDS=1-219, snap_masked-flattened_line_183-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_183-processed-gene-0.1&CDS=1-606, snap_masked-flattened_line_90-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.0&CDS=1-258
