	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034979_Cyberlindnera_misumaiensis
0	OG0000000	YCL025C, YDR508C, YGR191W, YKR039W	snap_masked-flattened_line_133-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.51&CDS=1-1755, snap_masked-flattened_line_16-processed-gene-1.134-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.134&CDS=1-1743, snap_masked-flattened_line_16-processed-gene-1.178-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.178&CDS=1-1734, snap_masked-flattened_line_65-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.111&CDS=1-1734, snap_masked-flattened_line_65-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.139&CDS=1-1737, snap_masked-flattened_line_83-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.124&CDS=1-1755, snap_masked-flattened_line_97-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.74&CDS=1-1746
1	OG0000001	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
2	OG0000002	YDR134C, YLR110C	augustus_masked-flattened_line_153-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_153-processed-gene-0.17&CDS=1-861, maker-flattened_line_59-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_59-augustus-gene-0.7&CDS=1-3783, snap_masked-flattened_line_0-processed-gene-6.47-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.47&CDS=1-738, snap_masked-flattened_line_179-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_179-processed-gene-0.6&CDS=1-1194, snap_masked-flattened_line_2-processed-gene-4.91-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.91&CDS=1-1074, snap_masked-flattened_line_24-processed-gene-0.249-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.249&CDS=1-399, snap_masked-flattened_line_4-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.104&CDS=1-2526, snap_masked-flattened_line_53-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.66&CDS=1-816
3	OG0000003	YBR240C	augustus_masked-flattened_line_10-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.127&CDS=1-1833, genemark-flattened_line_175-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_175-processed-gene-0.7&CDS=1-636, maker-flattened_line_135-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_135-snap-gene-0.40&CDS=1-1746, snap_masked-flattened_line_10-processed-gene-2.198-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.198&CDS=1-1533, snap_masked-flattened_line_107-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.15&CDS=1-1440, snap_masked-flattened_line_109-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.11&CDS=1-267, snap_masked-flattened_line_43-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.41&CDS=1-582, snap_masked-flattened_line_89-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.38&CDS=1-1041
4	OG0000004	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_2-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.141&CDS=1-858, augustus_masked-flattened_line_6-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.163&CDS=1-738, snap_masked-flattened_line_109-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.7&CDS=1-1746, snap_masked-flattened_line_131-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.36&CDS=1-663
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_6-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.80&CDS=1-960
6	OG0000006	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_12-processed-gene-1.160-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.160&CDS=1-1029, snap_masked-flattened_line_20-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.106&CDS=1-1047, snap_masked-flattened_line_22-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.113&CDS=1-1029, snap_masked-flattened_line_4-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.77&CDS=1-1029
7	OG0000007	YFL054C, YLL043W	augustus_masked-flattened_line_16-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.0&CDS=1-285, augustus_masked-flattened_line_260-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_260-processed-gene-0.7&CDS=1-285, augustus_masked-flattened_line_260-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_260-processed-gene-0.8&CDS=1-498, augustus_masked-flattened_line_354-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_354-processed-gene-0.2&CDS=1-657, maker-flattened_line_30-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.108&CDS=1-1041, snap_masked-flattened_line_38-processed-gene-0.203-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.203&CDS=1-447
8	OG0000008	YGL257C, YNR059W, YPL153C	augustus_masked-flattened_line_10-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.143&CDS=1-4239, maker-flattened_line_2-augustus-gene-4.129-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.129&CDS=1-2553, snap_masked-flattened_line_0-processed-gene-6.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.46&CDS=1-1986, snap_masked-flattened_line_4-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.71&CDS=1-2496, snap_masked-flattened_line_4-processed-gene-3.129-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.129&CDS=1-2151
9	OG0000009	YAL051W, YOR363C	maker-flattened_line_2-augustus-gene-3.64-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.64&CDS=1-4023, maker-flattened_line_2-snap-gene-3.69-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-3.69&CDS=1-2673, maker-flattened_line_39-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_39-snap-gene-0.86&CDS=1-2529, snap_masked-flattened_line_36-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.180&CDS=1-2292, snap_masked-flattened_line_55-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.89&CDS=1-2469
