	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035691_Candida_salmanticensis
0	OG0000000	YNL274C, YPR022C	genemark-flattened_line_18-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.119&CDS=1-999, genemark-flattened_line_2-processed-gene-6.70-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.70&CDS=1-2199, genemark-flattened_line_24-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.35&CDS=1-2322, genemark-flattened_line_28-processed-gene-1.242-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.242&CDS=1-999, genemark-flattened_line_28-processed-gene-1.286-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.286&CDS=1-990, genemark-flattened_line_32-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.99&CDS=1-2787, genemark-flattened_line_52-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.26&CDS=1-990, maker-flattened_line_12-snap-gene-0.46-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.46&CDS=1-2496, maker-flattened_line_8-augustus-gene-5.264-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-5.264&CDS=1-2925
1	OG0000001	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_28-processed-gene-1.258-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.258&CDS=1-1644, genemark-flattened_line_30-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.105&CDS=1-1647, genemark-flattened_line_30-processed-gene-1.276-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.276&CDS=1-1689, genemark-flattened_line_8-processed-gene-5.244-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.244&CDS=1-1581, genemark-flattened_line_92-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.43&CDS=1-1626, snap_masked-flattened_line_80-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.40&CDS=1-1662
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_106-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.16&CDS=1-1770, genemark-flattened_line_20-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.125&CDS=1-1746, genemark-flattened_line_34-processed-gene-1.197-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.197&CDS=1-1695
3	OG0000003	YDR242W	genemark-flattened_line_34-processed-gene-1.212-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.212&CDS=1-1578, genemark-flattened_line_34-processed-gene-1.255-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.255&CDS=1-1626, genemark-flattened_line_76-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.71&CDS=1-1641, genemark-flattened_line_8-processed-gene-5.191-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.191&CDS=1-1641, genemark-flattened_line_8-processed-gene-5.211-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.211&CDS=1-1578, genemark-flattened_line_8-processed-gene-5.247-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.247&CDS=1-1626, maker-flattened_line_52-augustus-gene-0.61-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.61&CDS=1-1689
4	OG0000004	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W	genemark-flattened_line_10-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.114&CDS=1-1743, genemark-flattened_line_10-processed-gene-4.90-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.90&CDS=1-1674
5	OG0000005	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_2-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.103&CDS=1-3123, genemark-flattened_line_64-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.119&CDS=1-2067, genemark-flattened_line_8-processed-gene-5.217-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.217&CDS=1-2283
6	OG0000006	YPR194C	augustus_masked-flattened_line_2-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.115&CDS=1-2706, augustus_masked-flattened_line_30-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.165&CDS=1-2562, genemark-flattened_line_12-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.137&CDS=1-2829, genemark-flattened_line_2-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.25&CDS=1-2511, genemark-flattened_line_28-processed-gene-1.265-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.265&CDS=1-2757, genemark-flattened_line_50-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.22&CDS=1-2658
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_92-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.44&CDS=1-1434
8	OG0000008	YBR160W, YFL029C, YPR161C	augustus_masked-flattened_line_40-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.119&CDS=1-954, genemark-flattened_line_2-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.116&CDS=1-1434, genemark-flattened_line_34-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.136&CDS=1-1029
9	OG0000009	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_34-processed-gene-1.239-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.239&CDS=1-1839, genemark-flattened_line_8-processed-gene-5.188-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.188&CDS=1-1959
10	OG0000010	YCR105W, YMR318C	genemark-flattened_line_106-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.15&CDS=1-1044, genemark-flattened_line_34-processed-gene-1.214-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.214&CDS=1-1044, genemark-flattened_line_8-processed-gene-5.213-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.213&CDS=1-1044, genemark-flattened_line_88-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.9&CDS=1-1044
11	OG0000011	YDL138W, YDL194W, YIL162W	genemark-flattened_line_28-processed-gene-1.287-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.287&CDS=1-1485, genemark-flattened_line_8-processed-gene-5.205-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.205&CDS=1-1482, maker-flattened_line_8-snap-gene-5.257-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-5.257&CDS=1-4572
12	OG0000012	YER062C, YHR043C, YHR044C, YIL053W	genemark-flattened_line_10-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.122&CDS=1-669, genemark-flattened_line_40-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.123&CDS=1-687
