	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034957_Hanseniaspora_osmophila
0	OG0000000	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_344-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_344-processed-gene-0.3&CDS=1-969, augustus_masked-flattened_line_352-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_352-processed-gene-0.1&CDS=1-966, genemark-flattened_line_107-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_107-processed-gene-0.78&CDS=1-1026, genemark-flattened_line_162-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_162-processed-gene-0.24&CDS=1-1035
1	OG0000001	YHR179W, YPL171C	genemark-flattened_line_10-processed-gene-1.135-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.135&CDS=1-1182, genemark-flattened_line_10-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.92&CDS=1-1182, genemark-flattened_line_109-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.41&CDS=1-1191, genemark-flattened_line_178-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_178-processed-gene-0.6&CDS=1-1185, maker-flattened_line_4-snap-gene-2.192-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.192&CDS=1-2367
2	OG0000002	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_162-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_162-processed-gene-0.44&CDS=1-1764, augustus_masked-flattened_line_294-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_294-processed-gene-0.4&CDS=1-3387, snap_masked-flattened_line_55-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.52&CDS=1-3501
3	OG0000003	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
4	OG0000004	YBR068C, YCL025C, YDR508C	augustus_masked-flattened_line_8-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.54&CDS=1-5157, genemark-flattened_line_8-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.103&CDS=1-1815, snap_masked-flattened_line_8-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.8&CDS=1-3621
5	OG0000005	YDL037C, YIR019C	augustus_masked-flattened_line_13-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-0.46&CDS=1-876, augustus_masked-flattened_line_13-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-0.47&CDS=1-939, augustus_masked-flattened_line_21-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.91&CDS=1-3006, augustus_masked-flattened_line_21-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.92&CDS=1-1140
6	OG0000006	YDR342C, YDR343C, YHR092C	genemark-flattened_line_31-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.107&CDS=1-1713, genemark-flattened_line_31-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.108&CDS=1-1710, genemark-flattened_line_83-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.75&CDS=1-1695
7	OG0000007	YGL089C, YPL187W	genemark-flattened_line_68-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.57&CDS=1-3372, genemark-flattened_line_68-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.67&CDS=1-405, genemark-flattened_line_68-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.80&CDS=1-405, genemark-flattened_line_68-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.90&CDS=1-3372
8	OG0000008	YMR303C, YOL086C	genemark-flattened_line_115-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.37&CDS=1-1056, genemark-flattened_line_224-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_224-processed-gene-0.3&CDS=1-1122, genemark-flattened_line_41-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.21&CDS=1-1056, snap_masked-flattened_line_4-processed-gene-2.178-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.178&CDS=1-1221
9	OG0000009	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_230-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_230-snap-gene-0.5&CDS=1-435, maker-flattened_line_274-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_274-snap-gene-0.1&CDS=1-738
