	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035703_Cyberlindnera_americana
0	OG0000000	YBR240C, YDR207C	augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-1.162&CDS=1-1179, augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-0.134&CDS=1-1698, augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-1.185&CDS=1-1767, augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.139&CDS=1-1878, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-1.134&CDS=1-603, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-7.154&CDS=1-1731, augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-1.8&CDS=1-765, augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-4.165&CDS=1-1497, snap_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-2.217-mRNA-1_1&gene=snap_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-2.217&CDS=1-1467, snap_masked-NODE_29_length_51540_cov_88.1945_ID_4225-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_29_length_51540_cov_88.1945_ID_4225-processed-gene-0.51&CDS=1-1719, snap_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-5.25&CDS=1-1608, snap_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-1.64&CDS=1-378
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-3.134&CDS=1-1731, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-4.102&CDS=1-1752, augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-6.49&CDS=1-1755, augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-6.54&CDS=1-1731, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.128&CDS=1-1821, augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.123&CDS=1-1776, maker-NODE_8_length_523989_cov_78.18_ID_4014-snap-gene-0.124-mRNA-1_1&gene=maker-NODE_8_length_523989_cov_78.18_ID_4014-snap-gene-0.124&CDS=1-3507, snap_masked-NODE_25_length_65391_cov_63.2404_ID_4522-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_25_length_65391_cov_63.2404_ID_4522-processed-gene-0.7&CDS=1-1722
2	OG0000002	YAL051W, YOR363C	augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-2.62&CDS=1-2577, augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.94&CDS=1-1188, augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-0.118&CDS=1-2532, augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-0.140&CDS=1-2709, augustus_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-2.89&CDS=1-2736, augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.106&CDS=1-2229, augustus_masked-NODE_20_length_192012_cov_49.1612_ID_3234-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_20_length_192012_cov_49.1612_ID_3234-processed-gene-0.155&CDS=1-1764, augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-3.106&CDS=1-2556, maker-NODE_14_length_414941_cov_63.102_ID_3101-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_14_length_414941_cov_63.102_ID_3101-snap-gene-0.3&CDS=1-2706, maker-NODE_14_length_414941_cov_63.102_ID_3101-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_14_length_414941_cov_63.102_ID_3101-snap-gene-0.5&CDS=1-2610, maker-NODE_4_length_839664_cov_66.9286_ID_3363-augustus-gene-0.107-mRNA-1_1&gene=maker-NODE_4_length_839664_cov_66.9286_ID_3363-augustus-gene-0.107&CDS=1-3012
3	OG0000003	YJR152W	augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-3.24&CDS=1-1602, augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-0.97&CDS=1-1581, augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-1.173&CDS=1-1500, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-2.107&CDS=1-1575, augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-1.13&CDS=1-1587, augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-1.38&CDS=1-1533, augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-4.167-mRNA-1_1&gene=augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-4.167&CDS=1-1599, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.12&CDS=1-1584, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.26&CDS=1-1491, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-0.7&CDS=1-1569, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-2.98&CDS=1-1593, genemark-NODE_22_length_121182_cov_66.2256_ID_3548-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_22_length_121182_cov_66.2256_ID_3548-processed-gene-0.82&CDS=1-1563
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-3.121&CDS=1-1731, augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-3.144&CDS=1-1683, augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-4.85&CDS=1-3459
5	OG0000005	YMR169C, YMR170C, YOR374W, YPL061W	augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.24&CDS=1-1521, augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-1.178&CDS=1-1485, augustus_masked-NODE_23_length_107503_cov_65.3243_ID_3743-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_23_length_107503_cov_65.3243_ID_3743-processed-gene-0.153&CDS=1-1491, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-3.112&CDS=1-1500, maker-NODE_6_length_634179_cov_62.9887_ID_2943-snap-gene-1.119-mRNA-1_1&gene=maker-NODE_6_length_634179_cov_62.9887_ID_2943-snap-gene-1.119&CDS=1-1941, snap_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.0&CDS=1-1497
6	OG0000006	YOL119C, YOR306C	augustus_masked-NODE_20_length_192012_cov_49.1612_ID_3234-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_20_length_192012_cov_49.1612_ID_3234-processed-gene-0.121&CDS=1-1467, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-4.97&CDS=1-1329, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-6.60&CDS=1-1458, augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-1.176&CDS=1-1485, augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.193-mRNA-1_1&gene=augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.193&CDS=1-1425, maker-NODE_2_length_1009356_cov_73.9684_ID_2785-augustus-gene-2.57-mRNA-1_1&gene=maker-NODE_2_length_1009356_cov_73.9684_ID_2785-augustus-gene-2.57&CDS=1-2121, maker-NODE_3_length_897502_cov_76.7024_ID_2822-augustus-gene-6.115-mRNA-1_1&gene=maker-NODE_3_length_897502_cov_76.7024_ID_2822-augustus-gene-6.115&CDS=1-2070
7	OG0000007	YBR015C	augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.111&CDS=1-1758, augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-10.128&CDS=1-2265, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-4.102&CDS=1-1824, augustus_masked-NODE_34_length_20534_cov_74.1398_ID_4712-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_34_length_20534_cov_74.1398_ID_4712-processed-gene-0.8&CDS=1-1611, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-3.114&CDS=1-1644, augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-2.19&CDS=1-1683, augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-3.124&CDS=1-1911
8	OG0000008	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.265-mRNA-1_1&gene=augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.265&CDS=1-1764, augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.316-mRNA-1_1&gene=augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.316&CDS=1-1653, augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.317-mRNA-1_1&gene=augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-1.317&CDS=1-1743, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-3.99&CDS=1-1776
9	OG0000009	YDR242W	augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.1&CDS=1-1707, augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.5&CDS=1-1644, augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-2.62&CDS=1-1596, augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_19_length_227830_cov_99.5677_ID_3649-processed-gene-0.116&CDS=1-1614, augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-0.114&CDS=1-1725, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-0.23&CDS=1-1620, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.204-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.204&CDS=1-1647
