	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035032_Candida_gatunensis
0	OG0000000	YJR004C	augustus_masked-NODE_19_length_175028_cov_43.2758_ID_37-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_19_length_175028_cov_43.2758_ID_37-processed-gene-0.186&CDS=1-1488, augustus_masked-NODE_33_length_22022_cov_75.3543_ID_65-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_33_length_22022_cov_75.3543_ID_65-processed-gene-0.3&CDS=1-1815, augustus_masked-NODE_35_length_14281_cov_127.168_ID_69-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_35_length_14281_cov_127.168_ID_69-processed-gene-0.1&CDS=1-1410, augustus_masked-NODE_39_length_8042_cov_58.43_ID_77-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_39_length_8042_cov_58.43_ID_77-processed-gene-0.1&CDS=1-1065, augustus_masked-NODE_52_length_3663_cov_63.0968_ID_103-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_52_length_3663_cov_63.0968_ID_103-processed-gene-0.0&CDS=1-1011, augustus_masked-NODE_55_length_2691_cov_60.5689_ID_109-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_55_length_2691_cov_60.5689_ID_109-processed-gene-0.2&CDS=1-2013, augustus_masked-NODE_56_length_2352_cov_71.9364_ID_111-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_56_length_2352_cov_71.9364_ID_111-processed-gene-0.2&CDS=1-1407, augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-0.44&CDS=1-3348, augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-0.60&CDS=1-3255, augustus_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.97&CDS=1-2232, genemark-NODE_31_length_32389_cov_41.734_ID_61-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_31_length_32389_cov_41.734_ID_61-processed-gene-0.12&CDS=1-2181, genemark-NODE_36_length_12916_cov_110.356_ID_71-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_36_length_12916_cov_110.356_ID_71-processed-gene-0.0&CDS=1-1494, maker-NODE_43_length_6708_cov_58.2795_ID_85-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_43_length_6708_cov_58.2795_ID_85-augustus-gene-0.0&CDS=1-3111, maker-NODE_46_length_4858_cov_57.7781_ID_91-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_46_length_4858_cov_57.7781_ID_91-snap-gene-0.4&CDS=1-357, maker-NODE_5_length_653611_cov_35.0472_ID_9-augustus-gene-0.40-mRNA-1_1&gene=maker-NODE_5_length_653611_cov_35.0472_ID_9-augustus-gene-0.40&CDS=1-1146, snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-0.112&CDS=1-2058, snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.56&CDS=1-3846, snap_masked-NODE_27_length_43513_cov_51.6365_ID_53-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_27_length_43513_cov_51.6365_ID_53-processed-gene-0.17&CDS=1-1569, snap_masked-NODE_32_length_22552_cov_68.8833_ID_63-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_32_length_22552_cov_68.8833_ID_63-processed-gene-0.13&CDS=1-1218, snap_masked-NODE_32_length_22552_cov_68.8833_ID_63-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_32_length_22552_cov_68.8833_ID_63-processed-gene-0.14&CDS=1-1815, snap_masked-NODE_33_length_22022_cov_75.3543_ID_65-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_33_length_22022_cov_75.3543_ID_65-processed-gene-0.6&CDS=1-2742, snap_masked-NODE_46_length_4858_cov_57.7781_ID_91-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_46_length_4858_cov_57.7781_ID_91-processed-gene-0.6&CDS=1-1539, snap_masked-NODE_47_length_4525_cov_78.8476_ID_93-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_47_length_4525_cov_78.8476_ID_93-processed-gene-0.3&CDS=1-2001, snap_masked-NODE_64_length_1915_cov_56.4376_ID_127-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_64_length_1915_cov_56.4376_ID_127-processed-gene-0.0&CDS=1-1572
1	OG0000001	YDR178W, YGR156W, YLR164W	augustus_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-1.83&CDS=1-855, augustus_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.26&CDS=1-852, augustus_masked-NODE_41_length_7462_cov_28.4491_ID_81-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_41_length_7462_cov_28.4491_ID_81-processed-gene-0.9&CDS=1-933, maker-NODE_10_length_430571_cov_33.053_ID_19-augustus-gene-0.111-mRNA-1_1&gene=maker-NODE_10_length_430571_cov_33.053_ID_19-augustus-gene-0.111&CDS=1-1062, maker-NODE_17_length_192123_cov_33.9301_ID_33-snap-gene-0.281-mRNA-1_1&gene=maker-NODE_17_length_192123_cov_33.9301_ID_33-snap-gene-0.281&CDS=1-630, snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.71&CDS=1-1002, snap_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.10&CDS=1-969
2	OG0000002	YDR541C, YJL088W, YOL151W	augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-2.86&CDS=1-1980, snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-2.237-mRNA-1_1&gene=snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-2.237&CDS=1-1026, snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.106&CDS=1-1023, snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.84&CDS=1-1005, snap_masked-NODE_31_length_32389_cov_41.734_ID_61-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_31_length_32389_cov_41.734_ID_61-processed-gene-0.28&CDS=1-1002, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-3.85&CDS=1-1011, snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-5.72-mRNA-1_1&gene=snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-5.72&CDS=1-1008
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-5.132-mRNA-1_1&gene=snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-5.132&CDS=1-1719, snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-0.99&CDS=1-1707
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.103&CDS=1-1383, maker-NODE_4_length_670283_cov_33.1529_ID_7-snap-gene-1.107-mRNA-1_1&gene=maker-NODE_4_length_670283_cov_33.1529_ID_7-snap-gene-1.107&CDS=1-2685, snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-3.157-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-3.157&CDS=1-1386
5	OG0000005	YCL025C, YDR508C, YKR039W	snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.102&CDS=1-1806, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-3.101&CDS=1-1746, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.179-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.179&CDS=1-1731, snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-1.8&CDS=1-1767, snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-1.149&CDS=1-1698
6	OG0000006	YJR061W, YKL201C, YLR023C	augustus_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.178&CDS=1-2610, augustus_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-2.67&CDS=1-3711, snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-3.12&CDS=1-1575, snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-1.107&CDS=1-1989, snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-1.77&CDS=1-2589
7	OG0000007	YLR129W, YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-7.78&CDS=1-1791, maker-NODE_1_length_1143824_cov_34.5486_ID_1-augustus-gene-6.40-mRNA-1_1&gene=maker-NODE_1_length_1143824_cov_34.5486_ID_1-augustus-gene-6.40&CDS=1-5766, snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.164-mRNA-1_1&gene=snap_masked-NODE_13_length_362616_cov_35.2913_ID_25-processed-gene-2.164&CDS=1-1875
8	OG0000008	Q0065, Q0105, Q0110, Q0115, Q0120	maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.33-mRNA-1_1&gene=maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.33&CDS=1-783, maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.34&CDS=1-378, maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.36-mRNA-1_1&gene=maker-NODE_29_length_41578_cov_2077.72_ID_57-snap-gene-0.36&CDS=1-333
9	OG0000009	YDR134C, YLR110C	augustus_masked-NODE_130_length_658_cov_60.9088_ID_259-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_130_length_658_cov_60.9088_ID_259-processed-gene-0.1&CDS=1-654, augustus_masked-NODE_172_length_482_cov_93.1662_ID_343-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_172_length_482_cov_93.1662_ID_343-processed-gene-0.1&CDS=1-480, augustus_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.185&CDS=1-660, snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-0.103&CDS=1-924, snap_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_23_length_130505_cov_25.3406_ID_45-processed-gene-0.89&CDS=1-1314
10	OG0000010	YDR144C, YLR120C, YLR121C	genemark-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-6.45-mRNA-1_1&gene=genemark-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-6.45&CDS=1-2067, maker-NODE_14_length_357940_cov_25.5952_ID_27-snap-gene-0.36-mRNA-1_1&gene=maker-NODE_14_length_357940_cov_25.5952_ID_27-snap-gene-0.36&CDS=1-3240, snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-3.138&CDS=1-1257, snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-0.39&CDS=1-1257
11	OG0000011	YHR179W, YJR142W, YPL171C	maker-NODE_12_length_397345_cov_26.076_ID_23-augustus-gene-2.308-mRNA-1_1&gene=maker-NODE_12_length_397345_cov_26.076_ID_23-augustus-gene-2.308&CDS=1-1878, snap_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-3.160-mRNA-1_1&gene=snap_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-3.160&CDS=1-1197, snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-1.24&CDS=1-1197, snap_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-1.47&CDS=1-1197
12	OG0000012	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	
13	OG0000013	YBR150C, YOL089C	snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.180-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.180&CDS=1-2904, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.181-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.181&CDS=1-2730, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.182-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.182&CDS=1-2547, snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-3.15&CDS=1-1521
