	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034890_Ogataea_ramenticola
0	OG0000000	YCR106W, YDR207C, YKR064W, YLL054C	augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.64&CDS=1-3666, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-2.95&CDS=1-2928, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.16&CDS=1-3555, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.80&CDS=1-2943, augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.151&CDS=1-1056, augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.64&CDS=1-3294, augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.100&CDS=1-336, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.163&CDS=1-2349, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.176&CDS=1-2373, augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-0.65&CDS=1-2028, augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.95&CDS=1-2775, augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.91&CDS=1-3585, augustus_masked-NODE_38_length_78519_cov_90.4632_ID_75-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_38_length_78519_cov_90.4632_ID_75-processed-gene-0.39&CDS=1-1689, augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.54&CDS=1-1185, augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.153-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.153&CDS=1-3840, augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.154-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.154&CDS=1-3060, augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.113&CDS=1-2178, augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.21&CDS=1-3426, augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.151&CDS=1-3801, genemark-NODE_38_length_78519_cov_90.4632_ID_75-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_38_length_78519_cov_90.4632_ID_75-processed-gene-0.97&CDS=1-3126, maker-NODE_9_length_520025_cov_100.229_ID_17-augustus-gene-4.115-mRNA-1_1&gene=maker-NODE_9_length_520025_cov_100.229_ID_17-augustus-gene-4.115&CDS=1-4545, maker-NODE_9_length_520025_cov_100.229_ID_17-snap-gene-4.118-mRNA-1_1&gene=maker-NODE_9_length_520025_cov_100.229_ID_17-snap-gene-4.118&CDS=1-4587
1	OG0000001		augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.14&CDS=1-1893, augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.45&CDS=1-2139, augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.109&CDS=1-1284, augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.195&CDS=1-4002, augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-0.70&CDS=1-1503, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.71&CDS=1-3027, augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.53&CDS=1-1896, augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.101&CDS=1-2226, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.169&CDS=1-1659, augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.28&CDS=1-3408, augustus_masked-NODE_35_length_96598_cov_103.353_ID_69-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_35_length_96598_cov_103.353_ID_69-processed-gene-0.108&CDS=1-2493, augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.52&CDS=1-1779, augustus_masked-NODE_50_length_13717_cov_109.512_ID_99-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_50_length_13717_cov_109.512_ID_99-processed-gene-0.1&CDS=1-2040, augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.62&CDS=1-3123, genemark-NODE_50_length_13717_cov_109.512_ID_99-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_50_length_13717_cov_109.512_ID_99-processed-gene-0.5&CDS=1-2118, genemark-NODE_52_length_11452_cov_177.345_ID_103-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_52_length_11452_cov_177.345_ID_103-processed-gene-0.2&CDS=1-2004, maker-NODE_10_length_504736_cov_103.515_ID_19-augustus-gene-0.44-mRNA-1_1&gene=maker-NODE_10_length_504736_cov_103.515_ID_19-augustus-gene-0.44&CDS=1-3054, maker-NODE_17_length_294818_cov_144.65_ID_33-snap-gene-1.92-mRNA-1_1&gene=maker-NODE_17_length_294818_cov_144.65_ID_33-snap-gene-1.92&CDS=1-2190, maker-NODE_32_length_101364_cov_129.138_ID_63-augustus-gene-0.58-mRNA-1_1&gene=maker-NODE_32_length_101364_cov_129.138_ID_63-augustus-gene-0.58&CDS=1-1494, snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.88-mRNA-1_1&gene=snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.88&CDS=1-3009, snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.90&CDS=1-2601, snap_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.105&CDS=1-1083, snap_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.32&CDS=1-1884, snap_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.43&CDS=1-3570
2	OG0000002		augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-0.29&CDS=1-2040, augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.161&CDS=1-1725, augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.145&CDS=1-2859, augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.27&CDS=1-2406, augustus_masked-NODE_47_length_23880_cov_115.788_ID_93-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_47_length_23880_cov_115.788_ID_93-processed-gene-0.8&CDS=1-1569, augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.88&CDS=1-3534, augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.63&CDS=1-3750, genemark-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.10&CDS=1-2019, genemark-NODE_44_length_34901_cov_98.1484_ID_87-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_44_length_34901_cov_98.1484_ID_87-processed-gene-0.8&CDS=1-2502, genemark-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.19&CDS=1-1065, snap_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.166-mRNA-1_1&gene=snap_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.166&CDS=1-1794, snap_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.105&CDS=1-1431, snap_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.66&CDS=1-2259
3	OG0000003	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.86&CDS=1-1050, augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.103&CDS=1-2340, augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.102&CDS=1-1026, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.137&CDS=1-1038, augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.86&CDS=1-1014, maker-NODE_8_length_531287_cov_107.001_ID_15-snap-gene-4.200-mRNA-1_1&gene=maker-NODE_8_length_531287_cov_107.001_ID_15-snap-gene-4.200&CDS=1-1968
5	OG0000005	YJR152W	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.53&CDS=1-1485, augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-0.72&CDS=1-1443, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.38&CDS=1-1542, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.174&CDS=1-1551, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.184&CDS=1-1548, augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.67&CDS=1-1599, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-3.99&CDS=1-1602, augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-0.8&CDS=1-1524
6	OG0000006	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.106&CDS=1-1779, augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.136&CDS=1-1734, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.46&CDS=1-1785, augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-1.37&CDS=1-1713
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.75&CDS=1-2307, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.128&CDS=1-2868, augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.110&CDS=1-3186, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.57&CDS=1-2844
8	OG0000008	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.135&CDS=1-1488, augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.41&CDS=1-1497, augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.157&CDS=1-1503, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.47&CDS=1-1491, augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.100&CDS=1-1551
9	OG0000009	YOL119C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.124&CDS=1-1512, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.79&CDS=1-1425, augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.141&CDS=1-1506, augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.13&CDS=1-1698, genemark-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.105-mRNA-1_1&gene=genemark-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.105&CDS=1-1545, genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.46-mRNA-1_1&gene=genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.46&CDS=1-1302, snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.14&CDS=1-1467
