	OrthologID	Saccharomyces_cerevisiae	Spathaspora_gorwiae
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001		augustus_masked-LQMZ01000024.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000024.1-processed-gene-0.2&CDS=1-2670, augustus_masked-LQMZ01000053.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01000053.1-processed-gene-0.4&CDS=1-4299, augustus_masked-LQMZ01000482.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000482.1-processed-gene-0.2&CDS=1-2907, augustus_masked-LQMZ01000874.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01000874.1-processed-gene-0.1&CDS=1-168, augustus_masked-LQMZ01002122.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01002122.1-processed-gene-0.4&CDS=1-1827, augustus_masked-LQMZ01002235.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002235.1-processed-gene-0.0&CDS=1-2058, augustus_masked-LQMZ01002379.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002379.1-processed-gene-0.2&CDS=1-1431, augustus_masked-LQMZ01002470.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002470.1-processed-gene-0.0&CDS=1-1275, snap_masked-LQMZ01000224.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01000224.1-processed-gene-0.2&CDS=1-1050, snap_masked-LQMZ01000231.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01000231.1-processed-gene-0.1&CDS=1-180, snap_masked-LQMZ01000469.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMZ01000469.1-processed-gene-0.0&CDS=1-1149, snap_masked-LQMZ01001099.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01001099.1-processed-gene-0.2&CDS=1-1431, snap_masked-LQMZ01001830.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMZ01001830.1-processed-gene-0.0&CDS=1-5748, snap_masked-LQMZ01001989.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01001989.1-processed-gene-0.2&CDS=1-3555, snap_masked-LQMZ01002473.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LQMZ01002473.1-processed-gene-0.59&CDS=1-465, snap_masked-LQMZ01002478.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LQMZ01002478.1-processed-gene-0.17&CDS=1-804, snap_masked-LQMZ01002513.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQMZ01002513.1-processed-gene-0.10&CDS=1-3618, snap_masked-LQMZ01002513.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LQMZ01002513.1-processed-gene-0.8&CDS=1-4992, snap_masked-LQMZ01002513.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LQMZ01002513.1-processed-gene-0.9&CDS=1-3915
2	OG0000002		augustus_masked-LQMZ01000023.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01000023.1-processed-gene-0.3&CDS=1-783, augustus_masked-LQMZ01000023.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01000023.1-processed-gene-0.5&CDS=1-783, augustus_masked-LQMZ01000023.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMZ01000023.1-processed-gene-0.6&CDS=1-783, augustus_masked-LQMZ01000197.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01000197.1-processed-gene-0.8&CDS=1-789, augustus_masked-LQMZ01000543.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000543.1-processed-gene-0.16&CDS=1-765, augustus_masked-LQMZ01002025.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002025.1-processed-gene-0.0&CDS=1-1053, augustus_masked-LQMZ01002108.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LQMZ01002108.1-processed-gene-0.24&CDS=1-834, snap_masked-LQMZ01000837.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQMZ01000837.1-processed-gene-0.4&CDS=1-771, snap_masked-LQMZ01001676.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQMZ01001676.1-processed-gene-0.7&CDS=1-1074, snap_masked-LQMZ01001804.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01001804.1-processed-gene-0.2&CDS=1-762, snap_masked-LQMZ01002387.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LQMZ01002387.1-processed-gene-0.15&CDS=1-750, snap_masked-LQMZ01002387.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LQMZ01002387.1-processed-gene-0.16&CDS=1-849, snap_masked-LQMZ01002387.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LQMZ01002387.1-processed-gene-0.18&CDS=1-807
3	OG0000003	YJR061W, YJR144W, YKL201C	augustus_masked-LQMZ01000762.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01000762.1-processed-gene-0.1&CDS=1-2340, augustus_masked-LQMZ01000925.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01000925.1-processed-gene-0.1&CDS=1-1686, augustus_masked-LQMZ01001152.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001152.1-processed-gene-0.2&CDS=1-2574, augustus_masked-LQMZ01002309.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002309.1-processed-gene-0.1&CDS=1-2610, augustus_masked-LQMZ01002376.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002376.1-processed-gene-0.0&CDS=1-2316, augustus_masked-LQMZ01002448.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQMZ01002448.1-processed-gene-0.15&CDS=1-2133, maker-LQMZ01002314.1-augustus-gene-0.29-mRNA-1_1&gene=maker-LQMZ01002314.1-augustus-gene-0.29&CDS=1-3390, maker-LQMZ01002506.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMZ01002506.1-snap-gene-0.3&CDS=1-3612, snap_masked-LQMZ01002242.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQMZ01002242.1-processed-gene-0.3&CDS=1-3150
4	OG0000004	YKR064W	augustus_masked-LQMZ01000506.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000506.1-processed-gene-0.2&CDS=1-711, augustus_masked-LQMZ01001621.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001621.1-processed-gene-0.2&CDS=1-1122, augustus_masked-LQMZ01001644.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01001644.1-processed-gene-0.16&CDS=1-2934, augustus_masked-LQMZ01002513.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002513.1-processed-gene-0.1&CDS=1-3369, augustus_masked-LQMZ01002520.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002520.1-processed-gene-0.2&CDS=1-3252, genemark-LQMZ01000958.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01000958.1-processed-gene-0.2&CDS=1-3297, genemark-LQMZ01001055.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01001055.1-processed-gene-0.2&CDS=1-3447, genemark-LQMZ01001192.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01001192.1-processed-gene-0.0&CDS=1-4089, genemark-LQMZ01002520.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQMZ01002520.1-processed-gene-0.22&CDS=1-2955, maker-LQMZ01000338.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQMZ01000338.1-augustus-gene-0.1&CDS=1-5583, snap_masked-LQMZ01001919.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LQMZ01001919.1-processed-gene-0.14&CDS=1-2445
5	OG0000005	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	
6	OG0000006	YGL257C, YNR059W	augustus_masked-LQMZ01000114.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQMZ01000114.1-processed-gene-0.29&CDS=1-2109, augustus_masked-LQMZ01000943.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000943.1-processed-gene-0.0&CDS=1-2190, augustus_masked-LQMZ01001025.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001025.1-processed-gene-0.0&CDS=1-1098, augustus_masked-LQMZ01001576.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001576.1-processed-gene-0.2&CDS=1-603, augustus_masked-LQMZ01002386.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002386.1-processed-gene-0.1&CDS=1-2187, genemark-LQMZ01001662.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01001662.1-processed-gene-0.1&CDS=1-2208, genemark-LQMZ01001993.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQMZ01001993.1-processed-gene-0.8&CDS=1-2244, maker-LQMZ01000948.1-snap-gene-0.8-mRNA-1_1&gene=maker-LQMZ01000948.1-snap-gene-0.8&CDS=1-3735, snap_masked-LQMZ01002151.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LQMZ01002151.1-processed-gene-0.62&CDS=1-1029
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-LQMZ01000750.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01000750.1-processed-gene-0.10&CDS=1-1725, augustus_masked-LQMZ01001129.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQMZ01001129.1-processed-gene-0.12&CDS=1-1722
8	OG0000008	YDR011W, YNR070W, YOR153W	augustus_masked-LQMZ01000869.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000869.1-processed-gene-0.2&CDS=1-3591, augustus_masked-LQMZ01001858.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01001858.1-processed-gene-0.5&CDS=1-4497, augustus_masked-LQMZ01002154.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002154.1-processed-gene-0.1&CDS=1-4401, maker-LQMZ01001422.1-snap-gene-0.22-mRNA-1_1&gene=maker-LQMZ01001422.1-snap-gene-0.22&CDS=1-8769, maker-LQMZ01001523.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMZ01001523.1-snap-gene-0.0&CDS=1-8016, maker-LQMZ01001994.1-augustus-gene-0.4-mRNA-1_1&gene=maker-LQMZ01001994.1-augustus-gene-0.4&CDS=1-4473
9	OG0000009	YJR004C	augustus_masked-LQMZ01000875.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01000875.1-processed-gene-0.16&CDS=1-1443, genemark-LQMZ01002228.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMZ01002228.1-processed-gene-0.0&CDS=1-2385, genemark-LQMZ01002266.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01002266.1-processed-gene-0.1&CDS=1-4782, genemark-LQMZ01002446.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01002446.1-processed-gene-0.1&CDS=1-3222, snap_masked-LQMZ01001028.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01001028.1-processed-gene-0.1&CDS=1-1395, snap_masked-LQMZ01001028.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01001028.1-processed-gene-0.2&CDS=1-732, snap_masked-LQMZ01001793.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQMZ01001793.1-processed-gene-0.7&CDS=1-3288, snap_masked-LQMZ01002171.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01002171.1-processed-gene-0.1&CDS=1-2841
