	OrthologID	Dekkera_bruxellensis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-scaffold_5-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.67&CDS=1-1584, genemark-scaffold_10-processed-gene-2.105-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.105&CDS=1-1575, genemark-scaffold_10-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.75&CDS=1-375, genemark-scaffold_10-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.76&CDS=1-375, maker-scaffold_10-snap-gene-2.121-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.121&CDS=1-489	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL171W, YJL214W, YJL219W, YLR081W, YOL156W
1	OG0000001	augustus_masked-scaffold_11-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.94&CDS=1-4533, augustus_masked-scaffold_17-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.88&CDS=1-2619, augustus_masked-scaffold_6-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.80&CDS=1-5466, genemark-scaffold_13-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.100&CDS=1-2184, genemark-scaffold_3-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.51&CDS=1-2496, genemark-scaffold_3-processed-gene-8.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.14&CDS=1-3081, genemark-scaffold_8-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.90&CDS=1-2589, genemark-scaffold_9-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.23&CDS=1-2991, maker-scaffold_16-snap-gene-0.186-mRNA-1_1&gene=maker-scaffold_16-snap-gene-0.186&CDS=1-3630, snap_masked-scaffold_1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.26&CDS=1-2709	YKR064W, YLR256W
2	OG0000002		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
3	OG0000003	genemark-scaffold_1-processed-gene-4.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.57&CDS=1-1794, genemark-scaffold_17-processed-gene-0.128-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.128&CDS=1-1641, genemark-scaffold_22-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.21&CDS=1-1686, genemark-scaffold_22-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.22&CDS=1-1677	YCL069W, YGR224W, YKR105C, YPR198W
4	OG0000004	genemark-scaffold_1-processed-gene-17.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.58&CDS=1-1773, genemark-scaffold_17-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.107&CDS=1-1752, genemark-scaffold_23-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.18&CDS=1-1758, genemark-scaffold_24-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.14&CDS=1-1761	YGR287C, YIL172C, YJL221C, YOL157C
5	OG0000005	genemark-scaffold_12-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.73&CDS=1-2871, genemark-scaffold_2-processed-gene-15.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.28&CDS=1-2223, genemark-scaffold_3-processed-gene-1.74-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.74&CDS=1-2955, genemark-scaffold_9-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.58&CDS=1-2934	YER013W, YGL120C, YKR086W, YNR011C
6	OG0000006	augustus_masked-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.100&CDS=1-1647, genemark-scaffold_1-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.43&CDS=1-1614, genemark-scaffold_17-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.115&CDS=1-1665, genemark-scaffold_18-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.20&CDS=1-1638, genemark-scaffold_2-processed-gene-10.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.101&CDS=1-1662, genemark-scaffold_2-processed-gene-8.45-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.45&CDS=1-1716	YDR242W
7	OG0000007	augustus_masked-scaffold_1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.6&CDS=1-2181, augustus_masked-scaffold_10-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.10&CDS=1-1914, augustus_masked-scaffold_10-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.11&CDS=1-2520, genemark-scaffold_18-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.2&CDS=1-1953, genemark-scaffold_20-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.27&CDS=1-2274, genemark-scaffold_21-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.28&CDS=1-1836, genemark-scaffold_7-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.116&CDS=1-330	
8	OG0000008	augustus_masked-scaffold_1-processed-gene-16.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.61&CDS=1-4128, genemark-scaffold_5-processed-gene-3.78-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.78&CDS=1-1851, snap_masked-scaffold_3-processed-gene-5.15-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.15&CDS=1-3693	YCL024W, YDR477W, YDR507C, YKL101W
9	OG0000009	genemark-scaffold_3-processed-gene-7.59-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.59&CDS=1-1431, genemark-scaffold_6-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.85&CDS=1-1353	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
10	OG0000010	genemark-scaffold_1-processed-gene-15.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.81&CDS=1-1533, genemark-scaffold_2-processed-gene-13.44-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.44&CDS=1-1650, genemark-scaffold_3-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.24&CDS=1-1647, genemark-scaffold_3-processed-gene-6.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.20&CDS=1-1671, snap_masked-scaffold_2-processed-gene-9.23-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.23&CDS=1-1620	YKL217W
11	OG0000011	maker-scaffold_10-augustus-gene-1.133-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-1.133&CDS=1-1895, maker-scaffold_12-augustus-gene-1.266-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-1.266&CDS=1-1080, maker-scaffold_42-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_42-snap-gene-0.0&CDS=1-1866, maker-scaffold_7-augustus-gene-4.203-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.203&CDS=1-462, snap_masked-scaffold_3-processed-gene-8.94-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.94&CDS=1-711	YCL075W
12	OG0000012	genemark-scaffold_12-processed-gene-1.201-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.201&CDS=1-1758, genemark-scaffold_17-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.102&CDS=1-1806, genemark-scaffold_6-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.17&CDS=1-1758, maker-scaffold_12-augustus-gene-1.265-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-1.265&CDS=1-2118	YJL172W, YOL153C
13	OG0000013	genemark-scaffold_16-processed-gene-0.148-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.148&CDS=1-1971, genemark-scaffold_22-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.20&CDS=1-1962	YBR297W, YFL052W, YGR288W, YPR196W
14	OG0000014	genemark-scaffold_3-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.41&CDS=1-1788, genemark-scaffold_3-processed-gene-16.218-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.218&CDS=1-1758, maker-scaffold_23-augustus-gene-0.36-mRNA-1_1&gene=maker-scaffold_23-augustus-gene-0.36&CDS=1-1215	YBR298C, YDL247W, YJR160C
15	OG0000015	genemark-scaffold_3-processed-gene-5.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.67&CDS=1-3669, snap_masked-scaffold_8-processed-gene-3.190-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.190&CDS=1-1338	YMR070W, YPL230W, YPR013C, YPR015C
16	OG0000016	genemark-scaffold_4-processed-gene-8.192-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.192&CDS=1-4833, genemark-scaffold_5-processed-gene-8.74-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.74&CDS=1-5655, genemark-scaffold_6-processed-gene-1.65-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.65&CDS=1-4575	YDR011W, YNR070W, YOR153W
17	OG0000017	genemark-scaffold_8-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.125&CDS=1-2118	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
18	OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
19	OG0000019	augustus_masked-scaffold_12-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.123&CDS=1-1596, augustus_masked-scaffold_12-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.157&CDS=1-1602, genemark-scaffold_1-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.41&CDS=1-1473, snap_masked-scaffold_12-processed-gene-1.77-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-1.77&CDS=1-1617	YJR152W
