	OrthologID	Candida_albicans	Saccharomyces_cerevisiae
0	OG0000000	C1_11020W_A, C2_05070W_A, C4_04320W_A, C4_05770C_A, C4_05780C_A, C4_05840W_A, C5_01360W_A, C5_01380W_A, CR_06670W_A, CR_06870C_A, CR_07280W_A, CR_07290W_A, CR_07300W_A	
1	OG0000001	C2_08580W_B&Allele&of&C2_08580W_A, C2_08590W_A, C5_04130C_A	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
2	OG0000002	C2_01000W_A, C2_01010W_A, C2_01020W_A	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W
3	OG0000003	C3_06190C_A, C3_06320W_A, C6_03690W_A, C6_03700W_A, C6_03710W_A, C6_04130C_A, C6_04380W_A, CR_07070C_A	YJR004C
4	OG0000004	C3_05910W_A, C3_05920W_A, C3_05930W_A, C3_07860C_A, C5_02430W_A, C5_03320C_A, C5_03330C_A, C7_03220C_A	YLR256W
5	OG0000005	C1_02670C_A, C1_02680C_A, C2_03690C_A, C2_03710W_A, C4_06540W_B&Allele&of&C4_06540W_A, C4_06990W_A, C6_02830W_A	YJR061W, YKL201C
6	OG0000006	C5_04940W_A, CR_10790W_A	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
7	OG0000007	C1_02980W_A, C2_01630W_A, C2_08080C_A, C2_08850C_A, C4_05390W_A	YGL185C, YNL274C, YPL113C
8	OG0000008	C1_04900W_A, C1_10300W_A, C3_05610W_A, C5_02570W_B&Allele&of&C5_02570W_A, C5_02630C_A	YGL257C, YIL014W, YNR059W
9	OG0000009	C2_02880C_A, C6_01180C_A, C6_01410C_A, C6_01420C_A, C6_01510W_A, CR_01200W_A	YHR179W, YPL171C
10	OG0000010	C2_00060C_A, C2_08170W_A, C5_03650C_A, C5_03690W_A, C5_03970W_A, C5_04380C_A, C5_05180W_A	YGR263C
11	OG0000011	C4_02070W_A, CR_02180W_A, CR_02400W_A	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
12	OG0000012	C2_10180W_A, C4_06280C_A, C6_04410C_A, CR_03280W_A, CR_03300C_A	YCR102C, YLR460C, YNL134C
13	OG0000013	C1_10070C_A, C1_10720C_A, C2_01300C_A, C4_04770C_A, CR_05300C_A	YBR015C, YJL186W
14	OG0000014	C1_09210C_A, C5_01270W_A, C6_01400W_A	YCL069W, YGR224W, YKR105C, YPR198W
15	OG0000015	C2_05950C_A, C2_05960C_A, C2_05970C_A, C2_05980C_A, C2_05990C_A	YJR019C
16	OG0000016	C1_08230C_A, C6_01990W_A, CR_09690C_A	YMR006C, YMR008C, YOL011W
17	OG0000017	C2_08360C_A, C4_01320C_A, CR_02220C_A, CR_02240C_A, CR_02490W_A	YPR194C
18	OG0000018	C1_01140C_A, C7_00660W_A	YER054C, YIL045W, YLR273C, YOR178C
19	OG0000019	C3_03110W_A, C3_03980C_A, C7_03420C_A, C7_03440W_A	YGR197C, YJR015W
20	OG0000020	C1_08070W_A, C3_04070C_A, C3_04890W_A, C3_05220W_A	YDR406W, YOR153W
21	OG0000021	C2_08240W_A, C3_06940W_A	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
22	OG0000022	C3_03580C_A, C3_03600C_A, C3_03720W_A, C3_05630W_A	YIR038C
23	OG0000023	C2_06070W_A, C3_02810C_A, C3_05980C_A, C7_04180W_A	YER015W
24	OG0000024	C1_06860W_A, C2_06460W_A, C2_06470W_A, CR_09680C_A	YOR049C
25	OG0000025	CR_04420C_A	YBR067C, YER011W, YIL011W, YOR010C
26	OG0000026	C1_02050C_A, C1_05940W_A	YCR037C, YJL198W, YNR013C
27	OG0000027	C3_03120C_A, C3_03640W_A, C3_04160W_A, C5_01670W_A	YJR152W
28	OG0000028	C1_08210C_A, C7_02330W_B&Allele&of&C7_02330W_A, CR_08200C_A	YDR135C, YLL015W
29	OG0000029	C2_10230W_B&Allele&of&C2_10230W_A, C6_01500C_A	YDR253C, YGR067C, YPL038W
30	OG0000030	C6_00330C_A, CR_09910W_A, CR_09920W_A	YCL025C, YDR508C
31	OG0000031	C5_01830C_A, C5_01840C_A, C5_01850C_A	YBR150C, YOL089C
32	OG0000032	C6_00440C_A, C6_00460C_A, C6_00470C_A, C6_00480C_A	YMR058W
33	OG0000033	C5_04930C_A	YBR298C, YDL247W, YGR289C, YJR160C
34	OG0000034	C2_08870C_A	YJL158C, YJL160C, YKL163W, YKL164C
35	OG0000035	C1_00390W_A, C7_02910W_A	YDR038C, YDR039C, YDR040C
36	OG0000036	CR_09290W_A	YDL244W, YFL058W, YJR156C, YNL332W
37	OG0000037	C1_11400C_A, C5_02840C_A	YCL024W, YDR507C, YKL101W
38	OG0000038	C6_00830C_A, C6_00960W_A, C6_01060C_A	YEL063C, YNL270C
39	OG0000039	CR_09210W_A	YBR297W, YFL052W, YGR288W, YPR196W
40	OG0000040	C1_12490W_A	YBL017C, YIL173W, YJL222W, YNR065C
41	OG0000041		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
