	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035686_Cyberlindnera_saturnus
0	OG0000000	YER187W	augustus_masked-flattened_line_134-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.16&CDS=1-1026, augustus_masked-flattened_line_15-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.64&CDS=1-705, augustus_masked-flattened_line_154-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.5&CDS=1-2004, augustus_masked-flattened_line_25-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.20&CDS=1-657, augustus_masked-flattened_line_308-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_308-processed-gene-0.0&CDS=1-1398, augustus_masked-flattened_line_34-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.158&CDS=1-1314, augustus_masked-flattened_line_462-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_462-processed-gene-0.1&CDS=1-573, augustus_masked-flattened_line_56-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.151&CDS=1-801, augustus_masked-flattened_line_60-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.71&CDS=1-1737, augustus_masked-flattened_line_62-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.24&CDS=1-1773, augustus_masked-flattened_line_64-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.89&CDS=1-963, augustus_masked-flattened_line_82-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.39&CDS=1-1593, snap_masked-flattened_line_125-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.5&CDS=1-1737, snap_masked-flattened_line_148-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.0&CDS=1-2547, snap_masked-flattened_line_194-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_194-processed-gene-0.9&CDS=1-1989, snap_masked-flattened_line_260-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_260-processed-gene-0.0&CDS=1-966, snap_masked-flattened_line_42-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.27&CDS=1-1179, snap_masked-flattened_line_42-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.28&CDS=1-1176, snap_masked-flattened_line_42-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.29&CDS=1-597, snap_masked-flattened_line_60-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.24&CDS=1-1404, snap_masked-flattened_line_86-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.64&CDS=1-1008, snap_masked-flattened_line_86-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.67&CDS=1-567, snap_masked-flattened_line_9-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.38&CDS=1-420, snap_masked-flattened_line_92-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.62&CDS=1-1695
1	OG0000001	YCL075W	augustus_masked-flattened_line_230-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.0&CDS=1-702, augustus_masked-flattened_line_326-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_326-processed-gene-0.2&CDS=1-1338, augustus_masked-flattened_line_374-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_374-processed-gene-0.0&CDS=1-717, augustus_masked-flattened_line_388-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_388-processed-gene-0.1&CDS=1-942, augustus_masked-flattened_line_440-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_440-processed-gene-0.0&CDS=1-876, augustus_masked-flattened_line_578-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_578-processed-gene-0.2&CDS=1-318, augustus_masked-flattened_line_60-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.53&CDS=1-507, augustus_masked-flattened_line_642-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_642-processed-gene-0.1&CDS=1-375, augustus_masked-flattened_line_68-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.151&CDS=1-1941, augustus_masked-flattened_line_922-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_922-processed-gene-0.1&CDS=1-279, augustus_masked-flattened_line_96-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.113&CDS=1-480, snap_masked-flattened_line_1042-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1042-processed-gene-0.0&CDS=1-195, snap_masked-flattened_line_380-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_380-processed-gene-0.2&CDS=1-339, snap_masked-flattened_line_450-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_450-processed-gene-0.0&CDS=1-462, snap_masked-flattened_line_710-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_710-processed-gene-0.0&CDS=1-270
2	OG0000002	YGL257C, YNR059W	augustus_masked-flattened_line_125-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.21&CDS=1-2130, augustus_masked-flattened_line_13-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-1.86&CDS=1-2256, augustus_masked-flattened_line_54-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.159&CDS=1-2055, augustus_masked-flattened_line_68-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.158&CDS=1-1953, augustus_masked-flattened_line_8-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.19&CDS=1-2079, augustus_masked-flattened_line_8-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.79&CDS=1-2079, genemark-flattened_line_13-processed-gene-3.162-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.162&CDS=1-2355, genemark-flattened_line_52-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.8&CDS=1-1371, genemark-flattened_line_78-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.12&CDS=1-1374, snap_masked-flattened_line_52-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.129&CDS=1-1995
3	OG0000003	YBR240C, YDR207C	augustus_masked-flattened_line_42-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.184&CDS=1-618, augustus_masked-flattened_line_74-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.43&CDS=1-1428, augustus_masked-flattened_line_8-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.5&CDS=1-711, augustus_masked-flattened_line_8-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.91&CDS=1-711, augustus_masked-flattened_line_82-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.60&CDS=1-546, augustus_masked-flattened_line_88-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.81&CDS=1-1011, snap_masked-flattened_line_11-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.90&CDS=1-498, snap_masked-flattened_line_4-processed-gene-3.57-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.57&CDS=1-633, snap_masked-flattened_line_44-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.85&CDS=1-663
4	OG0000004	YGL098W	augustus_masked-flattened_line_228-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.9&CDS=1-1287, augustus_masked-flattened_line_38-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.28&CDS=1-1515, augustus_masked-flattened_line_60-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.80&CDS=1-1482, augustus_masked-flattened_line_9-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.84&CDS=1-387, augustus_masked-flattened_line_90-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.66&CDS=1-1341, maker-flattened_line_228-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_228-augustus-gene-0.3&CDS=1-1137, maker-flattened_line_72-augustus-gene-0.75-mRNA-1_1&gene=maker-flattened_line_72-augustus-gene-0.75&CDS=1-804, snap_masked-flattened_line_42-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.57&CDS=1-1341
5	OG0000005	YCL074W	augustus_masked-flattened_line_680-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_680-processed-gene-0.1&CDS=1-279, augustus_masked-flattened_line_884-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_884-processed-gene-0.0&CDS=1-279, augustus_masked-flattened_line_934-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_934-processed-gene-0.1&CDS=1-252, augustus_masked-flattened_line_96-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.111&CDS=1-261, snap_masked-flattened_line_300-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.2&CDS=1-306, snap_masked-flattened_line_322-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_322-processed-gene-0.2&CDS=1-192, snap_masked-flattened_line_978-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_978-processed-gene-0.0&CDS=1-216
6	OG0000006	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_0-processed-gene-10.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.146&CDS=1-1053, augustus_masked-flattened_line_0-processed-gene-11.295-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.295&CDS=1-1029, augustus_masked-flattened_line_125-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.22&CDS=1-1047, augustus_masked-flattened_line_46-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.24&CDS=1-1053
7	OG0000007	YER185W, YGR213C	augustus_masked-flattened_line_108-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.20&CDS=1-909, augustus_masked-flattened_line_25-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.76&CDS=1-711, augustus_masked-flattened_line_56-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.132&CDS=1-906, genemark-flattened_line_27-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.76&CDS=1-558, snap_masked-flattened_line_15-processed-gene-3.28-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.28&CDS=1-915, snap_masked-flattened_line_48-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.151&CDS=1-846
8	OG0000008	YGL185C, YPL113C	augustus_masked-flattened_line_15-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.78&CDS=1-1101, augustus_masked-flattened_line_32-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.239&CDS=1-1137, augustus_masked-flattened_line_58-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.4&CDS=1-1098, augustus_masked-flattened_line_76-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.30&CDS=1-1098, maker-flattened_line_76-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_76-augustus-gene-0.0&CDS=1-1068
9	OG0000009	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_130-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_130-snap-gene-0.11&CDS=1-435, maker-flattened_line_160-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_160-snap-gene-0.10&CDS=1-309, maker-flattened_line_167-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_167-snap-gene-0.7&CDS=1-306
