	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034606_Priceomyces_medius
0	OG0000000	YKR064W, YLR256W	augustus_masked-flattened_line_38-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.54&CDS=1-2655, augustus_masked-flattened_line_4-processed-gene-10.169-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-10.169&CDS=1-2823, augustus_masked-flattened_line_42-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.24&CDS=1-2361, genemark-flattened_line_0-processed-gene-14.232-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.232&CDS=1-2247, genemark-flattened_line_12-processed-gene-5.134-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.134&CDS=1-2205, genemark-flattened_line_12-processed-gene-5.162-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.162&CDS=1-2250, genemark-flattened_line_38-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.29&CDS=1-2127, genemark-flattened_line_4-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.1&CDS=1-2184, genemark-flattened_line_4-processed-gene-8.95-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.95&CDS=1-3003, genemark-flattened_line_50-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.4&CDS=1-2205, genemark-flattened_line_6-processed-gene-5.84-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.84&CDS=1-6462, genemark-flattened_line_6-processed-gene-5.87-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.87&CDS=1-2562, genemark-flattened_line_8-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.113&CDS=1-2706, snap_masked-flattened_line_18-processed-gene-3.47-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.47&CDS=1-2517, snap_masked-flattened_line_2-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.3&CDS=1-2211, snap_masked-flattened_line_42-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.14&CDS=1-2799
1	OG0000001	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_0-processed-gene-13.147-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-13.147&CDS=1-1734, genemark-flattened_line_0-processed-gene-13.152-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-13.152&CDS=1-1680, genemark-flattened_line_10-processed-gene-6.198-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.198&CDS=1-1809, genemark-flattened_line_2-processed-gene-10.287-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-10.287&CDS=1-1722, genemark-flattened_line_34-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.53&CDS=1-1683
2	OG0000002	YJR061W, YKL201C	augustus_masked-flattened_line_0-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.23&CDS=1-2319, augustus_masked-flattened_line_14-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.57&CDS=1-2418, genemark-flattened_line_0-processed-gene-8.11-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.11&CDS=1-2262, genemark-flattened_line_16-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.52&CDS=1-2400, genemark-flattened_line_2-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.67&CDS=1-1806, genemark-flattened_line_34-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.79&CDS=1-2373, maker-flattened_line_18-snap-gene-3.181-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-3.181&CDS=1-4815
3	OG0000003	YBR150C, YOL089C	augustus_masked-flattened_line_0-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.108&CDS=1-2328, augustus_masked-flattened_line_0-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.110&CDS=1-2316, genemark-flattened_line_0-processed-gene-11.127-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.127&CDS=1-1467, genemark-flattened_line_0-processed-gene-14.197-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.197&CDS=1-1980, genemark-flattened_line_2-processed-gene-10.241-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-10.241&CDS=1-2481, snap_masked-flattened_line_0-processed-gene-12.15-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.15&CDS=1-2598
4	OG0000004	YDR541C, YOL151W	genemark-flattened_line_0-processed-gene-2.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.121&CDS=1-1014, genemark-flattened_line_12-processed-gene-5.163-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.163&CDS=1-1008, genemark-flattened_line_2-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.42&CDS=1-1008, genemark-flattened_line_2-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.66&CDS=1-1026, genemark-flattened_line_54-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.4&CDS=1-993, genemark-flattened_line_8-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.95&CDS=1-1008
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	genemark-flattened_line_12-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.124&CDS=1-3387, genemark-flattened_line_24-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.71&CDS=1-2286, genemark-flattened_line_6-processed-gene-9.155-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-9.155&CDS=1-2697, maker-flattened_line_4-augustus-gene-3.109-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.109&CDS=1-6120
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_24-processed-gene-1.242-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.242&CDS=1-2190, genemark-flattened_line_8-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.126&CDS=1-2115, snap_masked-flattened_line_10-processed-gene-3.20-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.20&CDS=1-1683
7	OG0000007	YPR147C	augustus_masked-flattened_line_12-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-5.94&CDS=1-1407, genemark-flattened_line_10-processed-gene-6.238-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.238&CDS=1-1431, genemark-flattened_line_12-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.114&CDS=1-1521, genemark-flattened_line_22-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.27&CDS=1-1494, genemark-flattened_line_42-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.53&CDS=1-1689, genemark-flattened_line_6-processed-gene-3.17-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.17&CDS=1-1572, maker-flattened_line_0-snap-gene-14.153-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-14.153&CDS=1-2535
8	OG0000008	YDR338C, YHR032W	augustus_masked-flattened_line_20-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.63&CDS=1-3138, genemark-flattened_line_0-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.22&CDS=1-1722, genemark-flattened_line_38-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.32&CDS=1-1446, maker-flattened_line_0-augustus-gene-4.164-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-4.164&CDS=1-2730, maker-flattened_line_2-snap-gene-3.96-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-3.96&CDS=1-1689
9	OG0000009	YAL005C, YJL034W, YLL024C	genemark-flattened_line_2-processed-gene-8.11-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.11&CDS=1-1953, genemark-flattened_line_22-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.59&CDS=1-1998, maker-flattened_line_4-snap-gene-4.118-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.118&CDS=1-2688
