	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026124_Ogataea_henricii
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YKL071W	augustus_masked-flattened_line_329-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_329-processed-gene-0.1&CDS=1-447, augustus_masked-flattened_line_483-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_483-processed-gene-0.0&CDS=1-591, genemark-flattened_line_214-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.0&CDS=1-753, genemark-flattened_line_231-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_231-processed-gene-0.3&CDS=1-594, genemark-flattened_line_30-processed-gene-1.51-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.51&CDS=1-753, genemark-flattened_line_301-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_301-processed-gene-0.3&CDS=1-822, genemark-flattened_line_6-processed-gene-4.91-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.91&CDS=1-750, genemark-flattened_line_84-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.20&CDS=1-753, maker-flattened_line_136-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_136-augustus-gene-0.6&CDS=1-699, maker-flattened_line_138-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_138-snap-gene-0.8&CDS=1-873, maker-flattened_line_473-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_473-snap-gene-0.2&CDS=1-585, snap_masked-flattened_line_164-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.6&CDS=1-735, snap_masked-flattened_line_178-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_178-processed-gene-0.4&CDS=1-753, snap_masked-flattened_line_208-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_208-processed-gene-0.6&CDS=1-372, snap_masked-flattened_line_227-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_227-processed-gene-0.2&CDS=1-753
2	OG0000002	YBR240C, YDR207C	augustus_masked-flattened_line_2-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.79&CDS=1-2799, genemark-flattened_line_0-processed-gene-6.92-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.92&CDS=1-1095, genemark-flattened_line_14-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.89&CDS=1-1488, genemark-flattened_line_18-processed-gene-2.46-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.46&CDS=1-1377, genemark-flattened_line_26-processed-gene-1.208-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.208&CDS=1-681, genemark-flattened_line_28-processed-gene-1.115-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.115&CDS=1-891, genemark-flattened_line_36-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.43&CDS=1-2001, genemark-flattened_line_56-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.30&CDS=1-1569, genemark-flattened_line_56-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.32&CDS=1-1869, maker-flattened_line_247-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_247-augustus-gene-0.2&CDS=1-1614
3	OG0000003	YDR303C, YHR056C, YKR064W, YLR256W	augustus_masked-flattened_line_24-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.66&CDS=1-2241, augustus_masked-flattened_line_26-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.235&CDS=1-2928, genemark-flattened_line_16-processed-gene-1.51-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.51&CDS=1-2208, genemark-flattened_line_40-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.67&CDS=1-2004, genemark-flattened_line_68-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.112&CDS=1-3522, maker-flattened_line_20-snap-gene-1.144-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-1.144&CDS=1-2802, maker-flattened_line_50-snap-gene-0.174-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.174&CDS=1-786, maker-flattened_line_68-snap-gene-0.58-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.58&CDS=1-3132
4	OG0000004		augustus_masked-flattened_line_192-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.0&CDS=1-402, augustus_masked-flattened_line_192-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.1&CDS=1-3141, augustus_masked-flattened_line_2-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.81&CDS=1-2373, augustus_masked-flattened_line_265-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_265-processed-gene-0.2&CDS=1-633, augustus_masked-flattened_line_307-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_307-processed-gene-0.2&CDS=1-645, augustus_masked-flattened_line_509-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_509-processed-gene-0.1&CDS=1-384, maker-flattened_line_222-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_222-snap-gene-0.2&CDS=1-2382, snap_masked-flattened_line_208-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_208-processed-gene-0.4&CDS=1-723, snap_masked-flattened_line_220-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_220-processed-gene-0.0&CDS=1-3648, snap_masked-flattened_line_222-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.3&CDS=1-891, snap_masked-flattened_line_259-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_259-processed-gene-0.5&CDS=1-1557
5	OG0000005	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_92-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.73&CDS=1-969, augustus_masked-flattened_line_98-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.23&CDS=1-969, genemark-flattened_line_74-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.112&CDS=1-1014, genemark-flattened_line_84-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.14&CDS=1-1011, maker-flattened_line_84-augustus-gene-0.81-mRNA-1_1&gene=maker-flattened_line_84-augustus-gene-0.81&CDS=1-1935
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	genemark-flattened_line_14-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.17&CDS=1-2262, genemark-flattened_line_14-processed-gene-2.151-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.151&CDS=1-2877, genemark-flattened_line_14-processed-gene-2.181-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.181&CDS=1-2745, genemark-flattened_line_2-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.6&CDS=1-3840
7	OG0000007	YJR154W	genemark-flattened_line_16-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.137&CDS=1-4206, genemark-flattened_line_16-processed-gene-2.150-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.150&CDS=1-1041, genemark-flattened_line_32-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.116&CDS=1-957, genemark-flattened_line_40-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.121&CDS=1-1029, genemark-flattened_line_50-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.32&CDS=1-987, genemark-flattened_line_54-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.27&CDS=1-975, genemark-flattened_line_54-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.28&CDS=1-972
8	OG0000008	YMR168C	augustus_masked-flattened_line_70-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.66&CDS=1-4488, genemark-flattened_line_18-processed-gene-1.28-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.28&CDS=1-2358, snap_masked-flattened_line_18-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.116&CDS=1-3111, snap_masked-flattened_line_2-processed-gene-3.17-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.17&CDS=1-2358, snap_masked-flattened_line_32-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.60&CDS=1-2274, snap_masked-flattened_line_32-processed-gene-1.7-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.7&CDS=1-2955, snap_masked-flattened_line_50-processed-gene-0.215-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.215&CDS=1-2013
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_4-processed-gene-3.19-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.19&CDS=1-1413, genemark-flattened_line_92-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.58&CDS=1-1428
