	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035325_Cyberlindnera_petersonii
0	OG0000000	YKR064W	augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.154&CDS=1-1284, augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-0.68&CDS=1-2526, augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.113&CDS=1-2400, augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.154&CDS=1-2937, augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.110&CDS=1-2724, augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.88&CDS=1-810, genemark-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.191-mRNA-1_1&gene=genemark-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.191&CDS=1-2628, maker-NODE_19_length_205038_cov_20.2467_ID_287426-augustus-gene-1.67-mRNA-1_1&gene=maker-NODE_19_length_205038_cov_20.2467_ID_287426-augustus-gene-1.67&CDS=1-3258, maker-NODE_7_length_378302_cov_18.1305_ID_20891-augustus-gene-2.101-mRNA-1_1&gene=maker-NODE_7_length_378302_cov_18.1305_ID_20891-augustus-gene-2.101&CDS=1-2700, maker-NODE_7_length_378302_cov_18.1305_ID_20891-augustus-gene-2.96-mRNA-1_1&gene=maker-NODE_7_length_378302_cov_18.1305_ID_20891-augustus-gene-2.96&CDS=1-2847, snap_masked-NODE_48_length_86622_cov_18.8182_ID_19895-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_48_length_86622_cov_18.8182_ID_19895-processed-gene-0.20&CDS=1-2616
1	OG0000001	YDR134C, YLR110C	augustus_masked-NODE_17_length_209817_cov_17.7483_ID_36083-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_17_length_209817_cov_17.7483_ID_36083-processed-gene-0.44&CDS=1-309, augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-0.17&CDS=1-375, augustus_masked-NODE_232_length_353_cov_50.802_ID_323901-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_232_length_353_cov_50.802_ID_323901-processed-gene-0.2&CDS=1-348, augustus_masked-NODE_34_length_128336_cov_18.0133_ID_20674-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-NODE_34_length_128336_cov_18.0133_ID_20674-processed-gene-0.173&CDS=1-888, augustus_masked-NODE_36_length_116871_cov_18.2502_ID_24379-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_36_length_116871_cov_18.2502_ID_24379-processed-gene-0.19&CDS=1-2430, augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.153&CDS=1-3711, augustus_masked-NODE_41_length_98586_cov_18.2551_ID_26105-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_41_length_98586_cov_18.2551_ID_26105-processed-gene-0.106&CDS=1-1902, augustus_masked-NODE_65_length_36337_cov_17.6763_ID_23528-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_65_length_36337_cov_17.6763_ID_23528-processed-gene-0.25&CDS=1-309, maker-NODE_24_length_173934_cov_18.3496_ID_24996-snap-gene-0.286-mRNA-1_1&gene=maker-NODE_24_length_173934_cov_18.3496_ID_24996-snap-gene-0.286&CDS=1-1437
2	OG0000002	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.68&CDS=1-1749, augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.74&CDS=1-1746, augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-2.46&CDS=1-1743, augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-2.12&CDS=1-1776, augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-1.69&CDS=1-1734, genemark-NODE_53_length_69873_cov_16.9502_ID_20797-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_53_length_69873_cov_16.9502_ID_20797-processed-gene-0.78&CDS=1-1788
3	OG0000003	YMR169C, YMR170C, YOR374W, YPL061W	augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.114&CDS=1-1512, augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.122&CDS=1-1590, augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-NODE_27_length_163733_cov_18.9882_ID_21625-processed-gene-0.212&CDS=1-1482, augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_31_length_147104_cov_19.6141_ID_21515-processed-gene-0.146&CDS=1-1503, augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-1.112&CDS=1-1491, maker-NODE_15_length_211478_cov_17.7056_ID_25865-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_15_length_211478_cov_17.7056_ID_25865-snap-gene-0.2&CDS=1-1944
4	OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
5	OG0000005	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_14_length_213668_cov_24.3613_ID_25468-processed-gene-1.63&CDS=1-2082, augustus_masked-NODE_45_length_92103_cov_17.291_ID_23469-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_45_length_92103_cov_17.291_ID_23469-processed-gene-0.12&CDS=1-2031, augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-3.41&CDS=1-975, augustus_masked-NODE_94_length_9680_cov_17.1307_ID_26075-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_94_length_9680_cov_17.1307_ID_26075-processed-gene-0.5&CDS=1-2082, snap_masked-NODE_96_length_8898_cov_22.2726_ID_26180-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_96_length_8898_cov_22.2726_ID_26180-processed-gene-0.3&CDS=1-2073
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-0.77&CDS=1-1695
7	OG0000007	YDR242W	augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_11_length_266742_cov_18.2589_ID_24963-processed-gene-0.123&CDS=1-1617, augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.77&CDS=1-1725, augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.42&CDS=1-1659, augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.119&CDS=1-1716, augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.123&CDS=1-1656, augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.78&CDS=1-1647, augustus_masked-NODE_96_length_8898_cov_22.2726_ID_26180-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_96_length_8898_cov_22.2726_ID_26180-processed-gene-0.7&CDS=1-831
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.111&CDS=1-2208, augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-3.119&CDS=1-2484, genemark-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.168-mRNA-1_1&gene=genemark-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.168&CDS=1-2676, genemark-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-2.24&CDS=1-3294
9	OG0000009	YJL139C, YKR061W, YOR099W	augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_19_length_205038_cov_20.2467_ID_287426-processed-gene-1.118&CDS=1-1206, augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.151&CDS=1-1257, augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.13&CDS=1-405, augustus_masked-NODE_68_length_31033_cov_18.8576_ID_24337-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_68_length_31033_cov_18.8576_ID_24337-processed-gene-0.12&CDS=1-1215, genemark-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_30_length_148411_cov_18.2798_ID_19616-processed-gene-0.88&CDS=1-735
