	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	augustus_masked-NODE_139_length_1102_cov_325.522_ID_277-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_139_length_1102_cov_325.522_ID_277-processed-gene-0.1&CDS=1-957, snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.10&CDS=1-507, snap_masked-NODE_91_length_6355_cov_107.778_ID_181-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_91_length_6355_cov_107.778_ID_181-processed-gene-0.2&CDS=1-3963
1	OG0000001	YKR064W	augustus_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-3.130&CDS=1-2064, augustus_masked-NODE_9_length_387442_cov_67.1628_ID_17-processed-gene-2.235-mRNA-1_1&gene=augustus_masked-NODE_9_length_387442_cov_67.1628_ID_17-processed-gene-2.235&CDS=1-1401, genemark-NODE_72_length_40702_cov_74.9366_ID_143-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_72_length_40702_cov_74.9366_ID_143-processed-gene-0.38&CDS=1-3258, maker-NODE_10_length_373830_cov_69.0868_ID_19-augustus-gene-2.145-mRNA-1_1&gene=maker-NODE_10_length_373830_cov_69.0868_ID_19-augustus-gene-2.145&CDS=1-6606, maker-NODE_10_length_373830_cov_69.0868_ID_19-snap-gene-2.223-mRNA-1_1&gene=maker-NODE_10_length_373830_cov_69.0868_ID_19-snap-gene-2.223&CDS=1-2520, maker-NODE_7_length_406357_cov_76.1722_ID_13-snap-gene-2.6-mRNA-1_1&gene=maker-NODE_7_length_406357_cov_76.1722_ID_13-snap-gene-2.6&CDS=1-3888, snap_masked-NODE_10_length_373830_cov_69.0868_ID_19-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_10_length_373830_cov_69.0868_ID_19-processed-gene-2.75&CDS=1-2514, snap_masked-NODE_17_length_249866_cov_67.8317_ID_33-processed-gene-1.161-mRNA-1_1&gene=snap_masked-NODE_17_length_249866_cov_67.8317_ID_33-processed-gene-1.161&CDS=1-3024, snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-1.146&CDS=1-2517, snap_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-0.10&CDS=1-2160, snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.73&CDS=1-3381, snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.74&CDS=1-2613, snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_28_length_204558_cov_67.4894_ID_55-processed-gene-1.75&CDS=1-2898, snap_masked-NODE_6_length_442416_cov_71.3898_ID_11-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NODE_6_length_442416_cov_71.3898_ID_11-processed-gene-3.92&CDS=1-3132, snap_masked-NODE_7_length_406357_cov_76.1722_ID_13-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_7_length_406357_cov_76.1722_ID_13-processed-gene-2.100&CDS=1-4437
2	OG0000002	YBR240C	augustus_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.256-mRNA-1_1&gene=augustus_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.256&CDS=1-1932, snap_masked-NODE_13_length_296594_cov_67.5801_ID_25-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_13_length_296594_cov_67.5801_ID_25-processed-gene-1.39&CDS=1-2913, snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-3.106&CDS=1-2490, snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-4.70&CDS=1-1647, snap_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-1.65&CDS=1-1863, snap_masked-NODE_24_length_211488_cov_73.6919_ID_47-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_24_length_211488_cov_73.6919_ID_47-processed-gene-0.93&CDS=1-729, snap_masked-NODE_36_length_155450_cov_66.759_ID_71-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_36_length_155450_cov_66.759_ID_71-processed-gene-0.18&CDS=1-1713, snap_masked-NODE_3_length_517060_cov_73.1229_ID_5-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NODE_3_length_517060_cov_73.1229_ID_5-processed-gene-3.91&CDS=1-1971, snap_masked-NODE_41_length_131592_cov_68.4558_ID_81-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_41_length_131592_cov_68.4558_ID_81-processed-gene-0.109&CDS=1-1731, snap_masked-NODE_49_length_105122_cov_94.5565_ID_97-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_49_length_105122_cov_94.5565_ID_97-processed-gene-0.105&CDS=1-1125, snap_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-3.48-mRNA-1_1&gene=snap_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-3.48&CDS=1-2439, snap_masked-NODE_65_length_66748_cov_67.695_ID_129-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_65_length_66748_cov_67.695_ID_129-processed-gene-0.63&CDS=1-1977, snap_masked-NODE_67_length_58880_cov_75.5191_ID_133-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_67_length_58880_cov_75.5191_ID_133-processed-gene-0.19&CDS=1-1077
3	OG0000003	YBR015C	augustus_masked-NODE_22_length_218682_cov_71.5636_ID_43-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_22_length_218682_cov_71.5636_ID_43-processed-gene-1.97&CDS=1-1716, augustus_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.89&CDS=1-2112, maker-NODE_56_length_88361_cov_68.6203_ID_111-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_56_length_88361_cov_68.6203_ID_111-snap-gene-0.38&CDS=1-4470, snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.109&CDS=1-1728, snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.69&CDS=1-1794, snap_masked-NODE_42_length_126228_cov_67.3742_ID_83-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_42_length_126228_cov_67.3742_ID_83-processed-gene-0.71&CDS=1-1695, snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.15&CDS=1-2049, snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.34&CDS=1-1989, snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.35&CDS=1-2376, snap_masked-NODE_52_length_99369_cov_62.764_ID_103-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_52_length_99369_cov_62.764_ID_103-processed-gene-0.44&CDS=1-2112
4	OG0000004	YBR132C, YGR240C, YMR205C	augustus_masked-NODE_34_length_176738_cov_71.4394_ID_67-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_34_length_176738_cov_71.4394_ID_67-processed-gene-0.125&CDS=1-4941, genemark-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.0&CDS=1-1713, snap_masked-NODE_20_length_239702_cov_70.5044_ID_39-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_20_length_239702_cov_70.5044_ID_39-processed-gene-0.60&CDS=1-1722, snap_masked-NODE_24_length_211488_cov_73.6919_ID_47-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_24_length_211488_cov_73.6919_ID_47-processed-gene-1.65&CDS=1-2883, snap_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.20&CDS=1-1701, snap_masked-NODE_31_length_193556_cov_79.0665_ID_61-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_31_length_193556_cov_79.0665_ID_61-processed-gene-0.84&CDS=1-1800, snap_masked-NODE_33_length_190782_cov_64.4392_ID_65-processed-gene-0.187-mRNA-1_1&gene=snap_masked-NODE_33_length_190782_cov_64.4392_ID_65-processed-gene-0.187&CDS=1-1893, snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.38&CDS=1-1713
5	OG0000005	YKL220C, YNR060W, YOR077W, YOR381W	augustus_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-2.59&CDS=1-2901, augustus_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-3.81&CDS=1-2133, snap_masked-NODE_19_length_243033_cov_65.5237_ID_37-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_19_length_243033_cov_65.5237_ID_37-processed-gene-0.7&CDS=1-2136, snap_masked-NODE_25_length_210900_cov_83.4926_ID_49-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_25_length_210900_cov_83.4926_ID_49-processed-gene-1.110&CDS=1-2262, snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.105&CDS=1-975, snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.165&CDS=1-2121
6	OG0000006	YBR089C-A, YDL002C, YKL032C, YMR072W, YPR052C	snap_masked-NODE_10_length_373830_cov_69.0868_ID_19-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_10_length_373830_cov_69.0868_ID_19-processed-gene-2.116&CDS=1-1950, snap_masked-NODE_13_length_296594_cov_67.5801_ID_25-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_13_length_296594_cov_67.5801_ID_25-processed-gene-1.27&CDS=1-267, snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.45&CDS=1-708, snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.46&CDS=1-570
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.111&CDS=1-1773
8	OG0000008	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	snap_masked-NODE_14_length_292203_cov_78.6828_ID_27-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_14_length_292203_cov_78.6828_ID_27-processed-gene-0.118&CDS=1-1824, snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.13&CDS=1-1848
9	OG0000009	YCR028C	augustus_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_21_length_232438_cov_89.1265_ID_41-processed-gene-1.21&CDS=1-1515, augustus_masked-NODE_68_length_55051_cov_102.522_ID_135-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_68_length_55051_cov_102.522_ID_135-processed-gene-0.26&CDS=1-1626, augustus_masked-NODE_73_length_39352_cov_92.911_ID_145-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_73_length_39352_cov_92.911_ID_145-processed-gene-0.34&CDS=1-1644, genemark-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.88-mRNA-1_1&gene=genemark-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.88&CDS=1-1557, snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-1.47&CDS=1-1680, snap_masked-NODE_35_length_163207_cov_65.1352_ID_69-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_35_length_163207_cov_65.1352_ID_69-processed-gene-0.91&CDS=1-1665, snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.94&CDS=1-1635
