	OrthologID	Pichia_membranifaciens	Saccharomyces_cerevisiae
0	OG0000000	maker-scaffold_3-snap-gene-0.115-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.115&CDS=1-1176	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W
1	OG0000001	augustus_masked-scaffold_3-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.4&CDS=1-1641, augustus_masked-scaffold_9-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.6&CDS=1-1614, maker-scaffold_2-snap-gene-18.107-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.107&CDS=1-3111, snap_masked-scaffold_5-processed-gene-12.49-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.49&CDS=1-1596, snap_masked-scaffold_8-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.35&CDS=1-1572, snap_masked-scaffold_9-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.49&CDS=1-1587, snap_masked-scaffold_9-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.53&CDS=1-1581	YJR152W
2	OG0000002	snap_masked-scaffold_1-processed-gene-18.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.29&CDS=1-1491, snap_masked-scaffold_1-processed-gene-21.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.98&CDS=1-1512, snap_masked-scaffold_1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.48&CDS=1-1575, snap_masked-scaffold_2-processed-gene-14.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.30&CDS=1-1503	YMR169C, YMR170C, YOR374W
3	OG0000003	augustus_masked-scaffold_2-processed-gene-25.256-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-25.256&CDS=1-1419, maker-scaffold_1-snap-gene-15.51-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.51&CDS=1-3084, snap_masked-scaffold_5-processed-gene-12.54-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.54&CDS=1-1053	YDR541C, YGL039W, YGL157W, YOL151W
4	OG0000004	snap_masked-scaffold_1-processed-gene-17.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.56&CDS=1-1398, snap_masked-scaffold_1-processed-gene-18.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.28&CDS=1-1344	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
5	OG0000005	augustus_masked-scaffold_2-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.33&CDS=1-2712, maker-scaffold_4-snap-gene-9.6-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.6&CDS=1-3237, snap_masked-scaffold_1-processed-gene-20.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.33&CDS=1-1677, snap_masked-scaffold_4-processed-gene-7.62-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.62&CDS=1-2196, snap_masked-scaffold_5-processed-gene-12.48-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.48&CDS=1-1734, snap_masked-scaffold_6-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.65&CDS=1-1326	YBR240C
6	OG0000006	augustus_masked-scaffold_2-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.6&CDS=1-2079, augustus_masked-scaffold_5-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.98&CDS=1-9711	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
7	OG0000007	augustus_masked-scaffold_4-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.38&CDS=1-1209, augustus_masked-scaffold_4-processed-gene-13.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.44&CDS=1-2223, maker-scaffold_2-augustus-gene-25.2-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-25.2&CDS=1-3051, snap_masked-scaffold_6-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.89&CDS=1-1008, snap_masked-scaffold_6-processed-gene-4.49-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.49&CDS=1-1200, snap_masked-scaffold_8-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.14&CDS=1-1164	YLL057C
8	OG0000008	snap_masked-scaffold_1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.106&CDS=1-1722, snap_masked-scaffold_2-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.74&CDS=1-1758	YDR380W, YGR087C, YLR044C, YLR134W
9	OG0000009	augustus_masked-scaffold_5-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.118&CDS=1-1149, augustus_masked-scaffold_8-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.38&CDS=1-1299, snap_masked-scaffold_1-processed-gene-19.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.73&CDS=1-1227, snap_masked-scaffold_3-processed-gene-11.35-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.35&CDS=1-1149	YBR207W, YER145C
