	OrthologID	Saccharomyces_cerevisiae	Sugiyamaella_lignohabitans
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YIL171W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-CP014503.1-processed-gene-37.71-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-37.71&CDS=1-1635, augustus_masked-CP014503.1-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-5.82&CDS=1-1635, snap_masked-CP014503.1-processed-gene-41.115-mRNA-1_1&gene=snap_masked-CP014503.1-processed-gene-41.115&CDS=1-228
1	OG0000001	YKL071W	augustus_masked-CP014500.1-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-2.88&CDS=1-762, augustus_masked-CP014501.1-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-16.107&CDS=1-753, augustus_masked-CP014501.1-processed-gene-17.80-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-17.80&CDS=1-780, augustus_masked-CP014501.1-processed-gene-18.36-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-18.36&CDS=1-756, augustus_masked-CP014501.1-processed-gene-18.37-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-18.37&CDS=1-828, augustus_masked-CP014503.1-processed-gene-19.99-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-19.99&CDS=1-771, augustus_masked-CP014503.1-processed-gene-21.7-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-21.7&CDS=1-756, augustus_masked-CP014503.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-5.88&CDS=1-765
2	OG0000002	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-CP014501.1-processed-gene-35.73-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-35.73&CDS=1-1428, maker-CP014501.1-snap-gene-24.0-mRNA-1_1&gene=maker-CP014501.1-snap-gene-24.0&CDS=1-2928
3	OG0000003	YDR402C	augustus_masked-CP014500.1-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-9.113&CDS=1-1542, augustus_masked-CP014501.1-processed-gene-35.54-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-35.54&CDS=1-1587, augustus_masked-CP014503.1-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-12.75&CDS=1-1572, augustus_masked-CP014503.1-processed-gene-23.84-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-23.84&CDS=1-1569, augustus_masked-CP014503.1-processed-gene-29.11-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-29.11&CDS=1-1545, maker-CP014501.1-snap-gene-39.88-mRNA-1_1&gene=maker-CP014501.1-snap-gene-39.88&CDS=1-3126
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-CP014500.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-5.74&CDS=1-1017, augustus_masked-CP014501.1-processed-gene-57.57-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-57.57&CDS=1-1041, augustus_masked-CP014503.1-processed-gene-15.63-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-15.63&CDS=1-1032
5	OG0000005	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-CP014503.1-processed-gene-17.71-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-17.71&CDS=1-1764, augustus_masked-CP014503.1-processed-gene-36.109-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-36.109&CDS=1-2358, snap_masked-CP014500.1-processed-gene-18.40-mRNA-1_1&gene=snap_masked-CP014500.1-processed-gene-18.40&CDS=1-1992
6	OG0000006	YBR089C-A, YDR174W, YPR052C	augustus_masked-CP014502.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-4.70&CDS=1-984, genemark-CP014503.1-processed-gene-5.149-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-5.149&CDS=1-357, snap_masked-CP014503.1-processed-gene-7.5-mRNA-1_1&gene=snap_masked-CP014503.1-processed-gene-7.5&CDS=1-327
7	OG0000007	YBR297W, YFL052W, YGR288W, YNR063W, YPR196W	augustus_masked-CP014501.1-processed-gene-24.17-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-24.17&CDS=1-1599
8	OG0000008	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-CP014501.1-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-2.100&CDS=1-1659, augustus_masked-CP014503.1-processed-gene-37.91-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-37.91&CDS=1-1782
9	OG0000009	YDR144C, YLR120C, YLR121C	augustus_masked-CP014500.1-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-18.14&CDS=1-1194, augustus_masked-CP014501.1-processed-gene-53.102-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-53.102&CDS=1-1845, genemark-CP014501.1-processed-gene-19.81-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-19.81&CDS=1-1431
