	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
0	OG0000000	YFR020W	augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.166-mRNA-1_1&gene=augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.166&CDS=1-2574, augustus_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-0.72&CDS=1-3219, augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-2.28&CDS=1-504, augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-4.78&CDS=1-1296, augustus_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.68&CDS=1-2628, augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.34&CDS=1-2460, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.65&CDS=1-699, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.66&CDS=1-360, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.48&CDS=1-2448, snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_25_length_145781_cov_22.9048_ID_49-processed-gene-0.84&CDS=1-2790, snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.67&CDS=1-1155, snap_masked-NODE_37_length_8854_cov_21.728_ID_73-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_37_length_8854_cov_21.728_ID_73-processed-gene-0.8&CDS=1-798, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.50-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.50&CDS=1-2679, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.126&CDS=1-2727, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.94-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.94&CDS=1-2721, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-2.93-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-2.93&CDS=1-2868, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.60-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.60&CDS=1-882, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.61&CDS=1-2172
1	OG0000001	YKL096W	augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-0.59&CDS=1-888, augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.70&CDS=1-852, augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.104&CDS=1-846, augustus_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.66&CDS=1-846, augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.85&CDS=1-894, augustus_masked-NODE_45_length_1092_cov_42.5359_ID_89-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_45_length_1092_cov_42.5359_ID_89-processed-gene-0.2&CDS=1-846, augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.12&CDS=1-888, augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.28&CDS=1-396, augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.58&CDS=1-846, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.10&CDS=1-858, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-7.57-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-7.57&CDS=1-891, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.103-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.103&CDS=1-843, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.61&CDS=1-942, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-3.59&CDS=1-813
2	OG0000002	YKR039W, YLL061W, YPL274W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-1.53&CDS=1-1761, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.80-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.80&CDS=1-1722, snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.107&CDS=1-1662, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.72&CDS=1-1770, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-0.22&CDS=1-1812, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-2.88&CDS=1-1785, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.53&CDS=1-1761
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.63&CDS=1-1404, snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.28&CDS=1-1371, snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.85&CDS=1-1386, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-1.25&CDS=1-1359
4	OG0000004	YDR144C, YLR120C, YLR121C	maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-10.254-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-10.254&CDS=1-1560, maker-NODE_27_length_120446_cov_34.1613_ID_53-snap-gene-0.92-mRNA-1_1&gene=maker-NODE_27_length_120446_cov_34.1613_ID_53-snap-gene-0.92&CDS=1-2979, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.154-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.154&CDS=1-1233, snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.69&CDS=1-1161, snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.96&CDS=1-1260, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-1.24&CDS=1-1149
5	OG0000005	YMR006C, YMR008C, YNL012W, YOL011W	genemark-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.39&CDS=1-1884, maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-4.55-mRNA-1_1&gene=maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-4.55&CDS=1-2709, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-8.12-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-8.12&CDS=1-1836, snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.65&CDS=1-1878, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.49&CDS=1-2013
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.70&CDS=1-1716
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.36-mRNA-1_1&gene=genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-5.36&CDS=1-3495, snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.131-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-2.131&CDS=1-3246, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.72&CDS=1-2625, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-0.63&CDS=1-2142
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.79&CDS=1-2205, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.121-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.121&CDS=1-2304, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-4.77&CDS=1-2121
9	OG0000009	YLR256W	maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-6.45-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-6.45&CDS=1-3168, maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-2.123-mRNA-1_1&gene=maker-NODE_7_length_639868_cov_21.9189_ID_13-augustus-gene-2.123&CDS=1-3060, maker-NODE_7_length_639868_cov_21.9189_ID_13-snap-gene-5.63-mRNA-1_1&gene=maker-NODE_7_length_639868_cov_21.9189_ID_13-snap-gene-5.63&CDS=1-3141, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-6.28&CDS=1-3027, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.64-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-6.64&CDS=1-3189, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.118-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.118&CDS=1-1332, snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.35&CDS=1-2979
