	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
0	OG0000000	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	snap_masked-flattened_line_66-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.37&CDS=1-570
1	OG0000001	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_12-processed-gene-1.159-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.159&CDS=1-1056, genemark-flattened_line_133-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.2&CDS=1-1065, genemark-flattened_line_2-processed-gene-8.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.93&CDS=1-1044, genemark-flattened_line_22-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.79&CDS=1-1044, genemark-flattened_line_26-processed-gene-2.113-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.113&CDS=1-1083, genemark-flattened_line_48-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.144&CDS=1-1026, genemark-flattened_line_6-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.138&CDS=1-1044, maker-flattened_line_52-augustus-gene-0.177-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.177&CDS=1-1413, snap_masked-flattened_line_44-processed-gene-0.177-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.177&CDS=1-1035
2	OG0000002	YBR240C, YDR207C	augustus_masked-flattened_line_2-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.72&CDS=1-1302, augustus_masked-flattened_line_22-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.56&CDS=1-1728, augustus_masked-flattened_line_26-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-2.64&CDS=1-1779, genemark-flattened_line_10-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.63&CDS=1-1686, genemark-flattened_line_30-processed-gene-1.311-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.311&CDS=1-567, snap_masked-flattened_line_0-processed-gene-7.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.49&CDS=1-1596, snap_masked-flattened_line_2-processed-gene-8.169-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.169&CDS=1-957, snap_masked-flattened_line_4-processed-gene-5.23-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.23&CDS=1-837, snap_masked-flattened_line_50-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.49&CDS=1-1899
3	OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	genemark-flattened_line_2-processed-gene-7.138-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.138&CDS=1-1797, genemark-flattened_line_44-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.110&CDS=1-1716, genemark-flattened_line_44-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.123&CDS=1-1755, genemark-flattened_line_52-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.157&CDS=1-1746, genemark-flattened_line_8-processed-gene-3.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.78&CDS=1-1764, genemark-flattened_line_8-processed-gene-3.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.90&CDS=1-1770, maker-flattened_line_10-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-0.93&CDS=1-2124
4	OG0000004	YER185W, YGR213C, YLR046C	augustus_masked-flattened_line_0-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.83&CDS=1-1020, augustus_masked-flattened_line_34-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.220&CDS=1-996, augustus_masked-flattened_line_42-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.94&CDS=1-1059, augustus_masked-flattened_line_48-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.97&CDS=1-1683, snap_masked-flattened_line_42-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.154&CDS=1-993, snap_masked-flattened_line_48-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.10&CDS=1-990, snap_masked-flattened_line_48-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.46&CDS=1-1074
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_34-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.57&CDS=1-1710, genemark-flattened_line_54-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.124&CDS=1-1707
6	OG0000006	YDR134C, YLR110C	augustus_masked-flattened_line_118-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.2&CDS=1-2772, genemark-flattened_line_14-processed-gene-3.173-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.173&CDS=1-1956, genemark-flattened_line_16-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.78&CDS=1-432, genemark-flattened_line_20-processed-gene-2.142-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.142&CDS=1-387, genemark-flattened_line_56-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.121&CDS=1-393, maker-flattened_line_118-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_118-snap-gene-0.10&CDS=1-2163, maker-flattened_line_14-snap-gene-3.283-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-3.283&CDS=1-2073
7	OG0000007	YGL257C, YNR059W	augustus_masked-flattened_line_30-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.72&CDS=1-1587, genemark-flattened_line_0-processed-gene-6.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.61&CDS=1-2082, genemark-flattened_line_0-processed-gene-6.85-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.85&CDS=1-1902, genemark-flattened_line_28-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.119&CDS=1-2169, genemark-flattened_line_4-processed-gene-6.10-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.10&CDS=1-2289, genemark-flattened_line_4-processed-gene-7.156-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.156&CDS=1-2292, maker-flattened_line_0-snap-gene-6.48-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.48&CDS=1-3735
8	OG0000008	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_159-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_159-processed-gene-0.1&CDS=1-702, genemark-flattened_line_54-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.96&CDS=1-1644, genemark-flattened_line_64-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.131&CDS=1-1083, snap_masked-flattened_line_227-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_227-processed-gene-0.2&CDS=1-1083
9	OG0000009	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	genemark-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.70&CDS=1-1194, genemark-flattened_line_36-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.4&CDS=1-1086, genemark-flattened_line_60-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.37&CDS=1-1095
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_0-processed-gene-6.90-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.90&CDS=1-1371, genemark-flattened_line_38-processed-gene-0.205-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.205&CDS=1-1389
11	OG0000011	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_44-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.70&CDS=1-885, genemark-flattened_line_28-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.50&CDS=1-1110, genemark-flattened_line_48-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.118&CDS=1-1113, genemark-flattened_line_8-processed-gene-4.48-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.48&CDS=1-1113
12	OG0000012	YKL055C	genemark-flattened_line_14-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.93&CDS=1-741, genemark-flattened_line_32-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.80&CDS=1-786, genemark-flattened_line_32-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.81&CDS=1-792, genemark-flattened_line_4-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.138&CDS=1-777, genemark-flattened_line_72-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.98&CDS=1-831, snap_masked-flattened_line_90-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.15&CDS=1-756
13	OG0000013	YAL051W, YOR363C	genemark-flattened_line_0-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.17&CDS=1-2661, genemark-flattened_line_24-processed-gene-1.49-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.49&CDS=1-2622, genemark-flattened_line_46-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.184&CDS=1-3171, maker-flattened_line_46-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.65&CDS=1-6882
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_30-processed-gene-1.221-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.221&CDS=1-4572, genemark-flattened_line_8-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.7&CDS=1-2733
15	OG0000015	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	maker-flattened_line_26-snap-gene-1.124-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.124&CDS=1-1179
16	OG0000016	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	genemark-flattened_line_18-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.76&CDS=1-1683
17	OG0000017	YJL172W, YOL153C	genemark-flattened_line_0-processed-gene-9.32-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.32&CDS=1-1578, genemark-flattened_line_24-processed-gene-2.143-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.143&CDS=1-1788, genemark-flattened_line_4-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.100&CDS=1-1635, snap_masked-flattened_line_8-processed-gene-4.188-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.188&CDS=1-1704
18	OG0000018	YOL119C, YOR306C	genemark-flattened_line_18-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.116&CDS=1-1479, genemark-flattened_line_18-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.141&CDS=1-1419, genemark-flattened_line_2-processed-gene-8.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.116&CDS=1-1467, genemark-flattened_line_32-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.67&CDS=1-1494
19	OG0000019	YBL089W, YER119C, YIL088C	genemark-flattened_line_10-processed-gene-4.180-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.180&CDS=1-1515, genemark-flattened_line_2-processed-gene-5.26-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.26&CDS=1-1227
20	OG0000020	YBR015C	genemark-flattened_line_30-processed-gene-1.243-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.243&CDS=1-1821, genemark-flattened_line_54-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.93&CDS=1-1596, genemark-flattened_line_8-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.62&CDS=1-1731, maker-flattened_line_12-snap-gene-2.157-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.157&CDS=1-4785
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_28-processed-gene-1.5-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.5&CDS=1-1704
22	OG0000022	YDL138W, YDL194W	genemark-flattened_line_44-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.128&CDS=1-1635, genemark-flattened_line_8-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.89&CDS=1-1653, snap_masked-flattened_line_8-processed-gene-4.166-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.166&CDS=1-2595
23	OG0000023	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_28-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.24&CDS=1-1023
24	OG0000024	YDR038C, YDR039C, YDR040C	genemark-flattened_line_42-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.4&CDS=1-3054, genemark-flattened_line_70-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.18&CDS=1-3162
25	OG0000025	YDR144C, YLR120C, YLR121C	genemark-flattened_line_38-processed-gene-0.177-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.177&CDS=1-1338, maker-flattened_line_66-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_66-snap-gene-0.40&CDS=1-5175
26	OG0000026	YDR242W	genemark-flattened_line_0-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.15&CDS=1-1647, genemark-flattened_line_36-processed-gene-1.37-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.37&CDS=1-1656, genemark-flattened_line_48-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.156&CDS=1-1656, snap_masked-flattened_line_2-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.142&CDS=1-1620
27	OG0000027	YDR391C, YOR013W	augustus_masked-flattened_line_12-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.71&CDS=1-624, augustus_masked-flattened_line_12-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.73&CDS=1-597, augustus_masked-flattened_line_12-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.67&CDS=1-582
28	OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_34-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.76&CDS=1-717
29	OG0000029	YEL063C, YNL268W	genemark-flattened_line_0-processed-gene-7.153-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.153&CDS=1-1671, genemark-flattened_line_14-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.10&CDS=1-1659, genemark-flattened_line_14-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.29&CDS=1-1653
30	OG0000030	YER056C, YER060W, YER060W-A	genemark-flattened_line_12-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.99&CDS=1-3366, genemark-flattened_line_2-processed-gene-5.21-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.21&CDS=1-1560
31	OG0000031	YFR040W, YGL229C, YKR028W	genemark-flattened_line_0-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.18&CDS=1-2541, genemark-flattened_line_20-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.73&CDS=1-2748
32	OG0000032	YGL185C, YPL113C	genemark-flattened_line_2-processed-gene-5.35-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.35&CDS=1-1098, genemark-flattened_line_36-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.8&CDS=1-1098, maker-flattened_line_12-augustus-gene-4.134-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-4.134&CDS=1-2226
33	OG0000033	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_138-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.0&CDS=1-1530
34	OG0000034	YGR197C, YJR015W	augustus_masked-flattened_line_30-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.132&CDS=1-1464, genemark-flattened_line_8-processed-gene-4.46-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.46&CDS=1-1659, maker-flattened_line_6-snap-gene-3.51-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.51&CDS=1-549
35	OG0000035	YHR179W, YPL171C	genemark-flattened_line_20-processed-gene-2.169-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.169&CDS=1-1191, genemark-flattened_line_42-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.56&CDS=1-1242, genemark-flattened_line_44-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.111&CDS=1-1242
36	OG0000036	YIL120W, YIL121W, YNL065W	genemark-flattened_line_22-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.120&CDS=1-1464, genemark-flattened_line_22-processed-gene-2.123-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.123&CDS=1-1509
