	OrthologID	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
0	OG0000000	-augustus-gene-0.58-mRNA-1_1&gene=maker-gi|1002318548|dbj|BCIP01000013.1|-augustus-gene-0.58&CDS=1-5499, -processed-gene-0.102-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.102&CDS=1-5970, -processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.31&CDS=1-4215, -processed-gene-0.32-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.32&CDS=1-6258, -processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-0.39&CDS=1-5778, -processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-0.4&CDS=1-5925, -processed-gene-0.47-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-0.47&CDS=1-5913, -processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.6&CDS=1-5769, -processed-gene-1.86-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.86&CDS=1-5805, -processed-gene-2.67-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.67&CDS=1-5763, -processed-gene-3.65-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-3.65&CDS=1-5226, -processed-gene-3.66-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-3.66&CDS=1-5877, -processed-gene-3.91-mRNA-1_1&gene=snap_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-3.91&CDS=1-5664, -processed-gene-4.65-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.65&CDS=1-5955, -processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-4.7&CDS=1-5826, -processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-4.91&CDS=1-5829, -processed-gene-5.162-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.162&CDS=1-5835, -processed-gene-5.38-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-5.38&CDS=1-5817, -processed-gene-5.55-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-5.55&CDS=1-5871, -snap-gene-0.56-mRNA-1_1&gene=maker-gi|1002318548|dbj|BCIP01000013.1|-snap-gene-0.56&CDS=1-11622	YLR422W
1	OG0000001	-augustus-gene-0.35-mRNA-1_1&gene=maker-gi|1002318544|dbj|BCIP01000017.1|-augustus-gene-0.35&CDS=1-7131, -augustus-gene-6.8-mRNA-1_1&gene=maker-gi|1002318553|dbj|BCIP01000008.1|-augustus-gene-6.8&CDS=1-2412, -processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|1002318494|dbj|BCIP01000067.1|-processed-gene-0.18&CDS=1-2544, -processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|1002318494|dbj|BCIP01000067.1|-processed-gene-0.23&CDS=1-2643, -processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002318494|dbj|BCIP01000067.1|-processed-gene-0.24&CDS=1-3447, -processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-0.48&CDS=1-1644, -processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-0.60&CDS=1-2724, -processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.71&CDS=1-2811, -processed-gene-4.10-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.10&CDS=1-4179, -processed-gene-4.33-mRNA-1_1&gene=snap_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.33&CDS=1-2352, -processed-gene-4.9-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.9&CDS=1-2325, -processed-gene-6.116-mRNA-1_1&gene=snap_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.116&CDS=1-5100, -processed-gene-6.15-mRNA-1_1&gene=snap_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-6.15&CDS=1-2532, -processed-gene-6.62-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.62&CDS=1-2538, -processed-gene-6.63-mRNA-1_1&gene=augustus_masked-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.63&CDS=1-2655, -snap-gene-4.150-mRNA-1_1&gene=maker-gi|1002318542|dbj|BCIP01000019.1|-snap-gene-4.150&CDS=1-3315, -snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002318553|dbj|BCIP01000008.1|-snap-gene-6.1&CDS=1-2352	YML111W, YMR275C, YNR069C
2	OG0000002	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002318467|dbj|BCIP01000094.1|-processed-gene-0.0&CDS=1-1566, -processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.108&CDS=1-1212, -processed-gene-0.2-mRNA-1_1&gene=genemark-gi|1002318468|dbj|BCIP01000093.1|-processed-gene-0.2&CDS=1-1152, -processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-0.72&CDS=1-1161, -processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002318532|dbj|BCIP01000029.1|-processed-gene-1.78&CDS=1-1209, -processed-gene-2.59-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-2.59&CDS=1-1233, -processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-2.76&CDS=1-1176, -processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-2.9&CDS=1-1230, -processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002318532|dbj|BCIP01000029.1|-processed-gene-2.90&CDS=1-1209, -processed-gene-4.9-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-4.9&CDS=1-1161, -snap-gene-6.0-mRNA-1_1&gene=maker-gi|1002318551|dbj|BCIP01000010.1|-snap-gene-6.0&CDS=1-4695, -snap-gene-6.4-mRNA-1_1&gene=maker-gi|1002318551|dbj|BCIP01000010.1|-snap-gene-6.4&CDS=1-3603	YHR179W, YPL171C
3	OG0000003	-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002318496|dbj|BCIP01000065.1|-processed-gene-0.4&CDS=1-2313, -processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.50&CDS=1-1737, -processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.51&CDS=1-4131, -processed-gene-0.69-mRNA-1_1&gene=augustus_masked-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.69&CDS=1-351, -processed-gene-0.78-mRNA-1_1&gene=snap_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.78&CDS=1-1770, -processed-gene-0.88-mRNA-1_1&gene=snap_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.88&CDS=1-1374, -processed-gene-1.102-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-1.102&CDS=1-1626, -processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-2.23&CDS=1-1764, -processed-gene-2.74-mRNA-1_1&gene=augustus_masked-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-2.74&CDS=1-1356, -processed-gene-4.21-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-4.21&CDS=1-4926, -processed-gene-6.16-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.16&CDS=1-2145, -processed-gene-8.75-mRNA-1_1&gene=augustus_masked-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-8.75&CDS=1-2925	YJL089W
4	OG0000004	-augustus-gene-3.99-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-augustus-gene-3.99&CDS=1-2916, -processed-gene-0.106-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.106&CDS=1-1476, -processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-0.23&CDS=1-1464, -processed-gene-0.92-mRNA-1_1&gene=snap_masked-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.92&CDS=1-1341, -processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-1.82&CDS=1-1491, -processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-2.60&CDS=1-1431, -processed-gene-4.80-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-4.80&CDS=1-1500, -processed-gene-5.61-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-5.61&CDS=1-1638, -processed-gene-5.76-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-5.76&CDS=1-1596, -processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-5.98&CDS=1-1434, -snap-gene-5.114-mRNA-1_1&gene=maker-gi|1002318552|dbj|BCIP01000009.1|-snap-gene-5.114&CDS=1-2853	YOL119C
5	OG0000005	-processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.44&CDS=1-1929, -processed-gene-11.18-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-11.18&CDS=1-2112, -processed-gene-2.24-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-2.24&CDS=1-2166, -processed-gene-2.52-mRNA-1_1&gene=snap_masked-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-2.52&CDS=1-2160, -processed-gene-2.83-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-2.83&CDS=1-2124, -processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-4.3&CDS=1-2028, -processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.44&CDS=1-2112, -processed-gene-6.63-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.63&CDS=1-2097, -snap-gene-2.3-mRNA-1_1&gene=maker-gi|1002318543|dbj|BCIP01000018.1|-snap-gene-2.3&CDS=1-651	YKL220C, YNR060W, YOR381W
6	OG0000006	-augustus-gene-2.0-mRNA-1_1&gene=maker-gi|1002318548|dbj|BCIP01000013.1|-augustus-gene-2.0&CDS=1-1095, -processed-gene-0.53-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.53&CDS=1-1095, -processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.90&CDS=1-1092, -processed-gene-4.122-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.122&CDS=1-1035, -processed-gene-6.112-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-6.112&CDS=1-1095, -processed-gene-7.28-mRNA-1_1&gene=augustus_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.28&CDS=1-1098, -processed-gene-7.31-mRNA-1_1&gene=augustus_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.31&CDS=1-996, -processed-gene-7.85-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.85&CDS=1-1224, -processed-gene-7.87-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.87&CDS=1-1098, -processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-7.88&CDS=1-1131	YKL128C
7	OG0000007	-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-1.36&CDS=1-1104, -processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-1.53&CDS=1-1068, -processed-gene-4.28-mRNA-1_1&gene=snap_masked-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.28&CDS=1-1068, -processed-gene-4.29-mRNA-1_1&gene=snap_masked-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.29&CDS=1-1095, -processed-gene-6.12-mRNA-1_1&gene=snap_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.12&CDS=1-1104, -processed-gene-6.53-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.53&CDS=1-1035, -processed-gene-7.53-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.53&CDS=1-1041, -processed-gene-7.54-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.54&CDS=1-2022, -processed-gene-7.55-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.55&CDS=1-984, -processed-gene-7.94-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.94&CDS=1-1023	YJR107W
8	OG0000008	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002318451|dbj|BCIP01000110.1|-processed-gene-0.0&CDS=1-1380, -processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-0.24&CDS=1-1740, -processed-gene-1.146-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.146&CDS=1-1785	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
9	OG0000009	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.50&CDS=1-1746, -processed-gene-0.60-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.60&CDS=1-1638, -processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-4.26&CDS=1-2025, -processed-gene-4.55-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.55&CDS=1-1290, -processed-gene-6.136-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-6.136&CDS=1-1746, -processed-gene-9.73-mRNA-1_1&gene=augustus_masked-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-9.73&CDS=1-1248, -snap-gene-0.69-mRNA-1_1&gene=maker-gi|1002318542|dbj|BCIP01000019.1|-snap-gene-0.69&CDS=1-2229, -snap-gene-5.77-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-5.77&CDS=1-2274, -snap-gene-9.3-mRNA-1_1&gene=maker-gi|1002318558|dbj|BCIP01000003.1|-snap-gene-9.3&CDS=1-3645	YLR286C
