	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034963_Hanseniaspora_clermontiae
0	OG0000000		augustus_masked-flattened_line_268-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_268-processed-gene-0.0&CDS=1-1614, augustus_masked-flattened_line_28-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.64&CDS=1-2604, augustus_masked-flattened_line_282-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_282-processed-gene-0.5&CDS=1-1668, augustus_masked-flattened_line_296-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_296-processed-gene-0.7&CDS=1-1398, augustus_masked-flattened_line_322-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_322-processed-gene-0.0&CDS=1-1620, augustus_masked-flattened_line_334-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_334-processed-gene-0.2&CDS=1-1689, augustus_masked-flattened_line_426-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_426-processed-gene-0.2&CDS=1-1686, augustus_masked-flattened_line_466-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_466-processed-gene-0.2&CDS=1-1479, augustus_masked-flattened_line_490-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_490-processed-gene-0.0&CDS=1-1365, genemark-flattened_line_231-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_231-processed-gene-0.1&CDS=1-4134, genemark-flattened_line_266-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_266-processed-gene-0.5&CDS=1-1728, genemark-flattened_line_290-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_290-processed-gene-0.1&CDS=1-2019, genemark-flattened_line_300-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_300-processed-gene-0.4&CDS=1-1464, genemark-flattened_line_464-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_464-processed-gene-0.1&CDS=1-1446, genemark-flattened_line_82-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.35&CDS=1-3156, maker-flattened_line_164-snap-gene-0.31-mRNA-1_1&gene=maker-flattened_line_164-snap-gene-0.31&CDS=1-4719, maker-flattened_line_274-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_274-augustus-gene-0.2&CDS=1-3075, snap_masked-flattened_line_14-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.31&CDS=1-1569, snap_masked-flattened_line_14-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.61&CDS=1-387, snap_masked-flattened_line_240-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_240-processed-gene-0.4&CDS=1-3648, snap_masked-flattened_line_292-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_292-processed-gene-0.1&CDS=1-1632, snap_masked-flattened_line_316-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_316-processed-gene-0.1&CDS=1-1215, snap_masked-flattened_line_344-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_344-processed-gene-0.0&CDS=1-924
1	OG0000001		augustus_masked-flattened_line_1044-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1044-processed-gene-0.0&CDS=1-330, augustus_masked-flattened_line_1228-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1228-processed-gene-0.2&CDS=1-237, augustus_masked-flattened_line_1236-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1236-processed-gene-0.2&CDS=1-252, augustus_masked-flattened_line_1274-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1274-processed-gene-0.0&CDS=1-270, augustus_masked-flattened_line_1276-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1276-processed-gene-0.2&CDS=1-252, augustus_masked-flattened_line_1366-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1366-processed-gene-0.0&CDS=1-246, augustus_masked-flattened_line_1434-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1434-processed-gene-0.2&CDS=1-213, augustus_masked-flattened_line_1442-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1442-processed-gene-0.0&CDS=1-228, augustus_masked-flattened_line_1522-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1522-processed-gene-0.0&CDS=1-168, augustus_masked-flattened_line_1558-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1558-processed-gene-0.1&CDS=1-156, augustus_masked-flattened_line_1570-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1570-processed-gene-0.0&CDS=1-150, augustus_masked-flattened_line_574-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_574-processed-gene-0.2&CDS=1-879, augustus_masked-flattened_line_714-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_714-processed-gene-0.0&CDS=1-480, augustus_masked-flattened_line_746-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_746-processed-gene-0.2&CDS=1-459, augustus_masked-flattened_line_808-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_808-processed-gene-0.0&CDS=1-387, augustus_masked-flattened_line_814-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_814-processed-gene-0.2&CDS=1-390, augustus_masked-flattened_line_840-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_840-processed-gene-0.2&CDS=1-396, augustus_masked-flattened_line_876-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_876-processed-gene-0.2&CDS=1-393, augustus_masked-flattened_line_900-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_900-processed-gene-0.2&CDS=1-384, augustus_masked-flattened_line_906-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_906-processed-gene-0.0&CDS=1-381, augustus_masked-flattened_line_972-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_972-processed-gene-0.2&CDS=1-363, genemark-flattened_line_18-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.125&CDS=1-1581
2	OG0000002	YIL170W, YJL219W, YOL156W	genemark-flattened_line_0-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.7&CDS=1-1671, genemark-flattened_line_102-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.50&CDS=1-1692, genemark-flattened_line_102-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.53&CDS=1-1773, genemark-flattened_line_68-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.15&CDS=1-1746, maker-flattened_line_102-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.22&CDS=1-4917, maker-flattened_line_102-snap-gene-0.24-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.24&CDS=1-3402, snap_masked-flattened_line_64-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.8&CDS=1-1734
3	OG0000003	YHR179W, YPL171C	augustus_masked-flattened_line_484-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_484-processed-gene-0.0&CDS=1-1233, genemark-flattened_line_22-processed-gene-0.189-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.189&CDS=1-1254, genemark-flattened_line_250-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_250-processed-gene-0.0&CDS=1-1272, genemark-flattened_line_284-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_284-processed-gene-0.0&CDS=1-1230, genemark-flattened_line_346-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_346-processed-gene-0.0&CDS=1-1263, genemark-flattened_line_82-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.67&CDS=1-1269
4	OG0000004	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	maker-flattened_line_174-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_174-snap-gene-0.2&CDS=1-4272, snap_masked-flattened_line_90-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.21&CDS=1-1944
5	OG0000005	YGR067C, YPR013C, YPR015C	genemark-flattened_line_152-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.33&CDS=1-414, genemark-flattened_line_4-processed-gene-1.153-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.153&CDS=1-849, genemark-flattened_line_64-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.69&CDS=1-1107, genemark-flattened_line_98-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.18&CDS=1-711
6	OG0000006	YKR039W	genemark-flattened_line_12-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.63&CDS=1-1770, genemark-flattened_line_207-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_207-processed-gene-0.15&CDS=1-1803, genemark-flattened_line_30-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.33&CDS=1-1800, maker-flattened_line_30-snap-gene-0.60-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.60&CDS=1-3579, snap_masked-flattened_line_28-processed-gene-0.169-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.169&CDS=1-1797, snap_masked-flattened_line_28-processed-gene-0.170-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.170&CDS=1-1764
7	OG0000007	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-flattened_line_2-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.33&CDS=1-2811
9	OG0000009	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_40-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.10&CDS=1-1524, genemark-flattened_line_12-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.93&CDS=1-2004, maker-flattened_line_12-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.38&CDS=1-2058
