	OrthologID	Saccharomyces_cerevisiae	Saccharomycopsis_malanga
0	OG0000000		-processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-0.38&CDS=1-1287, -processed-gene-1.44-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-1.44&CDS=1-1194, -processed-gene-12.105-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-12.105&CDS=1-1212, -processed-gene-14.91-mRNA-1_1&gene=augustus_masked-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-14.91&CDS=1-1191, -processed-gene-15.128-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-15.128&CDS=1-1206, -processed-gene-15.83-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-15.83&CDS=1-1263, -processed-gene-19.18-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-19.18&CDS=1-1296, -processed-gene-3.29-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-3.29&CDS=1-1266, -processed-gene-3.38-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-3.38&CDS=1-1206, -processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-3.94&CDS=1-1221, -processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002316409|dbj|BCGJ01000009.1|-processed-gene-4.13&CDS=1-1131, -processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-4.92&CDS=1-1206, -processed-gene-5.31-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-5.31&CDS=1-1308, -processed-gene-5.33-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-5.33&CDS=1-1203, -processed-gene-7.46-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-7.46&CDS=1-1206, -processed-gene-8.70-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-8.70&CDS=1-1416, -processed-gene-9.100-mRNA-1_1&gene=augustus_masked-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-9.100&CDS=1-1413, -processed-gene-9.65-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-9.65&CDS=1-1206, -snap-gene-26.43-mRNA-1_1&gene=maker-gi|1002316417|dbj|BCGJ01000001.1|-snap-gene-26.43&CDS=1-1401
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	-processed-gene-6.59-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-6.59&CDS=1-1677
2	OG0000002	YGR134W, YGR260W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-0.21&CDS=1-1602, -processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-0.58&CDS=1-1632, -processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-1.48&CDS=1-1566, -processed-gene-12.64-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-12.64&CDS=1-3366, -processed-gene-17.51-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-17.51&CDS=1-1530, -processed-gene-20.54-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-20.54&CDS=1-1584, -processed-gene-4.69-mRNA-1_1&gene=augustus_masked-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-4.69&CDS=1-1578, -processed-gene-6.30-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-6.30&CDS=1-1563, -processed-gene-6.37-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-6.37&CDS=1-1560, -processed-gene-9.21-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-9.21&CDS=1-1662, -snap-gene-11.38-mRNA-1_1&gene=maker-gi|1002316417|dbj|BCGJ01000001.1|-snap-gene-11.38&CDS=1-3045
3	OG0000003	YLR256W	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-0.23&CDS=1-2886, -processed-gene-13.67-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-13.67&CDS=1-2172, -processed-gene-15.85-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-15.85&CDS=1-3039, -processed-gene-3.45-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-3.45&CDS=1-2826, -processed-gene-6.11-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-6.11&CDS=1-2808, -processed-gene-6.59-mRNA-1_1&gene=snap_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-6.59&CDS=1-4212, -processed-gene-9.19-mRNA-1_1&gene=augustus_masked-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-9.19&CDS=1-2925, -processed-gene-9.20-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-9.20&CDS=1-3159, -processed-gene-9.21-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-9.21&CDS=1-4071
4	OG0000004	YBR297W, YFL052W, YGR288W, YPR196W	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-0.39&CDS=1-984, -processed-gene-1.22-mRNA-1_1&gene=snap_masked-gi|1002316407|dbj|BCGJ01000011.1|-processed-gene-1.22&CDS=1-210, -processed-gene-10.29-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-10.29&CDS=1-2001, -processed-gene-11.40-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-11.40&CDS=1-2778, -processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-4.19&CDS=1-2283
5	OG0000005	YGL257C, YNR059W	-processed-gene-19.22-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-19.22&CDS=1-1995, -processed-gene-20.64-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-20.64&CDS=1-2037, -processed-gene-22.19-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-22.19&CDS=1-2253, -processed-gene-6.14-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-6.14&CDS=1-2220, -processed-gene-6.53-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-6.53&CDS=1-2334, -processed-gene-7.54-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-7.54&CDS=1-2136, -snap-gene-6.3-mRNA-1_1&gene=maker-gi|1002316411|dbj|BCGJ01000007.1|-snap-gene-6.3&CDS=1-2298
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	-processed-gene-30.43-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-30.43&CDS=1-1488
7	OG0000007	YEL060C	-processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-3.41&CDS=1-1383, -processed-gene-3.54-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-3.54&CDS=1-1404, -processed-gene-30.5-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-30.5&CDS=1-1317, -processed-gene-4.121-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-4.121&CDS=1-1626, -processed-gene-5.38-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-5.38&CDS=1-1392, -processed-gene-6.0-mRNA-1_1&gene=augustus_masked-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-6.0&CDS=1-1404, -processed-gene-9.44-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-9.44&CDS=1-1404
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	-processed-gene-15.12-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-15.12&CDS=1-2274, -processed-gene-21.76-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-21.76&CDS=1-2916, -processed-gene-6.64-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-6.64&CDS=1-2610, -processed-gene-9.54-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-9.54&CDS=1-3348
9	OG0000009	YIL123W, YKR042W, YNL066W	-processed-gene-1.75-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-1.75&CDS=1-1365, -processed-gene-1.76-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-1.76&CDS=1-1512, -processed-gene-4.33-mRNA-1_1&gene=genemark-gi|1002316409|dbj|BCGJ01000009.1|-processed-gene-4.33&CDS=1-1110, -processed-gene-8.13-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-8.13&CDS=1-1158, -snap-gene-28.34-mRNA-1_1&gene=maker-gi|1002316417|dbj|BCGJ01000001.1|-snap-gene-28.34&CDS=1-2259
