	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035296_Priceomyces_carsonii
0	OG0000000	YKR064W, YLR256W	augustus_masked-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.54&CDS=1-2157, augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.107&CDS=1-2181, augustus_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.87&CDS=1-2763, augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.102&CDS=1-2136, augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-0.18&CDS=1-2475, augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.11&CDS=1-3219, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.221-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.221&CDS=1-2340, genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.84&CDS=1-3030, genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.85&CDS=1-2745, genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.219-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.219&CDS=1-2187, genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.78&CDS=1-2064, genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.79&CDS=1-2142, genemark-NODE_31_length_11546_cov_39.88_ID_3457-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_31_length_11546_cov_39.88_ID_3457-processed-gene-0.5&CDS=1-2589, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.68&CDS=1-2736, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.20&CDS=1-2526, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.41-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.41&CDS=1-1041, genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.51&CDS=1-3042, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.44&CDS=1-2412, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.67&CDS=1-2652, snap_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.175-mRNA-1_1&gene=snap_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.175&CDS=1-1188, snap_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.46&CDS=1-2676, snap_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.152-mRNA-1_1&gene=snap_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.152&CDS=1-2724
1	OG0000001	YBR240C, YDR207C, YOR126C	augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.39&CDS=1-2661, genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.50-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.50&CDS=1-1719, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.64&CDS=1-1938, genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.72-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.72&CDS=1-1710, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.15-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.15&CDS=1-1596, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.40-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.40&CDS=1-2292, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.21-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.21&CDS=1-1503, genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.203-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.203&CDS=1-1167, genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.67&CDS=1-1623, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.68-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.68&CDS=1-1851, maker-NODE_16_length_317400_cov_23.6874_ID_1729-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_16_length_317400_cov_23.6874_ID_1729-augustus-gene-0.0&CDS=1-2259, maker-NODE_21_length_177165_cov_25.6692_ID_2879-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_21_length_177165_cov_25.6692_ID_2879-augustus-gene-0.3&CDS=1-1833, maker-NODE_27_length_53047_cov_25.3891_ID_3076-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_27_length_53047_cov_25.3891_ID_3076-augustus-gene-0.6&CDS=1-1740
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.78&CDS=1-1719, genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.97&CDS=1-1704, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.56-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.56&CDS=1-1704, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.57-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.57&CDS=1-1728
3	OG0000003	YDR242W	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.15&CDS=1-1668, genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.61-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.61&CDS=1-1689, genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.58&CDS=1-1701, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.55&CDS=1-1671, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.70&CDS=1-1632, genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.117&CDS=1-1665, genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.107&CDS=1-1656, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.84&CDS=1-1644, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.73&CDS=1-1641, snap_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.288-mRNA-1_1&gene=snap_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.288&CDS=1-1644
4	OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	maker-NODE_18_length_302002_cov_23.6261_ID_1893-snap-gene-2.145-mRNA-1_1&gene=maker-NODE_18_length_302002_cov_23.6261_ID_1893-snap-gene-2.145&CDS=1-2007
5	OG0000005	YJR061W, YKL201C	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.5&CDS=1-2391, augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.13&CDS=1-2322, augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.49&CDS=1-2139, genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.247-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.247&CDS=1-2376, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.14&CDS=1-2334, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.54&CDS=1-2481, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.33&CDS=1-2511, genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.258-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.258&CDS=1-1806
6	OG0000006	YBR025C, YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.283-mRNA-1_1&gene=augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.283&CDS=1-2757, genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-1.58&CDS=1-2370, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.61-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.61&CDS=1-2178, snap_masked-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.103&CDS=1-3267
7	OG0000007	YDL144C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.45&CDS=1-1011, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.52&CDS=1-1002, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.59&CDS=1-999, genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.146&CDS=1-1011, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.75-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.75&CDS=1-1050, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.61&CDS=1-1023, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.68&CDS=1-1014
8	OG0000008	YJL212C, YPR194C	augustus_masked-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-2.28&CDS=1-4329, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.75&CDS=1-2763, genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.100&CDS=1-2760, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-1.48&CDS=1-2802, genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.261-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.261&CDS=1-2283, genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.101-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.101&CDS=1-2562
9	OG0000009	YJR152W	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.29&CDS=1-1512, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.56&CDS=1-1515, genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-0.67&CDS=1-1581, genemark-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-2.148-mRNA-1_1&gene=genemark-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-2.148&CDS=1-1572, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.93-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.93&CDS=1-1524, genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.80&CDS=1-1689, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.60&CDS=1-1584
