	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_eubayanus
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YNR072W, YOL156W	augustus_masked-chrXV-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-6.98&CDS=1-879, snap_masked-chrXIII-processed-gene-8.146-mRNA-1_1&gene=snap_masked-chrXIII-processed-gene-8.146&CDS=1-567
1	OG0000001	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	augustus_masked-chrV-processed-gene-4.219-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-4.219&CDS=1-360, augustus_masked-chrXII-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-9.30&CDS=1-360
2	OG0000002	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	maker-chrII-snap-gene-11.103-mRNA-1_1&gene=maker-chrII-snap-gene-11.103&CDS=1-882
3	OG0000003	YAL005C, YBL075C, YER103W, YJL034W, YLL024C	augustus_masked-chrI-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.47&CDS=1-1851, augustus_masked-chrII-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.14&CDS=1-1974, augustus_masked-chrV-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-3.113&CDS=1-1926, augustus_masked-chrX-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-3.117&CDS=1-2049, augustus_masked-chrXII-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-1.102&CDS=1-1917
4	OG0000004	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W	snap_masked-chrXII-processed-gene-0.40-mRNA-1_1&gene=snap_masked-chrXII-processed-gene-0.40&CDS=1-1128
5	OG0000005	YAR027W, YAR028W, YAR033W, YCR007C, YGL051W, YGL053W	augustus_masked-chrI-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.25&CDS=1-735, augustus_masked-chrXIII-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-3.77&CDS=1-708, snap_masked-chrI-processed-gene-0.214-mRNA-1_1&gene=snap_masked-chrI-processed-gene-0.214&CDS=1-744
6	OG0000006	YGR287C, YIL172C, YJL221C, YOL157C	augustus_masked-chrII-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-0.49&CDS=1-1767, augustus_masked-chrXIII-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-0.22&CDS=1-1767, maker-chrV-snap-gene-4.101-mRNA-1_1&gene=maker-chrV-snap-gene-4.101&CDS=1-3264, maker-chrV-snap-gene-4.99-mRNA-1_1&gene=maker-chrV-snap-gene-4.99&CDS=1-1950, maker-chrXVI-snap-gene-0.47-mRNA-1_1&gene=maker-chrXVI-snap-gene-0.47&CDS=1-1185
7	OG0000007	YBR145W, YMR083W, YMR303C, YOL086C	augustus_masked-chrIV-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-7.113&CDS=1-1053, augustus_masked-chrXIII-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-8.103&CDS=1-1044, augustus_masked-chrXV-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-1.74&CDS=1-1044, snap_masked-chrXIII-processed-gene-4.85-mRNA-1_1&gene=snap_masked-chrXIII-processed-gene-4.85&CDS=1-1125
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-chrV-processed-gene-4.212-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-4.212&CDS=1-1206, augustus_masked-chrXIII-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-0.4&CDS=1-1383, augustus_masked-chrXVI-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-0.110&CDS=1-1200, snap_masked-chrXIII-processed-gene-0.79-mRNA-1_1&gene=snap_masked-chrXIII-processed-gene-0.79&CDS=1-1206
9	OG0000009	YCR104W, YIR041W, YKL224C, YLL025W, YLR037C, YMR325W	augustus_masked-chrV-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-1.42&CDS=1-372, augustus_masked-chrXII-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-2.135&CDS=1-372
