	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_rouxii
0	OG0000000		snap_masked-Zyro0A-processed-gene-0.3-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-0.3&CDS=1-648, snap_masked-Zyro0A-processed-gene-10.66-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-10.66&CDS=1-672, snap_masked-Zyro0A-processed-gene-10.67-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-10.67&CDS=1-249, snap_masked-Zyro0A-processed-gene-10.68-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-10.68&CDS=1-903, snap_masked-Zyro0A-processed-gene-9.100-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-9.100&CDS=1-264, snap_masked-Zyro0A-processed-gene-9.101-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-9.101&CDS=1-579, snap_masked-Zyro0B-processed-gene-0.0-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-0.0&CDS=1-1080, snap_masked-Zyro0B-processed-gene-12.285-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-12.285&CDS=1-267, snap_masked-Zyro0B-processed-gene-12.286-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-12.286&CDS=1-369, snap_masked-Zyro0C-processed-gene-0.1-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-0.1&CDS=1-1068, snap_masked-Zyro0C-processed-gene-13.88-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-13.88&CDS=1-768, snap_masked-Zyro0D-processed-gene-0.75-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-0.75&CDS=1-1068, snap_masked-Zyro0D-processed-gene-0.76-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-0.76&CDS=1-672, snap_masked-Zyro0D-processed-gene-0.77-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-0.77&CDS=1-1053, snap_masked-Zyro0D-processed-gene-0.80-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-0.80&CDS=1-1068, snap_masked-Zyro0E-processed-gene-0.0-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-0.0&CDS=1-801, snap_masked-Zyro0E-processed-gene-0.2-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-0.2&CDS=1-771, snap_masked-Zyro0E-processed-gene-0.4-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-0.4&CDS=1-1053, snap_masked-Zyro0F-processed-gene-14.258-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-14.258&CDS=1-768, snap_masked-Zyro0F-processed-gene-4.107-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-4.107&CDS=1-378
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
2	OG0000002	YDR011W, YDR406W, YOR153W, YPL058C	augustus_masked-Zyro0B-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-12.96&CDS=1-4545, augustus_masked-Zyro0D-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-10.101&CDS=1-13317, augustus_masked-Zyro0D-processed-gene-13.94-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-13.94&CDS=1-4458, augustus_masked-Zyro0F-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-7.54&CDS=1-4560, snap_masked-Zyro0A-processed-gene-3.136-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-3.136&CDS=1-4554, snap_masked-Zyro0F-processed-gene-7.101-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-7.101&CDS=1-4560
3	OG0000003	YDR541C, YOL151W	augustus_masked-Zyro0B-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-0.84&CDS=1-999, augustus_masked-Zyro0B-processed-gene-12.127-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-12.127&CDS=1-1014, augustus_masked-Zyro0C-processed-gene-13.127-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-13.127&CDS=1-999, augustus_masked-Zyro0E-processed-gene-7.177-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-7.177&CDS=1-999, augustus_masked-Zyro0F-processed-gene-14.121-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-14.121&CDS=1-999, augustus_masked-Zyro0F-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-4.28&CDS=1-1023, augustus_masked-Zyro0G-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-0.87&CDS=1-999, augustus_masked-Zyro0G-processed-gene-12.24-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-12.24&CDS=1-1023
4	OG0000004	YEL063C, YGL043W, YNL268W, YOR348C, YPL265W	augustus_masked-Zyro0C-processed-gene-13.167-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-13.167&CDS=1-1725, augustus_masked-Zyro0D-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-13.42&CDS=1-1554, augustus_masked-Zyro0F-processed-gene-13.106-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-13.106&CDS=1-1740, augustus_masked-Zyro0F-processed-gene-13.122-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-13.122&CDS=1-1821, maker-Zyro0G-augustus-gene-5.158-mRNA-1_1&gene=maker-Zyro0G-augustus-gene-5.158&CDS=1-3009
5	OG0000005		augustus_masked-Zyro0B-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-0.83&CDS=1-2115, maker-Zyro0A-snap-gene-10.73-mRNA-1_1&gene=maker-Zyro0A-snap-gene-10.73&CDS=1-669, snap_masked-Zyro0A-processed-gene-10.34-mRNA-1_1&gene=snap_masked-Zyro0A-processed-gene-10.34&CDS=1-216, snap_masked-Zyro0B-processed-gene-12.237-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-12.237&CDS=1-486, snap_masked-Zyro0B-processed-gene-12.282-mRNA-1_1&gene=snap_masked-Zyro0B-processed-gene-12.282&CDS=1-1719, snap_masked-Zyro0C-processed-gene-0.28-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-0.28&CDS=1-1953, snap_masked-Zyro0C-processed-gene-13.44-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-13.44&CDS=1-2124, snap_masked-Zyro0E-processed-gene-0.19-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-0.19&CDS=1-2046, snap_masked-Zyro0E-processed-gene-7.41-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-7.41&CDS=1-2136, snap_masked-Zyro0F-processed-gene-14.215-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-14.215&CDS=1-2070
6	OG0000006	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W	augustus_masked-Zyro0A-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-8.49&CDS=1-2019, augustus_masked-Zyro0B-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-0.81&CDS=1-1923, augustus_masked-Zyro0B-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-3.54&CDS=1-2895, augustus_masked-Zyro0C-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-8.126&CDS=1-1839
7	OG0000007	YBL017C, YCR099C, YCR100C, YCR101C, YIL173W, YJL222W, YNR065C, YNR066C	augustus_masked-Zyro0C-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-10.74&CDS=1-5109
8	OG0000008	YBR068C, YCL025C, YDR046C, YDR508C, YKR039W	augustus_masked-Zyro0F-processed-gene-14.96-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-14.96&CDS=1-1899, augustus_masked-Zyro0G-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.53&CDS=1-1854, genemark-Zyro0D-processed-gene-3.72-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-3.72&CDS=1-1800, maker-Zyro0B-snap-gene-7.59-mRNA-1_1&gene=maker-Zyro0B-snap-gene-7.59&CDS=1-1746
9	OG0000009	YDR342C, YDR343C, YDR443C, YHR092C, YOL138C	augustus_masked-Zyro0A-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-5.20&CDS=1-1713, augustus_masked-Zyro0G-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-0.73&CDS=1-1767, maker-Zyro0C-augustus-gene-2.58-mRNA-1_1&gene=maker-Zyro0C-augustus-gene-2.58&CDS=1-5478, maker-Zyro0D-augustus-gene-11.149-mRNA-1_1&gene=maker-Zyro0D-augustus-gene-11.149&CDS=1-6255
10	OG0000010	YER073W, YMR169C, YMR170C, YOR374W	augustus_masked-Zyro0A-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-6.65&CDS=1-1509, augustus_masked-Zyro0C-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-6.131&CDS=1-1938, maker-Zyro0A-augustus-gene-6.114-mRNA-1_1&gene=maker-Zyro0A-augustus-gene-6.114&CDS=1-3270, snap_masked-Zyro0C-processed-gene-0.31-mRNA-1_1&gene=snap_masked-Zyro0C-processed-gene-0.31&CDS=1-1557
11	OG0000011	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	augustus_masked-Zyro0G-processed-gene-15.56-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-15.56&CDS=1-1287, augustus_masked-Zyro0G-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-15.73&CDS=1-1434
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
13	OG0000013	YBR008C	augustus_masked-Zyro0F-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-3.143&CDS=1-1647, genemark-Zyro0B-processed-gene-12.40-mRNA-1_1&gene=genemark-Zyro0B-processed-gene-12.40&CDS=1-2157, maker-Zyro0A-augustus-gene-10.3-mRNA-1_1&gene=maker-Zyro0A-augustus-gene-10.3&CDS=1-2229, maker-Zyro0E-snap-gene-7.219-mRNA-1_1&gene=maker-Zyro0E-snap-gene-7.219&CDS=1-3462, maker-Zyro0E-snap-gene-7.220-mRNA-1_1&gene=maker-Zyro0E-snap-gene-7.220&CDS=1-3426
14	OG0000014	YDR144C, YLR120C, YLR121C	augustus_masked-Zyro0E-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-1.103&CDS=1-1518, augustus_masked-Zyro0G-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-2.105&CDS=1-1593, maker-Zyro0F-snap-gene-8.2-mRNA-1_1&gene=maker-Zyro0F-snap-gene-8.2&CDS=1-7824
15	OG0000015	YER013W, YGL120C, YKR086W	augustus_masked-Zyro0A-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-9.17&CDS=1-3255, augustus_masked-Zyro0D-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-12.22&CDS=1-4947, augustus_masked-Zyro0E-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-1.69&CDS=1-2325
