	OrthologID	Priceomyces_haplophilus	Saccharomyces_cerevisiae
0	OG0000000	-processed-gene-0.41-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.41&CDS=1-2289, -processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.58&CDS=1-2502, -processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.60&CDS=1-2301, -processed-gene-17.48-mRNA-1_1&gene=augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-17.48&CDS=1-2661, -processed-gene-4.175-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-4.175&CDS=1-2403, -processed-gene-5.132-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.132&CDS=1-3216, -processed-gene-5.133-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.133&CDS=1-3066, -processed-gene-8.111-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.111&CDS=1-2697, -processed-gene-9.228-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.228&CDS=1-2841, -processed-gene-9.264-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.264&CDS=1-1986, -processed-gene-9.56-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.56&CDS=1-2388	
1	OG0000001	-processed-gene-10.95-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-10.95&CDS=1-1839, -processed-gene-7.25-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-7.25&CDS=1-1947, -processed-gene-8.110-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-8.110&CDS=1-3984, -processed-gene-9.16-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.16&CDS=1-1956, -snap-gene-4.56-mRNA-1_1&gene=maker-gi|1002316135|dbj|BCIF01000005.1|-snap-gene-4.56&CDS=1-2700	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W, YPR072W
2	OG0000002	-processed-gene-0.56-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.56&CDS=1-1023, -processed-gene-10.188-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-10.188&CDS=1-1008, -processed-gene-12.50-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-12.50&CDS=1-1989, -processed-gene-6.149-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-6.149&CDS=1-1011, -processed-gene-9.231-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.231&CDS=1-1008, -processed-gene-9.33-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.33&CDS=1-1023, -processed-gene-9.61-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.61&CDS=1-1005	YDR541C, YJL088W, YOL151W
3	OG0000003	-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-2.44&CDS=1-2754, -processed-gene-3.4-mRNA-1_1&gene=genemark-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-3.4&CDS=1-6024, -processed-gene-4.132-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-4.132&CDS=1-3381, -processed-gene-9.0-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.0&CDS=1-2277, -processed-gene-9.18-mRNA-1_1&gene=genemark-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.18&CDS=1-2691	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
4	OG0000004	-processed-gene-0.57-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.57&CDS=1-1809, -processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.51&CDS=1-2328, -processed-gene-13.123-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.123&CDS=1-2199, -processed-gene-3.124-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-3.124&CDS=1-2391, -processed-gene-6.14-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-6.14&CDS=1-2373, -processed-gene-7.140-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-7.140&CDS=1-2247, -snap-gene-0.99-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-0.99&CDS=1-4782	YJR061W, YKL201C
5	OG0000005	-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-15.74&CDS=1-2235, -processed-gene-2.54-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-2.54&CDS=1-2562, -processed-gene-9.19-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.19&CDS=1-2424, -processed-gene-9.5-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-9.5&CDS=1-2988	YER001W, YGL257C, YIL014W, YNR059W
6	OG0000006	-processed-gene-16.77-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-16.77&CDS=1-2112, -processed-gene-6.71-mRNA-1_1&gene=augustus_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.71&CDS=1-2274, -processed-gene-7.87-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.87&CDS=1-2037	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
7	OG0000007	-processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.43&CDS=1-2259, -processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.63&CDS=1-2259, -processed-gene-2.45-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.45&CDS=1-2328, -processed-gene-2.46-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.46&CDS=1-2565, -processed-gene-2.47-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.47&CDS=1-2331, -processed-gene-4.86-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-4.86&CDS=1-1407	YBR150C, YOL089C
8	OG0000008	-processed-gene-1.185-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.185&CDS=1-1914, -processed-gene-10.72-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-10.72&CDS=1-4545, -processed-gene-6.39-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-6.39&CDS=1-3834, -processed-gene-9.62-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-9.62&CDS=1-2394	YFR038W, YIL126W, YKR008W, YOR290C
9	OG0000009	-processed-gene-1.80-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-1.80&CDS=1-1281, -processed-gene-7.43-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-7.43&CDS=1-1740, -snap-gene-8.103-mRNA-1_1&gene=maker-gi|1002316139|dbj|BCIF01000001.1|-snap-gene-8.103&CDS=1-2616	YBR205W, YJL139C, YKR061W, YOR099W
