	OrthologID	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-CP014242.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-0.9&CDS=1-1578, maker-CP014242.1-snap-gene-16.57-mRNA-1_1&gene=maker-CP014242.1-snap-gene-16.57&CDS=1-5013	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
1	OG0000001	augustus_masked-CP014242.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-0.40&CDS=1-1905, augustus_masked-CP014246.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-3.71&CDS=1-1923, augustus_masked-CP014246.1-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.129&CDS=1-1920, augustus_masked-CP014248.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-3.82&CDS=1-1944, augustus_masked-CP014248.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-5.99&CDS=1-2055, augustus_masked-CP014248.1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-7.3&CDS=1-1839	YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W
2	OG0000002	augustus_masked-CP014244.1-processed-gene-13.183-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-13.183&CDS=1-2118, augustus_masked-CP014245.1-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-10.140&CDS=1-3462, augustus_masked-CP014245.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-2.36&CDS=1-3285, augustus_masked-CP014245.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-6.95&CDS=1-2292, augustus_masked-CP014246.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.30&CDS=1-3333	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
3	OG0000003	augustus_masked-CP014242.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-0.5&CDS=1-1350, augustus_masked-CP014243.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.95&CDS=1-1302, augustus_masked-CP014246.1-processed-gene-8.160-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.160&CDS=1-1317, augustus_masked-CP014248.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-0.41&CDS=1-2607, maker-CP014242.1-snap-gene-9.44-mRNA-1_1&gene=maker-CP014242.1-snap-gene-9.44&CDS=1-2766	YDR144C, YLR120C, YLR121C
4	OG0000004	genemark-CP014242.1-processed-gene-8.77-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-8.77&CDS=1-1551	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
5	OG0000005	augustus_masked-CP014243.1-processed-gene-12.88-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-12.88&CDS=1-2781, augustus_masked-CP014244.1-processed-gene-13.185-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-13.185&CDS=1-1974, augustus_masked-CP014248.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CP014248.1-processed-gene-3.62&CDS=1-3348, genemark-CP014246.1-processed-gene-2.44-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-2.44&CDS=1-1425	YBL063W, YEL061C, YKL079W
6	OG0000006	augustus_masked-CP014245.1-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-5.13&CDS=1-3915, augustus_masked-CP014246.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-3.92&CDS=1-4776, genemark-CP014247.1-processed-gene-4.25-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-4.25&CDS=1-4788	YAL026C, YDR093W, YER166W, YMR162C
7	OG0000007	augustus_masked-CP014245.1-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-5.14&CDS=1-4677, augustus_masked-CP014247.1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-3.75&CDS=1-5547, genemark-CP014246.1-processed-gene-5.157-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-5.157&CDS=1-5862	YHR023W, YKL129C, YMR109W, YOR326W
8	OG0000008	augustus_masked-CP014245.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-CP014245.1-processed-gene-8.81&CDS=1-4785	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
9	OG0000009	augustus_masked-CP014242.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-0.3&CDS=1-969, augustus_masked-CP014244.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-0.50&CDS=1-966, augustus_masked-CP014246.1-processed-gene-8.161-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.161&CDS=1-966, snap_masked-CP014247.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-CP014247.1-processed-gene-0.9&CDS=1-1005, snap_masked-CP014248.1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-CP014248.1-processed-gene-9.105&CDS=1-966	YER187W
