	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035033_Candida_cretensis
0	OG0000000	YCL069W, YGR224W, YKR105C, YMR088C, YPR198W	augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.13&CDS=1-1782, augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.14&CDS=1-1734, augustus_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.95&CDS=1-3897, genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.96-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.96&CDS=1-1677, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.28-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-12.28&CDS=1-1827, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.103-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.103&CDS=1-1731, genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-1.143-mRNA-1_1&gene=genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-1.143&CDS=1-1098, snap_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.178-mRNA-1_1&gene=snap_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.178&CDS=1-1791, snap_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.179-mRNA-1_1&gene=snap_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.179&CDS=1-1827
1	OG0000001	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.83&CDS=1-1806, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.48-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.48&CDS=1-1749, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.67-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.67&CDS=1-1731, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-1.120-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-1.120&CDS=1-1698, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-11.74-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-11.74&CDS=1-1773, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.111&CDS=1-1740, snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.12-mRNA-1_1&gene=snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.12&CDS=1-1761
2	OG0000002	YDR541C, YOL151W	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.85-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.85&CDS=1-1020, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.27-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.27&CDS=1-1011, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.49-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.49&CDS=1-1005, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.211-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.211&CDS=1-999, genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-2.28-mRNA-1_1&gene=genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-2.28&CDS=1-945, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.121&CDS=1-1020, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.109-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.109&CDS=1-1005, snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.20-mRNA-1_1&gene=snap_masked-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.20&CDS=1-1002, snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.134-mRNA-1_1&gene=snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.134&CDS=1-966, snap_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.51-mRNA-1_1&gene=snap_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.51&CDS=1-1005
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W, YPL009C	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-3.68-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-3.68&CDS=1-1389, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.27-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-10.27&CDS=1-1389, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.45-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.45&CDS=1-1380, maker-NODE_2_length_1610937_cov_29.4059_ID_3-augustus-gene-10.91-mRNA-1_1&gene=maker-NODE_2_length_1610937_cov_29.4059_ID_3-augustus-gene-10.91&CDS=1-4473
4	OG0000004	YDR207C	augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.93&CDS=1-1542, augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.94&CDS=1-1623, genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.140-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.140&CDS=1-453, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.154-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.154&CDS=1-912, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.83&CDS=1-567, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.52-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-3.52&CDS=1-2076, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.44-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.44&CDS=1-1758, genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-5.144-mRNA-1_1&gene=genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-5.144&CDS=1-1332, snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-9.32-mRNA-1_1&gene=snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-9.32&CDS=1-522
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-9.157-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-9.157&CDS=1-1719, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.9&CDS=1-1707
6	OG0000006	YGL191W, YJR144W, YLR023C	augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.76&CDS=1-2859, augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-6.49&CDS=1-3951, genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.100-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.100&CDS=1-1872, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-7.112-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-7.112&CDS=1-2658, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.153-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-5.153&CDS=1-2397, maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-7.175-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-augustus-gene-7.175&CDS=1-3015
7	OG0000007	YKR064W, YLR256W	augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-1.93&CDS=1-2709, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.137-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.137&CDS=1-3213, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.32-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.32&CDS=1-2940, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.28-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.28&CDS=1-3510, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.29-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.29&CDS=1-3849, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.32-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.32&CDS=1-2988, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.75-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.75&CDS=1-2979
8	OG0000008	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.92-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.92&CDS=1-483, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-12.87-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-12.87&CDS=1-681
9	OG0000009	YCL048W, YDR522C	augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-0.51&CDS=1-1677, genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.117&CDS=1-1824, genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.133-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.133&CDS=1-1776, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.129-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-15.129&CDS=1-2925, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-1.105-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-1.105&CDS=1-1836, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.95-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-5.95&CDS=1-1671
10	OG0000010	YLR129W, YMR006C, YMR008C, YOL011W	augustus_masked-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-0.64&CDS=1-4995, genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.140-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.140&CDS=1-1884, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.56-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.56&CDS=1-1830, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.123-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.123&CDS=1-2022
11	OG0000011	YBR207W, YER145C	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.63&CDS=1-1152, genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-2.64&CDS=1-1194, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-3.81-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-3.81&CDS=1-1188, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-10.55-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-10.55&CDS=1-1236, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.33-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.33&CDS=1-1221
12	OG0000012	YDR326C, YHR080C, YLR441C	genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.126-mRNA-1_1&gene=genemark-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-1.126&CDS=1-2844, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.310-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-13.310&CDS=1-1467, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-2.56&CDS=1-768, maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-4.146-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-4.146&CDS=1-2730
