	OrthologID	Lachancea_fermentati	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YDR545W, YEL075C, YEL076C, YEL076C-A, YEL077C, YER189W, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W
1	OG0000001		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
2	OG0000002	genemark-LAFE0C-processed-gene-0.80-mRNA-1_1&gene=genemark-LAFE0C-processed-gene-0.80&CDS=1-3972, genemark-LAFE0E-processed-gene-0.11-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-0.11&CDS=1-4560, genemark-LAFE0E-processed-gene-12.31-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-12.31&CDS=1-2391, maker-LAFE0H-augustus-gene-10.54-mRNA-1_1&gene=maker-LAFE0H-augustus-gene-10.54&CDS=1-4953, snap_masked-LAFE0E-processed-gene-12.175-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-12.175&CDS=1-741	YBL017C, YCR100C, YCR101C, YIL173W, YJL222W, YNR065C, YNR066C
3	OG0000003	augustus_masked-LAFE0H-processed-gene-14.138-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-14.138&CDS=1-1296, genemark-LAFE0E-processed-gene-12.32-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-12.32&CDS=1-1623, maker-LAFE0D-snap-gene-7.135-mRNA-1_1&gene=maker-LAFE0D-snap-gene-7.135&CDS=1-1755, snap_masked-LAFE0D-processed-gene-7.80-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-7.80&CDS=1-1722, snap_masked-LAFE0D-processed-gene-7.81-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-7.81&CDS=1-1722, snap_masked-LAFE0D-processed-gene-7.83-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-7.83&CDS=1-1725	YDR342C, YDR343C, YHR092C, YIL170W, YJL219W, YOL156W
4	OG0000004	augustus_masked-LAFE0E-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-1.100&CDS=1-1593, augustus_masked-LAFE0F-processed-gene-11.155-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-11.155&CDS=1-897, augustus_masked-LAFE0G-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-LAFE0G-processed-gene-8.57&CDS=1-435, augustus_masked-LAFE0H-processed-gene-10.129-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-10.129&CDS=1-579, augustus_masked-LAFE0H-processed-gene-11.121-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-11.121&CDS=1-858, snap_masked-LAFE0A-processed-gene-2.129-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-2.129&CDS=1-651, snap_masked-LAFE0B-processed-gene-6.89-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-6.89&CDS=1-723, snap_masked-LAFE0B-processed-gene-6.90-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-6.90&CDS=1-702, snap_masked-LAFE0B-processed-gene-6.91-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-6.91&CDS=1-630, snap_masked-LAFE0C-processed-gene-1.4-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-1.4&CDS=1-765, snap_masked-LAFE0H-processed-gene-10.81-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-10.81&CDS=1-684	
5	OG0000005	snap_masked-LAFE0D-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-7.62&CDS=1-4644, snap_masked-LAFE0G-processed-gene-10.54-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-10.54&CDS=1-3972, snap_masked-LAFE0G-processed-gene-11.73-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-11.73&CDS=1-4521, snap_masked-LAFE0H-processed-gene-14.178-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-14.178&CDS=1-4440	YDR011W, YDR406W, YIL013C, YOR011W, YOR153W, YPL058C
6	OG0000006	snap_masked-LAFE0A-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-0.47&CDS=1-1776, snap_masked-LAFE0G-processed-gene-1.113-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-1.113&CDS=1-1752, snap_masked-LAFE0G-processed-gene-1.137-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-1.137&CDS=1-1767	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
7	OG0000007		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
8	OG0000008	augustus_masked-LAFE0B-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.95&CDS=1-2532, augustus_masked-LAFE0C-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-0.65&CDS=1-957, augustus_masked-LAFE0E-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-0.48&CDS=1-1515, maker-LAFE0E-augustus-gene-0.3-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-0.3&CDS=1-1128, snap_masked-LAFE0A-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-0.39&CDS=1-1143, snap_masked-LAFE0A-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-0.40&CDS=1-444, snap_masked-LAFE0C-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-0.30&CDS=1-696, snap_masked-LAFE0F-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-0.46&CDS=1-663	
9	OG0000009	maker-LAFE0A-augustus-gene-0.0-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-0.0&CDS=1-1686, maker-LAFE0B-snap-gene-9.186-mRNA-1_1&gene=maker-LAFE0B-snap-gene-9.186&CDS=1-5181	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
