	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034709_Kluyveromyces_aestuarii
0	OG0000000	YBR068C, YCL025C, YDR046C, YDR508C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W	augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.50&CDS=1-1719, augustus_masked-NODE_27_length_38662_cov_28.0228_ID_53-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_27_length_38662_cov_28.0228_ID_53-processed-gene-0.25&CDS=1-1731, maker-NODE_12_length_381431_cov_26.8905_ID_23-snap-gene-1.56-mRNA-1_1&gene=maker-NODE_12_length_381431_cov_26.8905_ID_23-snap-gene-1.56&CDS=1-2130, maker-NODE_12_length_381431_cov_26.8905_ID_23-snap-gene-1.57-mRNA-1_1&gene=maker-NODE_12_length_381431_cov_26.8905_ID_23-snap-gene-1.57&CDS=1-1140, snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-1.114&CDS=1-1782, snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-1.148&CDS=1-1755, snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.42&CDS=1-1833, snap_masked-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_18_length_231117_cov_28.1554_ID_35-processed-gene-0.92&CDS=1-1830
1	OG0000001	YAL005C, YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W	snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-1.2&CDS=1-1839, snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-5.27&CDS=1-1953, snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_20_length_127591_cov_27.0495_ID_39-processed-gene-0.17&CDS=1-1920, snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.92&CDS=1-2037, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.22-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.22&CDS=1-1926, snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-1.46&CDS=1-1938
2	OG0000002	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
3	OG0000003	YER073W, YMR169C, YMR170C, YOR374W, YPL061W	genemark-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.161-mRNA-1_1&gene=genemark-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.161&CDS=1-1905, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.62&CDS=1-1521, snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.27&CDS=1-1500, snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-2.52&CDS=1-1509, snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-2.64&CDS=1-1557
4	OG0000004	YDR483W, YJL139C, YKR061W, YOR099W	augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.243-mRNA-1_1&gene=augustus_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.243&CDS=1-3531, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.120&CDS=1-1221, snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-0.9&CDS=1-1230, snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.21&CDS=1-1266, snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-1.99&CDS=1-1233
5	OG0000005	YDR011W, YDR406W, YNR070W, YOR153W, YPL058C	maker-NODE_10_length_474261_cov_27.8157_ID_19-augustus-gene-3.0-mRNA-1_1&gene=maker-NODE_10_length_474261_cov_27.8157_ID_19-augustus-gene-3.0&CDS=1-6165, maker-NODE_1_length_907998_cov_27.5965_ID_1-snap-gene-1.98-mRNA-1_1&gene=maker-NODE_1_length_907998_cov_27.5965_ID_1-snap-gene-1.98&CDS=1-8871, snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-2.127&CDS=1-4575
6	OG0000006	YDR342C, YDR343C, YHR092C, YHR096C, YNL318C	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-4.32&CDS=1-1599, snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.38&CDS=1-1689, snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-1.39&CDS=1-1707
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-1.59&CDS=1-5313, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.13&CDS=1-2595, snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.113&CDS=1-2304, snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-1.36&CDS=1-3216
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.4-mRNA-1_1&gene=genemark-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-1.4&CDS=1-1395, snap_masked-NODE_32_length_28180_cov_37.9536_ID_63-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_32_length_28180_cov_37.9536_ID_63-processed-gene-0.30&CDS=1-1149
9	OG0000009	YBL041W, YJL172W, YOL153C	genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-7.135-mRNA-1_1&gene=genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-7.135&CDS=1-2487, genemark-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.165-mRNA-1_1&gene=genemark-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.165&CDS=1-1707, maker-NODE_16_length_247587_cov_27.0586_ID_31-snap-gene-0.120-mRNA-1_1&gene=maker-NODE_16_length_247587_cov_27.0586_ID_31-snap-gene-0.120&CDS=1-2622, snap_masked-NODE_23_length_83208_cov_26.9237_ID_45-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_23_length_83208_cov_26.9237_ID_45-processed-gene-0.34&CDS=1-1728
