	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034607_Saccharomycopsis_capsularis
0	OG0000000	YBR012W-B, YDR098C-B, YDR210C-D, YDR316W-B, YDR365W-B, YER138C, YER160C, YGR027W-B, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YJR029W, YLR035C-A, YLR157C-B, YLR227W-B, YML039W, YML045W, YMR050C, YNL054W-B, YOL103W-B, YOR142W-B, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B	
1	OG0000001	YNL040W	augustus_masked-flattened_line_195-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_195-processed-gene-0.3&CDS=1-3261, augustus_masked-flattened_line_2-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.32&CDS=1-1704, augustus_masked-flattened_line_212-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_212-processed-gene-0.7&CDS=1-1071, augustus_masked-flattened_line_230-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.1&CDS=1-1602, augustus_masked-flattened_line_230-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.2&CDS=1-456, augustus_masked-flattened_line_246-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_246-processed-gene-0.2&CDS=1-2571, augustus_masked-flattened_line_254-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_254-processed-gene-0.3&CDS=1-1872, augustus_masked-flattened_line_257-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_257-processed-gene-0.4&CDS=1-591, augustus_masked-flattened_line_273-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_273-processed-gene-0.0&CDS=1-1278, augustus_masked-flattened_line_278-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_278-processed-gene-0.2&CDS=1-1413, augustus_masked-flattened_line_291-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_291-processed-gene-0.3&CDS=1-930, augustus_masked-flattened_line_313-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_313-processed-gene-0.0&CDS=1-951, augustus_masked-flattened_line_329-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_329-processed-gene-0.3&CDS=1-1341, augustus_masked-flattened_line_676-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_676-processed-gene-0.2&CDS=1-408, augustus_masked-flattened_line_700-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_700-processed-gene-0.1&CDS=1-399, snap_masked-flattened_line_224-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_224-processed-gene-0.2&CDS=1-1512, snap_masked-flattened_line_326-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_326-processed-gene-0.0&CDS=1-423, snap_masked-flattened_line_357-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_357-processed-gene-0.2&CDS=1-474, snap_masked-flattened_line_506-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_506-processed-gene-0.0&CDS=1-468, snap_masked-flattened_line_528-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_528-processed-gene-0.2&CDS=1-501, snap_masked-flattened_line_572-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_572-processed-gene-0.0&CDS=1-363
2	OG0000002	YLR337C, YOR373W	augustus_masked-flattened_line_0-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.65&CDS=1-648, augustus_masked-flattened_line_120-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.66&CDS=1-891, augustus_masked-flattened_line_120-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.67&CDS=1-1785, augustus_masked-flattened_line_120-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.68&CDS=1-3951, augustus_masked-flattened_line_169-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_169-processed-gene-0.1&CDS=1-1782, augustus_masked-flattened_line_205-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.11&CDS=1-2028, augustus_masked-flattened_line_205-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.14&CDS=1-642, augustus_masked-flattened_line_22-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.78&CDS=1-1683, augustus_masked-flattened_line_26-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.42&CDS=1-1878, augustus_masked-flattened_line_54-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-1.107&CDS=1-1617, augustus_masked-flattened_line_64-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.173&CDS=1-1215, augustus_masked-flattened_line_98-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.36&CDS=1-903, genemark-flattened_line_58-processed-gene-1.131-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-1.131&CDS=1-1821, genemark-flattened_line_70-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.27&CDS=1-1980, snap_masked-flattened_line_58-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-1.86&CDS=1-348, snap_masked-flattened_line_70-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.104&CDS=1-1317, snap_masked-flattened_line_86-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.67&CDS=1-1812
3	OG0000003	YCL074W	augustus_masked-flattened_line_1430-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1430-processed-gene-0.0&CDS=1-228, augustus_masked-flattened_line_1616-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1616-processed-gene-0.1&CDS=1-219, augustus_masked-flattened_line_1664-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1664-processed-gene-0.1&CDS=1-144, augustus_masked-flattened_line_1988-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1988-processed-gene-0.0&CDS=1-195, augustus_masked-flattened_line_2016-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2016-processed-gene-0.1&CDS=1-198, augustus_masked-flattened_line_2120-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2120-processed-gene-0.1&CDS=1-213, augustus_masked-flattened_line_2274-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2274-processed-gene-0.1&CDS=1-207, augustus_masked-flattened_line_2346-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2346-processed-gene-0.0&CDS=1-120, augustus_masked-flattened_line_2420-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2420-processed-gene-0.0&CDS=1-201, augustus_masked-flattened_line_814-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_814-processed-gene-0.0&CDS=1-213, augustus_masked-flattened_line_816-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_816-processed-gene-0.2&CDS=1-246, augustus_masked-flattened_line_844-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_844-processed-gene-0.0&CDS=1-198, augustus_masked-flattened_line_892-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_892-processed-gene-0.0&CDS=1-204, augustus_masked-flattened_line_978-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_978-processed-gene-0.0&CDS=1-192, snap_masked-flattened_line_1086-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1086-processed-gene-0.1&CDS=1-294, snap_masked-flattened_line_1280-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1280-processed-gene-0.1&CDS=1-279, snap_masked-flattened_line_1894-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1894-processed-gene-0.1&CDS=1-204
4	OG0000004	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	
5	OG0000005	YGL257C, YNR059W	augustus_masked-flattened_line_82-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.125&CDS=1-2385, genemark-flattened_line_130-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.1&CDS=1-2379, genemark-flattened_line_4-processed-gene-2.0-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.0&CDS=1-2316, maker-flattened_line_4-snap-gene-2.71-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.71&CDS=1-2373, snap_masked-flattened_line_100-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.31&CDS=1-2019, snap_masked-flattened_line_30-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.99&CDS=1-2100, snap_masked-flattened_line_8-processed-gene-4.37-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.37&CDS=1-1881, snap_masked-flattened_line_8-processed-gene-4.7-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.7&CDS=1-2040
6	OG0000006	YLR256W	augustus_masked-flattened_line_10-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.75&CDS=1-2964, augustus_masked-flattened_line_10-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.86&CDS=1-4218, augustus_masked-flattened_line_34-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.153&CDS=1-2133, augustus_masked-flattened_line_36-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.105&CDS=1-3021, genemark-flattened_line_14-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.33&CDS=1-2904, genemark-flattened_line_20-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.18&CDS=1-2979, genemark-flattened_line_64-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.63&CDS=1-3585, genemark-flattened_line_64-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.64&CDS=1-4269, genemark-flattened_line_92-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.137&CDS=1-3102
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_56-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.60&CDS=1-1494
8	OG0000008	YGR260W	augustus_masked-flattened_line_48-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-1.182&CDS=1-1572, genemark-flattened_line_0-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.18&CDS=1-1548, genemark-flattened_line_16-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.70&CDS=1-1692, genemark-flattened_line_16-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.78&CDS=1-1569, genemark-flattened_line_44-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.33&CDS=1-1533, genemark-flattened_line_62-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.163&CDS=1-1560, snap_masked-flattened_line_82-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.74&CDS=1-1650
9	OG0000009	YOR049C	genemark-flattened_line_154-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_154-processed-gene-0.7&CDS=1-1029, genemark-flattened_line_4-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.84&CDS=1-1128, genemark-flattened_line_78-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.26&CDS=1-993, genemark-flattened_line_78-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.27&CDS=1-1011, maker-flattened_line_185-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_185-snap-gene-0.5&CDS=1-927, maker-flattened_line_78-augustus-gene-0.54-mRNA-1_1&gene=maker-flattened_line_78-augustus-gene-0.54&CDS=1-1254, snap_masked-flattened_line_106-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.57&CDS=1-1053
