	OrthologID	Saccharomyces_cerevisiae	yHAB132_Kazachstania_martiniae
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001		augustus_masked-scf7180000029946-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000029946-processed-gene-0.4&CDS=1-1140, augustus_masked-scf7180000030392-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000030392-processed-gene-0.3&CDS=1-1299, augustus_masked-scf7180000030404-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030404-processed-gene-0.1&CDS=1-1857, genemark-scf7180000030017-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000030017-processed-gene-0.0&CDS=1-1104, genemark-scf7180000030237-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000030237-processed-gene-0.2&CDS=1-2172, genemark-scf7180000030347-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000030347-processed-gene-0.2&CDS=1-1827, genemark-scf7180000030347-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000030347-processed-gene-0.3&CDS=1-1428, genemark-scf7180000030402-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000030402-processed-gene-0.2&CDS=1-1569, genemark-scf7180000030431-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000030431-processed-gene-0.13&CDS=1-999, genemark-scf7180000030476-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000030476-processed-gene-0.10&CDS=1-2688, genemark-scf7180000030506-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030506-processed-gene-0.1&CDS=1-2016, maker-scf7180000029966-augustus-gene-0.10-mRNA-1_1&gene=maker-scf7180000029966-augustus-gene-0.10&CDS=1-1119, maker-scf7180000029985-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000029985-augustus-gene-0.1&CDS=1-2082, maker-scf7180000030309-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000030309-snap-gene-0.3&CDS=1-1158, maker-scf7180000030401-snap-gene-0.13-mRNA-1_1&gene=maker-scf7180000030401-snap-gene-0.13&CDS=1-1146, maker-scf7180000030413-snap-gene-0.42-mRNA-1_1&gene=maker-scf7180000030413-snap-gene-0.42&CDS=1-1950, snap_masked-scf7180000030365-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030365-processed-gene-0.2&CDS=1-2217, snap_masked-scf7180000030402-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000030402-processed-gene-0.5&CDS=1-1653, snap_masked-scf7180000030403-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000030403-processed-gene-0.3&CDS=1-1287, snap_masked-scf7180000030463-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000030463-processed-gene-0.7&CDS=1-2580, snap_masked-scf7180000030470-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030470-processed-gene-0.0&CDS=1-2307
2	OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	maker-scf7180000030523-augustus-gene-0.47-mRNA-1_1&gene=maker-scf7180000030523-augustus-gene-0.47&CDS=1-3621, snap_masked-scf7180000030454-processed-gene-0.150-mRNA-1_1&gene=snap_masked-scf7180000030454-processed-gene-0.150&CDS=1-1692, snap_masked-scf7180000030510-processed-gene-2.142-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-2.142&CDS=1-1707, snap_masked-scf7180000030516-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000030516-processed-gene-0.28&CDS=1-1665, snap_masked-scf7180000030516-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000030516-processed-gene-0.31&CDS=1-1698
3	OG0000003	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W	
4	OG0000004	YBR131W	augustus_masked-scf7180000030009-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000030009-processed-gene-0.5&CDS=1-1905, augustus_masked-scf7180000030010-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000030010-processed-gene-0.3&CDS=1-948, augustus_masked-scf7180000030048-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030048-processed-gene-0.1&CDS=1-999, augustus_masked-scf7180000030313-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030313-processed-gene-0.2&CDS=1-1905, augustus_masked-scf7180000030409-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000030409-processed-gene-0.69&CDS=1-945, snap_masked-scf7180000029937-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000029937-processed-gene-0.2&CDS=1-636
5	OG0000005	YCL067C, YCR039C, YCR096C	genemark-scf7180000030475-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000030475-processed-gene-0.87&CDS=1-600, genemark-scf7180000030492-processed-gene-1.178-mRNA-1_1&gene=genemark-scf7180000030492-processed-gene-1.178&CDS=1-600, genemark-scf7180000030493-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030493-processed-gene-0.1&CDS=1-600, genemark-scf7180000030522-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000030522-processed-gene-0.20&CDS=1-600
6	OG0000006	YHR179W, YPL171C	genemark-scf7180000030499-processed-gene-1.196-mRNA-1_1&gene=genemark-scf7180000030499-processed-gene-1.196&CDS=1-1197, maker-scf7180000030472-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000030472-snap-gene-0.7&CDS=1-1203, snap_masked-scf7180000030395-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000030395-processed-gene-0.1&CDS=1-1191, snap_masked-scf7180000030407-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000030407-processed-gene-0.1&CDS=1-1197, snap_masked-scf7180000030501-processed-gene-0.196-mRNA-1_1&gene=snap_masked-scf7180000030501-processed-gene-0.196&CDS=1-1191
7	OG0000007	YIR013C, YLR013W, YMR136W	augustus_masked-scf7180000030417-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000030417-processed-gene-0.49&CDS=1-1647, genemark-scf7180000030516-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000030516-processed-gene-0.37&CDS=1-747, snap_masked-scf7180000030510-processed-gene-2.149-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-2.149&CDS=1-1119, snap_masked-scf7180000030514-processed-gene-0.129-mRNA-1_1&gene=snap_masked-scf7180000030514-processed-gene-0.129&CDS=1-999
8	OG0000008		augustus_masked-scf7180000030423-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000030423-processed-gene-0.39&CDS=1-651, augustus_masked-scf7180000030423-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000030423-processed-gene-0.40&CDS=1-705, maker-scf7180000030515-augustus-gene-0.57-mRNA-1_1&gene=maker-scf7180000030515-augustus-gene-0.57&CDS=1-528, maker-scf7180000030515-snap-gene-0.95-mRNA-1_1&gene=maker-scf7180000030515-snap-gene-0.95&CDS=1-456, snap_masked-scf7180000030423-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000030423-processed-gene-0.19&CDS=1-810, snap_masked-scf7180000030423-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000030423-processed-gene-0.20&CDS=1-690, snap_masked-scf7180000030515-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000030515-processed-gene-0.35&CDS=1-372
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
