	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034623_Pichia_norvegensis
0	OG0000000	YDR057W	augustus_masked-flattened_line_1110-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1110-processed-gene-0.0&CDS=1-387, augustus_masked-flattened_line_18-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.120&CDS=1-2094, augustus_masked-flattened_line_352-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_352-processed-gene-0.1&CDS=1-729, augustus_masked-flattened_line_462-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_462-processed-gene-0.3&CDS=1-1221, augustus_masked-flattened_line_488-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_488-processed-gene-0.0&CDS=1-1215, augustus_masked-flattened_line_582-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_582-processed-gene-0.2&CDS=1-1539, augustus_masked-flattened_line_588-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_588-processed-gene-0.2&CDS=1-1077, augustus_masked-flattened_line_698-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_698-processed-gene-0.2&CDS=1-618, augustus_masked-flattened_line_798-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_798-processed-gene-0.2&CDS=1-636, augustus_masked-flattened_line_834-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_834-processed-gene-0.2&CDS=1-351, augustus_masked-flattened_line_854-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_854-processed-gene-0.2&CDS=1-567, augustus_masked-flattened_line_872-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_872-processed-gene-0.2&CDS=1-411, augustus_masked-flattened_line_930-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_930-processed-gene-0.2&CDS=1-507, augustus_masked-flattened_line_932-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_932-processed-gene-0.0&CDS=1-378, snap_masked-flattened_line_1178-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1178-processed-gene-0.1&CDS=1-306, snap_masked-flattened_line_1250-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1250-processed-gene-0.1&CDS=1-234, snap_masked-flattened_line_526-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_526-processed-gene-0.1&CDS=1-888, snap_masked-flattened_line_562-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_562-processed-gene-0.4&CDS=1-234, snap_masked-flattened_line_656-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_656-processed-gene-0.1&CDS=1-258, snap_masked-flattened_line_84-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.67&CDS=1-300, snap_masked-flattened_line_904-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_904-processed-gene-0.2&CDS=1-489, snap_masked-flattened_line_948-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_948-processed-gene-0.2&CDS=1-399
1	OG0000001	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_152-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.8&CDS=1-2346, augustus_masked-flattened_line_470-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_470-processed-gene-0.2&CDS=1-1830, snap_masked-flattened_line_174-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_174-processed-gene-0.14&CDS=1-2364, snap_masked-flattened_line_210-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_210-processed-gene-0.6&CDS=1-1326
2	OG0000002		augustus_masked-flattened_line_1198-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1198-processed-gene-0.2&CDS=1-192, augustus_masked-flattened_line_248-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.0&CDS=1-3252, augustus_masked-flattened_line_556-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_556-processed-gene-0.0&CDS=1-450, augustus_masked-flattened_line_596-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_596-processed-gene-0.3&CDS=1-969, maker-flattened_line_250-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_250-snap-gene-0.2&CDS=1-4251, snap_masked-flattened_line_1206-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1206-processed-gene-0.0&CDS=1-201, snap_masked-flattened_line_268-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_268-processed-gene-0.3&CDS=1-2367, snap_masked-flattened_line_884-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_884-processed-gene-0.2&CDS=1-408, snap_masked-flattened_line_980-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_980-processed-gene-0.1&CDS=1-312
3	OG0000003	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_536-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_536-processed-gene-0.5&CDS=1-633, augustus_masked-flattened_line_912-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_912-processed-gene-0.2&CDS=1-534, maker-flattened_line_2-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-0.0&CDS=1-2268, snap_masked-flattened_line_106-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.40&CDS=1-1029
4	OG0000004	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	maker-flattened_line_72-snap-gene-0.137-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.137&CDS=1-4989, snap_masked-flattened_line_12-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.15&CDS=1-2070
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_24-processed-gene-0.236-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.236&CDS=1-1344
6	OG0000006	YBR255W, YGL203C	augustus_masked-flattened_line_306-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_306-processed-gene-0.0&CDS=1-3012, augustus_masked-flattened_line_320-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_320-processed-gene-0.4&CDS=1-1305, genemark-flattened_line_218-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_218-processed-gene-0.5&CDS=1-1668, snap_masked-flattened_line_218-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_218-processed-gene-0.9&CDS=1-2214
7	OG0000007	YCL074W	genemark-flattened_line_1156-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1156-processed-gene-0.0&CDS=1-312, genemark-flattened_line_1162-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1162-processed-gene-0.0&CDS=1-276, genemark-flattened_line_1172-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1172-processed-gene-0.0&CDS=1-294, genemark-flattened_line_556-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_556-processed-gene-0.2&CDS=1-873, genemark-flattened_line_902-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_902-processed-gene-0.0&CDS=1-519
8	OG0000008	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_976-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_976-processed-gene-0.0&CDS=1-303, snap_masked-flattened_line_524-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_524-processed-gene-0.0&CDS=1-219
9	OG0000009	YKR064W	augustus_masked-flattened_line_14-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.16&CDS=1-2994, genemark-flattened_line_102-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.81&CDS=1-657, snap_masked-flattened_line_34-processed-gene-0.225-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.225&CDS=1-2961, snap_masked-flattened_line_34-processed-gene-0.226-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.226&CDS=1-4497, snap_masked-flattened_line_394-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_394-processed-gene-0.4&CDS=1-675
