	OrthologID	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR204W
1	OG0000001	augustus_masked-NC_016479.1-processed-gene-19.101-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-19.101&CDS=1-1476	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
2	OG0000002		YBL100W-A, YBL100W-B, YCL019W, YCL020W, YDR034C-C, YDR034C-D, YDR210C-D, YDR210W-A, YDR210W-B, YDR261W-A, YDR261W-B, YFL002W-A, YFL002W-B, YGR161W-A, YGR161W-B, YLR410W-A, YLR410W-B, YOR192C-A, YOR192C-B, YOR343W-A, YOR343W-B
3	OG0000003	augustus_masked-NC_016479.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.119&CDS=1-2406, augustus_masked-NC_016480.1-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-1.49&CDS=1-2436, augustus_masked-NC_016480.1-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-14.39&CDS=1-3648, augustus_masked-NC_016480.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-3.17&CDS=1-3744, augustus_masked-NC_016481.1-processed-gene-14.34-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-14.34&CDS=1-3309, augustus_masked-NC_016482.1-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-11.79&CDS=1-2214, augustus_masked-NC_016483.1-processed-gene-10.198-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-10.198&CDS=1-2898, maker-NC_016489.1-augustus-gene-0.4-mRNA-1_1&gene=maker-NC_016489.1-augustus-gene-0.4&CDS=1-9018, snap_masked-NC_016479.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.36&CDS=1-369, snap_masked-NC_016479.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.38&CDS=1-207, snap_masked-NC_016480.1-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-1.66&CDS=1-2904, snap_masked-NC_016480.1-processed-gene-10.10-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-10.10&CDS=1-1908, snap_masked-NC_016480.1-processed-gene-10.8-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-10.8&CDS=1-504, snap_masked-NC_016480.1-processed-gene-10.9-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-10.9&CDS=1-234, snap_masked-NC_016480.1-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-4.24&CDS=1-702, snap_masked-NC_016480.1-processed-gene-4.25-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-4.25&CDS=1-318, snap_masked-NC_016481.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NC_016481.1-processed-gene-0.14&CDS=1-3648, snap_masked-NC_016482.1-processed-gene-11.133-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-11.133&CDS=1-387, snap_masked-NC_016485.2-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-6.20&CDS=1-435, snap_masked-NC_016487.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-0.53&CDS=1-3693	
4	OG0000004	augustus_masked-NC_016480.1-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-1.40&CDS=1-2559, augustus_masked-NC_016484.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-0.68&CDS=1-828, augustus_masked-NC_016484.1-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-1.105&CDS=1-1293, augustus_masked-NC_016485.2-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.69&CDS=1-1137, augustus_masked-NC_016485.2-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.76&CDS=1-423, augustus_masked-NC_016485.2-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.77&CDS=1-1329, augustus_masked-NC_016486.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-2.22&CDS=1-1302, augustus_masked-NC_016487.1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-1.110&CDS=1-2601, augustus_masked-NC_016489.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-0.84&CDS=1-1356, augustus_masked-NC_016489.1-processed-gene-5.197-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-5.197&CDS=1-1428, snap_masked-NC_016483.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NC_016483.1-processed-gene-1.111&CDS=1-1254, snap_masked-NC_016484.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-0.43&CDS=1-2058, snap_masked-NC_016484.1-processed-gene-9.89-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-9.89&CDS=1-3264, snap_masked-NC_016484.1-processed-gene-9.90-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-9.90&CDS=1-2718, snap_masked-NC_016485.2-processed-gene-4.87-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-4.87&CDS=1-1428, snap_masked-NC_016485.2-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.40&CDS=1-1269, snap_masked-NC_016488.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NC_016488.1-processed-gene-1.22&CDS=1-954, snap_masked-NC_016489.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NC_016489.1-processed-gene-0.34&CDS=1-1215	
5	OG0000005	augustus_masked-NC_016480.1-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-7.109&CDS=1-1794, augustus_masked-NC_016482.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-1.35&CDS=1-1686, augustus_masked-NC_016484.1-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-4.61&CDS=1-1692, augustus_masked-NC_016484.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-4.62&CDS=1-1653, augustus_masked-NC_016485.2-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-10.83&CDS=1-1683, augustus_masked-NC_016485.2-processed-gene-14.189-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-14.189&CDS=1-1695, augustus_masked-NC_016489.1-processed-gene-5.220-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-5.220&CDS=1-1710	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
6	OG0000006		YBR012W-A, YDR098C-A, YDR210C-C, YDR261C-C, YDR316W-A, YER159C-A, YGR038C-A, YGR161C-C, YML045W-A, YMR051C, YOR142W-A, YPR158W-A
7	OG0000007		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
8	OG0000008	augustus_masked-NC_016479.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-8.75&CDS=1-747, augustus_masked-NC_016485.2-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-12.6&CDS=1-366, augustus_masked-NC_016487.1-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.91&CDS=1-363, augustus_masked-NC_016488.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-3.44&CDS=1-354, augustus_masked-NC_016488.1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-6.7&CDS=1-360, snap_masked-NC_016484.1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-5.117&CDS=1-177	YER011W, YOR010C
9	OG0000009	augustus_masked-NC_016483.1-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-9.98&CDS=1-1959, augustus_masked-NC_016486.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-0.62&CDS=1-1926, genemark-NC_016479.1-processed-gene-3.114-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-3.114&CDS=1-1935	YAL005C, YBL075C, YER103W, YLL024C
