	OrthologID	Candida_homilentoma	Saccharomyces_cerevisiae
0	OG0000000	-augustus-gene-7.102-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-augustus-gene-7.102&CDS=1-4149, -augustus-gene-7.103-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-augustus-gene-7.103&CDS=1-3261, -processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-0.62&CDS=1-2532, -processed-gene-1.87-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.87&CDS=1-2652, -processed-gene-11.123-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.123&CDS=1-2232, -processed-gene-14.110-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.110&CDS=1-2712, -processed-gene-14.69-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.69&CDS=1-2931, -processed-gene-14.70-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.70&CDS=1-2742, -processed-gene-15.107-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.107&CDS=1-2907, -processed-gene-7.32-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.32&CDS=1-2661, -processed-gene-7.78-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.78&CDS=1-3321, -snap-gene-1.4-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-1.4&CDS=1-2631	YKR064W, YLR256W, YOL093W
1	OG0000001	-processed-gene-0.101-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-0.101&CDS=1-1758, -processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-0.40&CDS=1-1668, -processed-gene-13.40-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.40&CDS=1-1725, -processed-gene-3.92-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.92&CDS=1-1956, -processed-gene-4.95-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-4.95&CDS=1-1815, -processed-gene-5.83-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-5.83&CDS=1-1767, -processed-gene-6.98-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.98&CDS=1-1674, -processed-gene-7.234-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.234&CDS=1-1764	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W
2	OG0000002	-processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.51&CDS=1-1785, -processed-gene-1.50-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-1.50&CDS=1-1812, -processed-gene-11.64-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.64&CDS=1-2403, -processed-gene-11.77-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-11.77&CDS=1-2604, -processed-gene-16.40-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.40&CDS=1-2430, -processed-gene-17.24-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.24&CDS=1-2580, -processed-gene-17.29-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.29&CDS=1-2328, -processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.44&CDS=1-1740, -snap-gene-2.5-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-2.5&CDS=1-4929	YJR061W, YKL201C
3	OG0000003	-processed-gene-0.107-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-0.107&CDS=1-1680, -processed-gene-3.0-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-3.0&CDS=1-1740, -processed-gene-3.23-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-3.23&CDS=1-1869, -processed-gene-6.21-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-6.21&CDS=1-2211, -processed-gene-7.59-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-7.59&CDS=1-1821, -processed-gene-9.83-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.83&CDS=1-1755	YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
4	OG0000004	-augustus-gene-11.81-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-11.81&CDS=1-1509, -processed-gene-16.98-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-16.98&CDS=1-2670, -processed-gene-2.111-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.111&CDS=1-2451, -processed-gene-4.70-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-4.70&CDS=1-1713, -processed-gene-5.57-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-5.57&CDS=1-1404, -processed-gene-6.57-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.57&CDS=1-1296, -processed-gene-7.169-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.169&CDS=1-924, -processed-gene-9.115-mRNA-1_1&gene=augustus_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.115&CDS=1-1896	YBR240C, YDR207C
5	OG0000005	-augustus-gene-11.83-mRNA-1_1&gene=maker-gi|1002316228|dbj|BCGB01000005.1|-augustus-gene-11.83&CDS=1-3375, -processed-gene-0.106-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-0.106&CDS=1-1266, -processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.58&CDS=1-1239, -processed-gene-10.32-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-10.32&CDS=1-1200, -processed-gene-5.59-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.59&CDS=1-1371, -processed-gene-7.236-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.236&CDS=1-1218, -snap-gene-3.79-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-3.79&CDS=1-1401	YDR144C, YLR120C, YLR121C
6	OG0000006	-processed-gene-0.26-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.26&CDS=1-750, -processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-0.27&CDS=1-750, -processed-gene-0.56-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-0.56&CDS=1-750, -processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-0.58&CDS=1-744, -processed-gene-0.99-mRNA-1_1&gene=genemark-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.99&CDS=1-750, -processed-gene-12.148-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.148&CDS=1-750, -processed-gene-14.57-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.57&CDS=1-750, -processed-gene-9.77-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.77&CDS=1-750	YKL071W
7	OG0000007	-processed-gene-10.72-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.72&CDS=1-1689, -processed-gene-4.149-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.149&CDS=1-1704	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
8	OG0000008	-augustus-gene-19.1-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-19.1&CDS=1-2598, -processed-gene-0.38-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.38&CDS=1-1716, -processed-gene-20.93-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.93&CDS=1-2352, -processed-gene-5.57-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-5.57&CDS=1-2490, -processed-gene-7.116-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.116&CDS=1-1629	YGL257C, YIL014W, YNR059W
9	OG0000009	-processed-gene-0.57-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-0.57&CDS=1-1011, -processed-gene-10.73-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-10.73&CDS=1-999, -processed-gene-11.120-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.120&CDS=1-1014, -processed-gene-12.146-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.146&CDS=1-1011, -processed-gene-20.109-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.109&CDS=1-1023, -processed-gene-7.188-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-7.188&CDS=1-1011	YDR541C, YOL151W
