	OrthologID	Saccharomyces_cerevisiae	yHAB160_Kazachstania_kunashirensis
0	OG0000000	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YBR302C, YCR007C, YGL051W, YGL053W, YHL043W, YHL044W, YJR161C, YML132W	augustus_masked-scf7180000008983-processed-gene-2.179-mRNA-1_1&gene=augustus_masked-scf7180000008983-processed-gene-2.179&CDS=1-714, snap_masked-scf7180000008902-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000008902-processed-gene-0.1&CDS=1-267
1	OG0000001	YDR342C, YDR343C, YFL011W, YHR092C, YHR096C, YMR011W	augustus_masked-scf7180000008931-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-scf7180000008931-processed-gene-0.156&CDS=1-1803, augustus_masked-scf7180000008963-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-scf7180000008963-processed-gene-1.73&CDS=1-1683, augustus_masked-scf7180000008987-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-0.103&CDS=1-1719, maker-scf7180000008937-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000008937-augustus-gene-0.0&CDS=1-2070, maker-scf7180000008963-snap-gene-1.120-mRNA-1_1&gene=maker-scf7180000008963-snap-gene-1.120&CDS=1-1731, snap_masked-scf7180000008961-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000008961-processed-gene-0.70&CDS=1-1692
2	OG0000002	YCL067C, YCR039C, YCR096C	augustus_masked-scf7180000008640-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008640-processed-gene-0.2&CDS=1-630, augustus_masked-scf7180000008964-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000008964-processed-gene-0.116&CDS=1-630, augustus_masked-scf7180000008964-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000008964-processed-gene-0.90&CDS=1-630, augustus_masked-scf7180000008973-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-0.87&CDS=1-630
3	OG0000003	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000008733-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000008733-processed-gene-0.6&CDS=1-1200, augustus_masked-scf7180000008734-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000008734-processed-gene-0.5&CDS=1-1200, augustus_masked-scf7180000008895-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000008895-processed-gene-0.20&CDS=1-1200, augustus_masked-scf7180000008896-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000008896-processed-gene-0.22&CDS=1-1200
4	OG0000004	YCL066W, YCR040W	augustus_masked-scf7180000008640-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008640-processed-gene-0.0&CDS=1-528, augustus_masked-scf7180000008964-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000008964-processed-gene-0.61&CDS=1-528, augustus_masked-scf7180000008964-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000008964-processed-gene-0.89&CDS=1-528, augustus_masked-scf7180000008973-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-0.108&CDS=1-528
5	OG0000005	YCR097W	augustus_masked-scf7180000008973-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-0.109&CDS=1-246, genemark-scf7180000008640-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000008640-processed-gene-0.3&CDS=1-174, genemark-scf7180000008964-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000008964-processed-gene-0.117&CDS=1-174, maker-scf7180000008967-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000008967-snap-gene-0.1&CDS=1-186, snap_masked-scf7180000008964-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000008964-processed-gene-0.30&CDS=1-249
6	OG0000006	YDR125C, YLR098C, YLR099C	augustus_masked-scf7180000008984-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scf7180000008984-processed-gene-1.82&CDS=1-4044, genemark-scf7180000008685-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000008685-processed-gene-0.0&CDS=1-1083, snap_masked-scf7180000008951-processed-gene-1.256-mRNA-1_1&gene=snap_masked-scf7180000008951-processed-gene-1.256&CDS=1-933
7	OG0000007	YGR087C, YLR044C, YLR134W	augustus_masked-scf7180000008898-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000008898-processed-gene-0.13&CDS=1-1689, augustus_masked-scf7180000008965-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000008965-processed-gene-0.57&CDS=1-1692, augustus_masked-scf7180000008977-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-0.29&CDS=1-1689
8	OG0000008	YKL074C	augustus_masked-scf7180000008637-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000008637-processed-gene-0.23&CDS=1-1002, augustus_masked-scf7180000008676-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000008676-processed-gene-0.5&CDS=1-1224, augustus_masked-scf7180000008696-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008696-processed-gene-0.1&CDS=1-1014, augustus_masked-scf7180000008753-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008753-processed-gene-0.2&CDS=1-831, snap_masked-scf7180000008940-processed-gene-0.94-mRNA-1_1&gene=snap_masked-scf7180000008940-processed-gene-0.94&CDS=1-1098
9	OG0000009	YAL005C, YER103W, YLL024C	augustus_masked-scf7180000008956-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-scf7180000008956-processed-gene-1.144&CDS=1-1914, snap_masked-scf7180000008952-processed-gene-3.95-mRNA-1_1&gene=snap_masked-scf7180000008952-processed-gene-3.95&CDS=1-1908
