	OrthologID	Saccharomyces_cerevisiae	Wickerhamia_fluorescens
0	OG0000000	YCL025C, YDR508C, YKR039W	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-0.39&CDS=1-1767, -processed-gene-1.110-mRNA-1_1&gene=genemark-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-1.110&CDS=1-1764, -processed-gene-1.50-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-1.50&CDS=1-1716, -processed-gene-10.82-mRNA-1_1&gene=augustus_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-10.82&CDS=1-7893, -processed-gene-14.70-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-14.70&CDS=1-1749, -processed-gene-2.22-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-2.22&CDS=1-1782, -processed-gene-4.40-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-4.40&CDS=1-1764, -processed-gene-7.76-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-7.76&CDS=1-1707
1	OG0000001	YLR286C	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-0.10&CDS=1-993, -processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-0.43&CDS=1-993, -processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316295|dbj|BCGE01000009.1|-processed-gene-0.45&CDS=1-1347, -processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|1002316290|dbj|BCGE01000014.1|-processed-gene-0.5&CDS=1-1440, -processed-gene-14.45-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-14.45&CDS=1-720, -processed-gene-15.169-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-15.169&CDS=1-1701, -processed-gene-15.78-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-15.78&CDS=1-993, -processed-gene-28.90-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-28.90&CDS=1-1977, -processed-gene-7.43-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-7.43&CDS=1-2553
2	OG0000002	YLR129W, YMR008C, YNL012W, YOL011W	-processed-gene-13.42-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-13.42&CDS=1-1842, -processed-gene-14.63-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-14.63&CDS=1-1917, -processed-gene-7.65-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-7.65&CDS=1-1896, -snap-gene-10.78-mRNA-1_1&gene=maker-gi|1002316302|dbj|BCGE01000002.1|-snap-gene-10.78&CDS=1-5367, -snap-gene-5.4-mRNA-1_1&gene=maker-gi|1002316298|dbj|BCGE01000006.1|-snap-gene-5.4&CDS=1-2292
3	OG0000003	YER013W, YGL120C, YKR086W, YNR011C	-processed-gene-14.151-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-14.151&CDS=1-3390, -processed-gene-4.53-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-4.53&CDS=1-2334, -processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-4.7&CDS=1-3474, -processed-gene-5.96-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-5.96&CDS=1-2730
4	OG0000004	YFR032C, YHL034C, YIR001C, YLL046C	-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-0.121&CDS=1-927, -processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-0.8&CDS=1-693, -processed-gene-1.36-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-1.36&CDS=1-507, -processed-gene-13.0-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-13.0&CDS=1-993
5	OG0000005	YAR019C, YDR523C, YHR102W	-processed-gene-10.104-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.104&CDS=1-2625, -processed-gene-10.17-mRNA-1_1&gene=augustus_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-10.17&CDS=1-1368, -processed-gene-10.60-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.60&CDS=1-4383, -processed-gene-13.38-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-13.38&CDS=1-1656
6	OG0000006	YCL024W, YDR477W, YDR507C, YKL101W	-processed-gene-1.52-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-1.52&CDS=1-4350, -processed-gene-4.54-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.54&CDS=1-4155, -snap-gene-3.90-mRNA-1_1&gene=maker-gi|1002316301|dbj|BCGE01000003.1|-snap-gene-3.90&CDS=1-2271
7	OG0000007	YDR207C	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-0.36&CDS=1-1671, -processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-1.51&CDS=1-1041, -processed-gene-11.50-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-11.50&CDS=1-1449, -processed-gene-20.38-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-20.38&CDS=1-576, -processed-gene-4.57-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-4.57&CDS=1-660, -processed-gene-8.72-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-8.72&CDS=1-2727
8	OG0000008	YDR345C, YFL011W, YHR094C, YHR096C, YMR011W	-processed-gene-0.80-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-0.80&CDS=1-1743, -processed-gene-10.100-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.100&CDS=1-1653
9	OG0000009	YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-14.113-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-14.113&CDS=1-1005, -processed-gene-20.78-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-20.78&CDS=1-1014, -processed-gene-6.83-mRNA-1_1&gene=augustus_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-6.83&CDS=1-2322
