	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_bailii
0	OG0000000	YBL113C, YDR545W, YEL077C, YER190W, YGR296W, YHL050C, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	snap_masked-ZYBA0S02-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-0.24&CDS=1-258
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	snap_masked-ZYBA0S01-processed-gene-11.112-mRNA-1_1&gene=snap_masked-ZYBA0S01-processed-gene-11.112&CDS=1-405, snap_masked-ZYBA0S03-processed-gene-10.102-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-10.102&CDS=1-783, snap_masked-ZYBA0S07-processed-gene-5.7-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-5.7&CDS=1-249, snap_masked-ZYBA0S22-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ZYBA0S22-processed-gene-0.13&CDS=1-840
2	OG0000002	YAL005C, YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W	genemark-ZYBA0S02-processed-gene-8.71-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-8.71&CDS=1-2019, genemark-ZYBA0S04-processed-gene-0.67-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-0.67&CDS=1-1839, genemark-ZYBA0S05-processed-gene-6.187-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.187&CDS=1-1926, genemark-ZYBA0S08-processed-gene-2.53-mRNA-1_1&gene=genemark-ZYBA0S08-processed-gene-2.53&CDS=1-1932, genemark-ZYBA0S09-processed-gene-1.28-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-1.28&CDS=1-1935, snap_masked-ZYBA0S07-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-1.99&CDS=1-1815
3	OG0000003	YBR008C, YHR048W	genemark-ZYBA0S02-processed-gene-7.48-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-7.48&CDS=1-1818, genemark-ZYBA0S05-processed-gene-0.40-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-0.40&CDS=1-1848, genemark-ZYBA0S05-processed-gene-0.61-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-0.61&CDS=1-1635, genemark-ZYBA0S06-processed-gene-5.129-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-5.129&CDS=1-1548, genemark-ZYBA0S13-processed-gene-0.47-mRNA-1_1&gene=genemark-ZYBA0S13-processed-gene-0.47&CDS=1-1569, genemark-ZYBA0S21-processed-gene-0.6-mRNA-1_1&gene=genemark-ZYBA0S21-processed-gene-0.6&CDS=1-1815, maker-ZYBA0S05-augustus-gene-0.129-mRNA-1_1&gene=maker-ZYBA0S05-augustus-gene-0.129&CDS=1-6096, snap_masked-ZYBA0S16-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ZYBA0S16-processed-gene-0.75&CDS=1-1602
4	OG0000004	YBR068C, YCL025C, YDR046C, YDR508C, YGR191W, YKR039W	genemark-ZYBA0S01-processed-gene-5.92-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-5.92&CDS=1-1815, genemark-ZYBA0S12-processed-gene-1.129-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.129&CDS=1-1839, genemark-ZYBA0S12-processed-gene-1.133-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.133&CDS=1-1704, genemark-ZYBA0S14-processed-gene-1.156-mRNA-1_1&gene=genemark-ZYBA0S14-processed-gene-1.156&CDS=1-1884
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	maker-ZYBA0S13-snap-gene-0.6-mRNA-1_1&gene=maker-ZYBA0S13-snap-gene-0.6&CDS=1-261, snap_masked-ZYBA0S13-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ZYBA0S13-processed-gene-0.75&CDS=1-228
6	OG0000006	YDR011W, YDR406W, YOR153W	augustus_masked-ZYBA0S02-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ZYBA0S02-processed-gene-0.70&CDS=1-4383, augustus_masked-ZYBA0S20-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ZYBA0S20-processed-gene-0.29&CDS=1-4368, genemark-ZYBA0S02-processed-gene-4.82-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-4.82&CDS=1-4482, genemark-ZYBA0S03-processed-gene-6.67-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-6.67&CDS=1-4572, maker-ZYBA0S05-snap-gene-4.0-mRNA-1_1&gene=maker-ZYBA0S05-snap-gene-4.0&CDS=1-13173
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	genemark-ZYBA0S01-processed-gene-0.33-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-0.33&CDS=1-3261, genemark-ZYBA0S02-processed-gene-11.13-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-11.13&CDS=1-2331, genemark-ZYBA0S02-processed-gene-2.166-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-2.166&CDS=1-3360, genemark-ZYBA0S12-processed-gene-1.192-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.192&CDS=1-2673
8	OG0000008	YER073W, YMR169C, YMR170C, YOR374W	genemark-ZYBA0S01-processed-gene-3.81-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-3.81&CDS=1-1509, genemark-ZYBA0S04-processed-gene-2.93-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-2.93&CDS=1-1920, genemark-ZYBA0S07-processed-gene-5.82-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-5.82&CDS=1-1554, maker-ZYBA0S01-augustus-gene-3.86-mRNA-1_1&gene=maker-ZYBA0S01-augustus-gene-3.86&CDS=1-3321
9	OG0000009	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-ZYBA0S16-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-ZYBA0S16-processed-gene-0.100&CDS=1-1563, snap_masked-ZYBA0S01-processed-gene-10.23-mRNA-1_1&gene=snap_masked-ZYBA0S01-processed-gene-10.23&CDS=1-1743, snap_masked-ZYBA0S05-processed-gene-2.5-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-2.5&CDS=1-2586, snap_masked-ZYBA0S05-processed-gene-2.6-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-2.6&CDS=1-2262
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-ZYBA0S07-processed-gene-5.113-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-5.113&CDS=1-1395, genemark-ZYBA0S19-processed-gene-0.27-mRNA-1_1&gene=genemark-ZYBA0S19-processed-gene-0.27&CDS=1-1404
11	OG0000011	YBL017C, YCR101C, YIL173W, YJL222W, YNR065C, YNR066C	genemark-ZYBA0S05-processed-gene-6.165-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.165&CDS=1-5091
12	OG0000012	YEL065W, YHL040C, YHL047C	genemark-ZYBA0S04-processed-gene-4.18-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-4.18&CDS=1-2142, genemark-ZYBA0S10-processed-gene-0.1-mRNA-1_1&gene=genemark-ZYBA0S10-processed-gene-0.1&CDS=1-1857, genemark-ZYBA0S17-processed-gene-0.41-mRNA-1_1&gene=genemark-ZYBA0S17-processed-gene-0.41&CDS=1-1671
13	OG0000013	YER133W, YML016C, YPL179W	genemark-ZYBA0S05-processed-gene-2.104-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-2.104&CDS=1-2133, genemark-ZYBA0S06-processed-gene-5.104-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-5.104&CDS=1-936, snap_masked-ZYBA0S03-processed-gene-6.130-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-6.130&CDS=1-1341
14	OG0000014	YFL011W, YMR011W, YOL138C	augustus_masked-ZYBA0S01-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-4.35&CDS=1-5256, genemark-ZYBA0S05-processed-gene-2.75-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-2.75&CDS=1-1674, maker-ZYBA0S01-snap-gene-3.39-mRNA-1_1&gene=maker-ZYBA0S01-snap-gene-3.39&CDS=1-3405
15	OG0000015	YHR050W, YLR034C, YOL122C	genemark-ZYBA0S01-processed-gene-10.76-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-10.76&CDS=1-1608, genemark-ZYBA0S02-processed-gene-9.87-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-9.87&CDS=1-1398, maker-ZYBA0S03-snap-gene-9.43-mRNA-1_1&gene=maker-ZYBA0S03-snap-gene-9.43&CDS=1-2286
