	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035681_Candida_gotoi
0	OG0000000		augustus_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-0.53&CDS=1-2148, augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.7&CDS=1-2601, augustus_masked-NODE_23_length_194542_cov_70.7106_ID_45-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-NODE_23_length_194542_cov_70.7106_ID_45-processed-gene-0.175&CDS=1-2910, augustus_masked-NODE_46_length_8129_cov_123.326_ID_91-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_46_length_8129_cov_123.326_ID_91-processed-gene-0.10&CDS=1-2763, augustus_masked-NODE_61_length_1909_cov_146.206_ID_121-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_61_length_1909_cov_146.206_ID_121-processed-gene-0.0&CDS=1-564, augustus_masked-NODE_79_length_950_cov_102.007_ID_157-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_79_length_950_cov_102.007_ID_157-processed-gene-0.2&CDS=1-945, augustus_masked-NODE_90_length_659_cov_178.986_ID_179-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_90_length_659_cov_178.986_ID_179-processed-gene-0.1&CDS=1-657, genemark-NODE_37_length_40582_cov_117.31_ID_73-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_37_length_40582_cov_117.31_ID_73-processed-gene-0.6&CDS=1-4107, genemark-NODE_47_length_7698_cov_113.11_ID_93-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_47_length_7698_cov_113.11_ID_93-processed-gene-0.5&CDS=1-1455, maker-NODE_19_length_288497_cov_86.145_ID_37-snap-gene-1.178-mRNA-1_1&gene=maker-NODE_19_length_288497_cov_86.145_ID_37-snap-gene-1.178&CDS=1-2481, snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.102-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.102&CDS=1-2943, snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-0.11&CDS=1-6036, snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.146&CDS=1-3957, snap_masked-NODE_37_length_40582_cov_117.31_ID_73-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_37_length_40582_cov_117.31_ID_73-processed-gene-0.11&CDS=1-9384, snap_masked-NODE_41_length_19389_cov_134.239_ID_81-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_41_length_19389_cov_134.239_ID_81-processed-gene-0.3&CDS=1-5913, snap_masked-NODE_41_length_19389_cov_134.239_ID_81-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_41_length_19389_cov_134.239_ID_81-processed-gene-0.4&CDS=1-3867, snap_masked-NODE_42_length_12649_cov_96.4264_ID_83-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_42_length_12649_cov_96.4264_ID_83-processed-gene-0.0&CDS=1-2430, snap_masked-NODE_42_length_12649_cov_96.4264_ID_83-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_42_length_12649_cov_96.4264_ID_83-processed-gene-0.1&CDS=1-4062, snap_masked-NODE_48_length_6803_cov_125.793_ID_95-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_48_length_6803_cov_125.793_ID_95-processed-gene-0.0&CDS=1-4419, snap_masked-NODE_49_length_6102_cov_128.031_ID_97-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_49_length_6102_cov_128.031_ID_97-processed-gene-0.2&CDS=1-1935, snap_masked-NODE_68_length_1331_cov_224.398_ID_135-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_68_length_1331_cov_224.398_ID_135-processed-gene-0.0&CDS=1-1275
1	OG0000001	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_36_length_46692_cov_116.749_ID_71-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_36_length_46692_cov_116.749_ID_71-processed-gene-0.58&CDS=1-1695, snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.84&CDS=1-1731, snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-0.60&CDS=1-1794, snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_19_length_288497_cov_86.145_ID_37-processed-gene-0.119&CDS=1-1734, snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-0.5&CDS=1-1791, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-1.51&CDS=1-1755, snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.35&CDS=1-1797, snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.92-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.92&CDS=1-1764
2	OG0000002	YLR256W	augustus_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-0.91&CDS=1-2346, augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-0.15&CDS=1-2460, augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.106&CDS=1-3237, maker-NODE_16_length_382779_cov_70.9361_ID_31-augustus-gene-0.119-mRNA-1_1&gene=maker-NODE_16_length_382779_cov_70.9361_ID_31-augustus-gene-0.119&CDS=1-6978, maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-3.37-mRNA-1_1&gene=maker-NODE_1_length_933283_cov_68.0403_ID_1-snap-gene-3.37&CDS=1-5430, maker-NODE_8_length_567454_cov_77.2373_ID_15-snap-gene-1.47-mRNA-1_1&gene=maker-NODE_8_length_567454_cov_77.2373_ID_15-snap-gene-1.47&CDS=1-5877, snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.37&CDS=1-2526, snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_35_length_49531_cov_69.1506_ID_69-processed-gene-0.38&CDS=1-2760, snap_masked-NODE_36_length_46692_cov_116.749_ID_71-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_36_length_46692_cov_116.749_ID_71-processed-gene-0.32&CDS=1-2856, snap_masked-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_40_length_23939_cov_119.049_ID_79-processed-gene-0.14&CDS=1-1380, snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.105&CDS=1-3363, snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.42&CDS=1-2919
3	OG0000003	YBR240C, YDR207C	genemark-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.138&CDS=1-1848, maker-NODE_18_length_296463_cov_85.1512_ID_35-snap-gene-0.33-mRNA-1_1&gene=maker-NODE_18_length_296463_cov_85.1512_ID_35-snap-gene-0.33&CDS=1-2064, snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.67&CDS=1-1566, snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.88&CDS=1-1920, snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-1.98&CDS=1-1716, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.86&CDS=1-342, snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.69&CDS=1-1017, snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-1.43&CDS=1-2436, snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-2.117-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-2.117&CDS=1-1836, snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.54&CDS=1-2379
4	OG0000004	YJR061W, YKL201C	augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.112&CDS=1-1755, augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.34&CDS=1-2169, genemark-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-6.109-mRNA-1_1&gene=genemark-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-6.109&CDS=1-2454, maker-NODE_6_length_660448_cov_75.8544_ID_11-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_6_length_660448_cov_75.8544_ID_11-snap-gene-2.48&CDS=1-4860, maker-NODE_8_length_567454_cov_77.2373_ID_15-snap-gene-3.44-mRNA-1_1&gene=maker-NODE_8_length_567454_cov_77.2373_ID_15-snap-gene-3.44&CDS=1-3252, snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.61&CDS=1-2400, snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.72&CDS=1-3414, snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-2.97&CDS=1-2580, snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-0.57&CDS=1-1800
5	OG0000005	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
6	OG0000006	YPR194C	genemark-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.226&CDS=1-2712, genemark-NODE_76_length_1039_cov_180.81_ID_151-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_76_length_1039_cov_180.81_ID_151-processed-gene-0.2&CDS=1-1011, maker-NODE_10_length_547273_cov_74.2464_ID_19-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_10_length_547273_cov_74.2464_ID_19-snap-gene-0.35&CDS=1-3537, maker-NODE_25_length_171835_cov_70.1684_ID_49-snap-gene-0.194-mRNA-1_1&gene=maker-NODE_25_length_171835_cov_70.1684_ID_49-snap-gene-0.194&CDS=1-5526, snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-0.16&CDS=1-1518, snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NODE_18_length_296463_cov_85.1512_ID_35-processed-gene-1.2&CDS=1-2571, snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-0.67&CDS=1-2556, snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.81&CDS=1-2706, snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.90&CDS=1-2754
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-1.117&CDS=1-1710, snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.164-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.164&CDS=1-1698
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-3.99-mRNA-1_1&gene=maker-NODE_3_length_842064_cov_74.5486_ID_5-snap-gene-3.99&CDS=1-2748, snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-7.22-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-7.22&CDS=1-1386, snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-5.106&CDS=1-1389
9	OG0000009	YBR015C, YIL034C, YJL186W	augustus_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_16_length_382779_cov_70.9361_ID_31-processed-gene-1.28&CDS=1-2211, augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.83&CDS=1-3111, snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_25_length_171835_cov_70.1684_ID_49-processed-gene-0.156&CDS=1-1719, snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.85&CDS=1-2073, snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.66&CDS=1-1782
