	OrthologID	Saccharomyces_cerevisiae	Starmerella_bombicola_JCM9596
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	
1	OG0000001	YDR402C, YMR197C	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002316113|dbj|BCGO01000006.1|-processed-gene-0.37&CDS=1-1467, -processed-gene-10.113-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-10.113&CDS=1-1557, -processed-gene-11.108-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.108&CDS=1-1557, -processed-gene-11.111-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.111&CDS=1-1557, -processed-gene-17.130-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-17.130&CDS=1-2220, -processed-gene-18.110-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-18.110&CDS=1-3126, -processed-gene-27.97-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.97&CDS=1-1557
2	OG0000002		-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-0.15&CDS=1-3621, -processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316111|dbj|BCGO01000008.1|-processed-gene-0.3&CDS=1-2517, -processed-gene-0.4-mRNA-1_1&gene=augustus_masked-gi|1002316112|dbj|BCGO01000007.1|-processed-gene-0.4&CDS=1-987, -processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|1002316114|dbj|BCGO01000005.1|-processed-gene-0.60&CDS=1-1641, -processed-gene-0.82-mRNA-1_1&gene=snap_masked-gi|1002316114|dbj|BCGO01000005.1|-processed-gene-0.82&CDS=1-765, -processed-gene-11.109-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.109&CDS=1-1338, -processed-gene-19.276-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.276&CDS=1-1497, -processed-gene-28.186-mRNA-1_1&gene=genemark-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.186&CDS=1-6201, -processed-gene-28.89-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.89&CDS=1-1701
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-1.9-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-1.9&CDS=1-1788, -processed-gene-15.94-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-15.94&CDS=1-1578, -processed-gene-25.43-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-25.43&CDS=1-1539
4	OG0000004	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
5	OG0000005	YBL017C, YCR099C, YIL173W, YJL222W, YNR065C	-processed-gene-18.85-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-18.85&CDS=1-2793
6	OG0000006	YDR406W, YNR067C, YOR153W, YOR328W	-processed-gene-13.139-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.139&CDS=1-6711, -processed-gene-26.24-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.24&CDS=1-2778
7	OG0000007	YFR006W, YLL028W	-augustus-gene-26.106-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-26.106&CDS=1-2976, -processed-gene-1.14-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-1.14&CDS=1-1593, -processed-gene-15.118-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-15.118&CDS=1-1572, -processed-gene-2.37-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-2.37&CDS=1-1626
8	OG0000008	YGR097W, YIL105C, YNL047C, YPR115W	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.48&CDS=1-3996, -processed-gene-22.49-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-22.49&CDS=1-1644
9	OG0000009	YGR281W	-processed-gene-1.16-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-1.16&CDS=1-4074, -processed-gene-27.5-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.5&CDS=1-4335, -processed-gene-27.84-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-27.84&CDS=1-4440, -processed-gene-3.128-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-3.128&CDS=1-3894, -processed-gene-6.11-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.11&CDS=1-3705
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002316113|dbj|BCGO01000006.1|-processed-gene-0.39&CDS=1-1953, -processed-gene-15.85-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-15.85&CDS=1-1932
11	OG0000011	YBR023C, YLR086W	-augustus-gene-3.115-mRNA-1_1&gene=maker-gi|1002316118|dbj|BCGO01000001.1|-augustus-gene-3.115&CDS=1-8745, -processed-gene-3.5-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-3.5&CDS=1-5196, -processed-gene-7.54-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-7.54&CDS=1-3948
12	OG0000012	YBR038W, YNL192W	-processed-gene-16.70-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-16.70&CDS=1-3144, -processed-gene-19.17-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-19.17&CDS=1-2781, -processed-gene-2.112-mRNA-1_1&gene=genemark-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-2.112&CDS=1-2895
13	OG0000013	YBR145W, YMR083W, YMR303C, YOL086C	-processed-gene-9.103-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-9.103&CDS=1-1029
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-10.38&CDS=1-1680
15	OG0000015	YCR010C, YMR226C, YNR002C	-processed-gene-16.110-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-16.110&CDS=1-852, -processed-gene-24.43-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-24.43&CDS=1-3405
16	OG0000016	YCR065W, YIL131C, YNL068C	-processed-gene-12.64-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-12.64&CDS=1-2214, -processed-gene-6.32-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.32&CDS=1-2127
17	OG0000017	YCR098C, YML123C	-processed-gene-15.117-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-15.117&CDS=1-1587, -processed-gene-4.82-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-4.82&CDS=1-1539, -processed-gene-5.78-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-5.78&CDS=1-2142
18	OG0000018	YDL080C, YGR087C, YLR044C, YLR134W	-processed-gene-23.58-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-23.58&CDS=1-1746
19	OG0000019	YDL143W, YDR242W	-processed-gene-27.150-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.150&CDS=1-3312, -processed-gene-28.92-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.92&CDS=1-1644, -processed-gene-7.51-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.51&CDS=1-1620
20	OG0000020	YDL159W, YOR231W, YPL140C	-processed-gene-26.16-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-26.16&CDS=1-1035, -processed-gene-6.83-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.83&CDS=1-1149
21	OG0000021	YDL161W, YLL038C, YLR206W	-processed-gene-14.11-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-14.11&CDS=1-1398, -processed-gene-5.84-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-5.84&CDS=1-675
22	OG0000022	YDR389W, YOR134W, YPL115C	-processed-gene-17.32-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-17.32&CDS=1-2775, -processed-gene-28.71-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.71&CDS=1-1638
23	OG0000023	YDR523C, YHR102W	-processed-gene-11.43-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.43&CDS=1-1605, -processed-gene-18.97-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-18.97&CDS=1-1443, -processed-gene-26.128-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-26.128&CDS=1-2142
24	OG0000024	YDR533C, YMR322C, YOR391C, YPL280W	-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.27&CDS=1-720
25	OG0000025	YFR038W, YOR304W	-augustus-gene-5.3-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-5.3&CDS=1-2799, -processed-gene-14.111-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-14.111&CDS=1-3012, -processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-7.71&CDS=1-3552
26	OG0000026	YGL216W	-processed-gene-0.56-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.56&CDS=1-1410, -processed-gene-14.133-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.133&CDS=1-1464, -processed-gene-14.30-mRNA-1_1&gene=genemark-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.30&CDS=1-1446, -processed-gene-22.133-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-22.133&CDS=1-1518
