	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034974_Deakozyma_indianensis
0	OG0000000	YDR098C-B, YDR210C-D, YDR316W-B, YDR365W-B, YER138C, YER160C, YGR027W-B, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YJR029W, YLR157C-B, YLR227W-B, YML039W, YML045W, YMR050C, YNL054W-B, YNL284C-B, YOL103W-B, YOR142W-B, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B	augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.28&CDS=1-1797
1	OG0000001	YLR120C, YLR121C	augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.54&CDS=1-1578, augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.57&CDS=1-1752, augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.124&CDS=1-1812, augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.156&CDS=1-1281, augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-2.143&CDS=1-1605, augustus_masked-NODE_16_length_290319_cov_24.671_ID_31-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-NODE_16_length_290319_cov_24.671_ID_31-processed-gene-1.172&CDS=1-1524, augustus_masked-NODE_18_length_262085_cov_23.2177_ID_35-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_18_length_262085_cov_23.2177_ID_35-processed-gene-1.84&CDS=1-1605, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-9.125&CDS=1-1767, augustus_masked-NODE_25_length_185076_cov_28.1523_ID_49-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_25_length_185076_cov_28.1523_ID_49-processed-gene-0.125&CDS=1-1653, augustus_masked-NODE_28_length_124063_cov_22.7088_ID_55-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_28_length_124063_cov_22.7088_ID_55-processed-gene-0.53&CDS=1-1929, augustus_masked-NODE_36_length_39030_cov_21.5212_ID_71-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_36_length_39030_cov_21.5212_ID_71-processed-gene-0.24&CDS=1-1248, augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-0.6&CDS=1-1536, genemark-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.74&CDS=1-1749, maker-NODE_35_length_51877_cov_28.9776_ID_69-snap-gene-0.84-mRNA-1_1&gene=maker-NODE_35_length_51877_cov_28.9776_ID_69-snap-gene-0.84&CDS=1-2880, snap_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-0.15&CDS=1-1407, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-10.9-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-10.9&CDS=1-1359, snap_masked-NODE_33_length_58837_cov_33.2076_ID_65-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_33_length_58837_cov_33.2076_ID_65-processed-gene-0.48&CDS=1-2475
2	OG0000002	YDL138W, YDL194W, YGL068W	augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.51&CDS=1-1563, augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.102&CDS=1-1566, augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.107&CDS=1-1560, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.58&CDS=1-1509, augustus_masked-NODE_29_length_101485_cov_23.36_ID_57-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_29_length_101485_cov_23.36_ID_57-processed-gene-0.96&CDS=1-1575, augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-2.99&CDS=1-1509, augustus_masked-NODE_31_length_78164_cov_22.2105_ID_61-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_31_length_78164_cov_22.2105_ID_61-processed-gene-0.72&CDS=1-1566, augustus_masked-NODE_35_length_51877_cov_28.9776_ID_69-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_35_length_51877_cov_28.9776_ID_69-processed-gene-0.47&CDS=1-1566, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.17&CDS=1-1563, augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.90&CDS=1-1491, maker-NODE_2_length_765441_cov_23.7578_ID_3-augustus-gene-1.161-mRNA-1_1&gene=maker-NODE_2_length_765441_cov_23.7578_ID_3-augustus-gene-1.161&CDS=1-2127, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-11.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-11.41&CDS=1-2010
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-2.73&CDS=1-1695, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.102-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.102&CDS=1-1695, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.103-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.103&CDS=1-1689
4	OG0000004	YDR402C, YKL069W	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-0.94&CDS=1-2034, augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.235&CDS=1-1620, augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-5.97&CDS=1-1494, augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-4.202-mRNA-1_1&gene=augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-4.202&CDS=1-1572, augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.40&CDS=1-1551, augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-1.54&CDS=1-1584, snap_masked-NODE_30_length_88320_cov_22.7683_ID_59-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_30_length_88320_cov_22.7683_ID_59-processed-gene-0.37&CDS=1-1650
5	OG0000005	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-0.57&CDS=1-1059, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.0&CDS=1-1071, maker-NODE_25_length_185076_cov_28.1523_ID_49-snap-gene-0.157-mRNA-1_1&gene=maker-NODE_25_length_185076_cov_28.1523_ID_49-snap-gene-0.157&CDS=1-2085, maker-NODE_31_length_78164_cov_22.2105_ID_61-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_31_length_78164_cov_22.2105_ID_61-snap-gene-0.2&CDS=1-1989, maker-NODE_3_length_734043_cov_24.8_ID_5-snap-gene-4.137-mRNA-1_1&gene=maker-NODE_3_length_734043_cov_24.8_ID_5-snap-gene-4.137&CDS=1-2001
6	OG0000006	YCR028C	augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-1.29&CDS=1-1533, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.126&CDS=1-1479, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-4.30&CDS=1-1497, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-4.31&CDS=1-1506, augustus_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.54&CDS=1-1605, augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.25&CDS=1-1509, snap_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.85&CDS=1-1569
7	OG0000007	YDR242W	augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.107&CDS=1-1602, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.106&CDS=1-1635, augustus_masked-NODE_25_length_185076_cov_28.1523_ID_49-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_25_length_185076_cov_28.1523_ID_49-processed-gene-0.127&CDS=1-1671, augustus_masked-NODE_27_length_183370_cov_23.42_ID_53-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-NODE_27_length_183370_cov_23.42_ID_53-processed-gene-0.230&CDS=1-1608, augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-5.59&CDS=1-1635, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-1.90&CDS=1-1623, augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-3.148&CDS=1-1608
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.116&CDS=1-2298, augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NODE_14_length_344857_cov_26.0503_ID_27-processed-gene-2.92&CDS=1-3951, augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.231&CDS=1-2892, augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.46&CDS=1-3078
9	OG0000009	YJL172W, YOL153C	augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.97&CDS=1-1758, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.100&CDS=1-1791, augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.96&CDS=1-1788, augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-0.71&CDS=1-1728, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.1&CDS=1-1707
