	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034978_Cyberlindnera_mrakii
0	OG0000000	YJR004C	augustus_masked-NODE_108_length_3713_cov_11.7266_ID_215-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_108_length_3713_cov_11.7266_ID_215-processed-gene-0.0&CDS=1-1842, augustus_masked-NODE_14_length_273612_cov_12.1734_ID_27-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_14_length_273612_cov_12.1734_ID_27-processed-gene-0.17&CDS=1-903, augustus_masked-NODE_221_length_911_cov_27.7304_ID_441-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_221_length_911_cov_27.7304_ID_441-processed-gene-0.1&CDS=1-909, augustus_masked-NODE_46_length_66918_cov_13.401_ID_91-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_46_length_66918_cov_13.401_ID_91-processed-gene-0.37&CDS=1-1830, augustus_masked-NODE_48_length_59689_cov_14.009_ID_95-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_48_length_59689_cov_14.009_ID_95-processed-gene-0.30&CDS=1-1086, augustus_masked-NODE_55_length_35064_cov_14.9131_ID_109-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_55_length_35064_cov_14.9131_ID_109-processed-gene-0.25&CDS=1-1947, augustus_masked-NODE_63_length_22503_cov_15.3264_ID_125-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_63_length_22503_cov_15.3264_ID_125-processed-gene-0.9&CDS=1-2091, augustus_masked-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.2&CDS=1-1986, augustus_masked-NODE_70_length_20568_cov_16.0918_ID_139-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_70_length_20568_cov_16.0918_ID_139-processed-gene-0.8&CDS=1-3201, augustus_masked-NODE_72_length_15347_cov_16.9569_ID_143-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_72_length_15347_cov_16.9569_ID_143-processed-gene-0.3&CDS=1-2079, augustus_masked-NODE_73_length_14470_cov_32.0126_ID_145-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_73_length_14470_cov_32.0126_ID_145-processed-gene-0.4&CDS=1-3198, augustus_masked-NODE_76_length_12339_cov_15.0962_ID_151-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_76_length_12339_cov_15.0962_ID_151-processed-gene-0.4&CDS=1-1632, augustus_masked-NODE_80_length_10714_cov_14.9941_ID_159-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_80_length_10714_cov_14.9941_ID_159-processed-gene-0.3&CDS=1-1221, augustus_masked-NODE_82_length_10262_cov_19.1216_ID_163-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_82_length_10262_cov_19.1216_ID_163-processed-gene-0.2&CDS=1-2505, augustus_masked-NODE_83_length_10137_cov_14.1954_ID_165-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_83_length_10137_cov_14.1954_ID_165-processed-gene-0.6&CDS=1-1662, genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.144&CDS=1-2751, genemark-NODE_64_length_21972_cov_15.97_ID_127-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_64_length_21972_cov_15.97_ID_127-processed-gene-0.12&CDS=1-3120, genemark-NODE_75_length_13055_cov_14.5902_ID_149-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_75_length_13055_cov_14.5902_ID_149-processed-gene-0.4&CDS=1-2451, maker-NODE_107_length_3728_cov_15.1184_ID_213-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_107_length_3728_cov_15.1184_ID_213-snap-gene-0.4&CDS=1-1302, maker-NODE_116_length_2951_cov_16.7686_ID_231-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_116_length_2951_cov_16.7686_ID_231-snap-gene-0.0&CDS=1-1011, maker-NODE_57_length_31197_cov_12.7885_ID_113-snap-gene-0.23-mRNA-1_1&gene=maker-NODE_57_length_31197_cov_12.7885_ID_113-snap-gene-0.23&CDS=1-423, maker-NODE_58_length_30016_cov_14.4054_ID_115-snap-gene-0.13-mRNA-1_1&gene=maker-NODE_58_length_30016_cov_14.4054_ID_115-snap-gene-0.13&CDS=1-1575, snap_masked-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-6.108&CDS=1-1503, snap_masked-NODE_57_length_31197_cov_12.7885_ID_113-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_57_length_31197_cov_12.7885_ID_113-processed-gene-0.34&CDS=1-567
1	OG0000001	YBR240C, YDR207C	augustus_masked-NODE_10_length_330540_cov_12.3262_ID_19-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_10_length_330540_cov_12.3262_ID_19-processed-gene-1.147&CDS=1-645, augustus_masked-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.55&CDS=1-2217, augustus_masked-NODE_24_length_182395_cov_12.0428_ID_47-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-NODE_24_length_182395_cov_12.0428_ID_47-processed-gene-0.232&CDS=1-1848, genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.188-mRNA-1_1&gene=genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.188&CDS=1-1308, genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.125&CDS=1-1986, genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.93&CDS=1-1767, genemark-NODE_28_length_146636_cov_11.8629_ID_55-processed-gene-0.136-mRNA-1_1&gene=genemark-NODE_28_length_146636_cov_11.8629_ID_55-processed-gene-0.136&CDS=1-498, genemark-NODE_34_length_113772_cov_12.6474_ID_67-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_34_length_113772_cov_12.6474_ID_67-processed-gene-0.73&CDS=1-1011, genemark-NODE_37_length_98088_cov_12.3594_ID_73-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_37_length_98088_cov_12.3594_ID_73-processed-gene-0.46&CDS=1-1428, genemark-NODE_3_length_717632_cov_12.2362_ID_5-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_3_length_717632_cov_12.2362_ID_5-processed-gene-0.111&CDS=1-1554, genemark-NODE_47_length_63773_cov_12.9252_ID_93-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_47_length_63773_cov_12.9252_ID_93-processed-gene-0.37&CDS=1-1785, genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-1.45&CDS=1-711, genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-4.0-mRNA-1_1&gene=genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-4.0&CDS=1-657, genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-4.37-mRNA-1_1&gene=genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-4.37&CDS=1-1776, maker-NODE_14_length_273612_cov_12.1734_ID_27-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_14_length_273612_cov_12.1734_ID_27-augustus-gene-0.34&CDS=1-1752, snap_masked-NODE_23_length_188232_cov_11.929_ID_45-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_23_length_188232_cov_11.929_ID_45-processed-gene-0.141&CDS=1-636
2	OG0000002	YGL257C, YNR059W	augustus_masked-NODE_15_length_266027_cov_11.9535_ID_29-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_15_length_266027_cov_11.9535_ID_29-processed-gene-0.106&CDS=1-720, augustus_masked-NODE_193_length_1184_cov_23.5287_ID_385-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_193_length_1184_cov_23.5287_ID_385-processed-gene-0.1&CDS=1-1179, augustus_masked-NODE_29_length_131293_cov_12.3032_ID_57-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_29_length_131293_cov_12.3032_ID_57-processed-gene-0.196&CDS=1-624, genemark-NODE_13_length_280725_cov_12.346_ID_25-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_13_length_280725_cov_12.346_ID_25-processed-gene-1.82&CDS=1-2112, genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-0.121&CDS=1-2223, genemark-NODE_40_length_88697_cov_12.0789_ID_79-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_40_length_88697_cov_12.0789_ID_79-processed-gene-0.77&CDS=1-1974, genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-1.33&CDS=1-2079, snap_masked-NODE_29_length_131293_cov_12.3032_ID_57-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_29_length_131293_cov_12.3032_ID_57-processed-gene-0.5&CDS=1-1998, snap_masked-NODE_36_length_101228_cov_12.2831_ID_71-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_36_length_101228_cov_12.2831_ID_71-processed-gene-0.72&CDS=1-2490
3	OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.179-mRNA-1_1&gene=genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.179&CDS=1-1743, genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.141&CDS=1-1746, genemark-NODE_1_length_888145_cov_11.6895_ID_1-processed-gene-1.80-mRNA-1_1&gene=genemark-NODE_1_length_888145_cov_11.6895_ID_1-processed-gene-1.80&CDS=1-1746, genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.103&CDS=1-1737, genemark-NODE_3_length_717632_cov_12.2362_ID_5-processed-gene-1.138-mRNA-1_1&gene=genemark-NODE_3_length_717632_cov_12.2362_ID_5-processed-gene-1.138&CDS=1-1809, snap_masked-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.219-mRNA-1_1&gene=snap_masked-NODE_25_length_169497_cov_12.2903_ID_49-processed-gene-0.219&CDS=1-1734
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_10_length_330540_cov_12.3262_ID_19-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_10_length_330540_cov_12.3262_ID_19-processed-gene-1.7&CDS=1-1053, genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.181-mRNA-1_1&gene=genemark-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.181&CDS=1-687, genemark-NODE_1_length_888145_cov_11.6895_ID_1-processed-gene-7.270-mRNA-1_1&gene=genemark-NODE_1_length_888145_cov_11.6895_ID_1-processed-gene-7.270&CDS=1-1053, genemark-NODE_24_length_182395_cov_12.0428_ID_47-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_24_length_182395_cov_12.0428_ID_47-processed-gene-0.13&CDS=1-1047, genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-5.194-mRNA-1_1&gene=genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-5.194&CDS=1-1020, snap_masked-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NODE_18_length_219433_cov_11.7399_ID_35-processed-gene-1.115&CDS=1-270
5	OG0000005	YDR406W, YOR153W	augustus_masked-NODE_103_length_4413_cov_13.5534_ID_205-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_103_length_4413_cov_13.5534_ID_205-processed-gene-0.5&CDS=1-2364, augustus_masked-NODE_21_length_195718_cov_12.8148_ID_41-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_21_length_195718_cov_12.8148_ID_41-processed-gene-0.66&CDS=1-4503, genemark-NODE_16_length_257578_cov_11.8083_ID_31-processed-gene-1.193-mRNA-1_1&gene=genemark-NODE_16_length_257578_cov_11.8083_ID_31-processed-gene-1.193&CDS=1-4494, genemark-NODE_85_length_9382_cov_14.8074_ID_169-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_85_length_9382_cov_14.8074_ID_169-processed-gene-0.5&CDS=1-4494, genemark-NODE_86_length_9366_cov_13.6961_ID_171-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_86_length_9366_cov_13.6961_ID_171-processed-gene-0.5&CDS=1-2355, maker-NODE_64_length_21972_cov_15.97_ID_127-augustus-gene-0.18-mRNA-1_1&gene=maker-NODE_64_length_21972_cov_15.97_ID_127-augustus-gene-0.18&CDS=1-3849
6	OG0000006	YGL185C, YPL113C	genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.146&CDS=1-1014, genemark-NODE_26_length_168686_cov_11.8876_ID_51-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_26_length_168686_cov_11.8876_ID_51-processed-gene-0.111&CDS=1-1101, genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-0.87&CDS=1-1098, genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-1.43&CDS=1-1068, genemark-NODE_60_length_26490_cov_12.827_ID_119-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_60_length_26490_cov_12.827_ID_119-processed-gene-0.15&CDS=1-1113, snap_masked-NODE_48_length_59689_cov_14.009_ID_95-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_48_length_59689_cov_14.009_ID_95-processed-gene-0.11&CDS=1-897
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-2.79-mRNA-1_1&gene=genemark-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-2.79&CDS=1-1317, snap_masked-NODE_27_length_152177_cov_11.8685_ID_53-processed-gene-0.209-mRNA-1_1&gene=snap_masked-NODE_27_length_152177_cov_11.8685_ID_53-processed-gene-0.209&CDS=1-1341
8	OG0000008	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_20_length_196215_cov_11.9671_ID_39-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_20_length_196215_cov_11.9671_ID_39-processed-gene-0.121&CDS=1-1539, genemark-NODE_45_length_68881_cov_11.9744_ID_89-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_45_length_68881_cov_11.9744_ID_89-processed-gene-0.69&CDS=1-1752, snap_masked-NODE_15_length_266027_cov_11.9535_ID_29-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_15_length_266027_cov_11.9535_ID_29-processed-gene-1.135&CDS=1-1668
9	OG0000009	YER073W, YOR374W, YPL061W	augustus_masked-NODE_43_length_69127_cov_12.3237_ID_85-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_43_length_69127_cov_12.3237_ID_85-processed-gene-0.113&CDS=1-1569, augustus_masked-NODE_44_length_69121_cov_13.1892_ID_87-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_44_length_69121_cov_13.1892_ID_87-processed-gene-0.82&CDS=1-1545, genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.208-mRNA-1_1&gene=genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-1.208&CDS=1-1491, maker-NODE_3_length_717632_cov_12.2362_ID_5-snap-gene-4.3-mRNA-1_1&gene=maker-NODE_3_length_717632_cov_12.2362_ID_5-snap-gene-4.3&CDS=1-1935
