	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
0	OG0000000	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_22-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.209&CDS=1-2760, augustus_masked-flattened_line_22-processed-gene-1.210-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.210&CDS=1-2187, augustus_masked-flattened_line_3-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.10&CDS=1-2106, augustus_masked-flattened_line_3-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.64&CDS=1-2106, augustus_masked-flattened_line_32-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.100&CDS=1-2151, augustus_masked-flattened_line_56-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.191&CDS=1-2151
1	OG0000001	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-5.101&CDS=1-1707, augustus_masked-flattened_line_99-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.45&CDS=1-1707
2	OG0000002	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_58-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.28&CDS=1-1392, augustus_masked-flattened_line_6-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.57&CDS=1-1392, augustus_masked-flattened_line_70-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.124&CDS=1-1392
3	OG0000003	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_0-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.40&CDS=1-2049, augustus_masked-flattened_line_0-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.146&CDS=1-2049, augustus_masked-flattened_line_19-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.110&CDS=1-1461, augustus_masked-flattened_line_19-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.131&CDS=1-1461
4	OG0000004	YDR207C	augustus_masked-flattened_line_0-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.61&CDS=1-1884, augustus_masked-flattened_line_0-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.109&CDS=1-1884, augustus_masked-flattened_line_19-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.77&CDS=1-975, augustus_masked-flattened_line_19-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.81&CDS=1-975, augustus_masked-flattened_line_20-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.75&CDS=1-564, augustus_masked-flattened_line_91-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_91-processed-gene-0.87&CDS=1-561, snap_masked-flattened_line_62-processed-gene-0.169-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.169&CDS=1-465
5	OG0000005	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-flattened_line_0-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.13&CDS=1-708, augustus_masked-flattened_line_0-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.95&CDS=1-708
6	OG0000006	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_20-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.135&CDS=1-1092, genemark-flattened_line_20-processed-gene-1.256-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.256&CDS=1-1104, genemark-flattened_line_99-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_99-processed-gene-0.1&CDS=1-1092, maker-flattened_line_44-snap-gene-0.101-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.101&CDS=1-2163
7	OG0000007	YLR256W, YML015C	augustus_masked-flattened_line_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.66&CDS=1-2295, augustus_masked-flattened_line_70-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.115&CDS=1-2985, genemark-flattened_line_82-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.69&CDS=1-2367, maker-flattened_line_8-augustus-gene-1.139-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.139&CDS=1-7194, maker-flattened_line_82-augustus-gene-0.108-mRNA-1_1&gene=maker-flattened_line_82-augustus-gene-0.108&CDS=1-3276
8	OG0000008	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_72-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.93&CDS=1-2253, augustus_masked-flattened_line_72-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.95&CDS=1-2343, augustus_masked-flattened_line_72-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.96&CDS=1-2232, maker-flattened_line_52-augustus-gene-0.91-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.91&CDS=1-4377
9	OG0000009	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_3-snap-gene-1.162-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-1.162&CDS=1-5022, maker-flattened_line_3-snap-gene-4.77-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-4.77&CDS=1-5022
