	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034946_Ambrosiozyma_oregonensis
0	OG0000000		augustus_masked-NODE_117_length_2199_cov_388.952_ID_233-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_117_length_2199_cov_388.952_ID_233-processed-gene-0.2&CDS=1-1377, augustus_masked-NODE_130_length_1813_cov_690.218_ID_259-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_130_length_1813_cov_690.218_ID_259-processed-gene-0.1&CDS=1-564, augustus_masked-NODE_143_length_1605_cov_699.694_ID_285-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_143_length_1605_cov_699.694_ID_285-processed-gene-0.2&CDS=1-624, augustus_masked-NODE_195_length_1093_cov_446.347_ID_389-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_195_length_1093_cov_446.347_ID_389-processed-gene-0.1&CDS=1-621, augustus_masked-NODE_52_length_78870_cov_78.7946_ID_103-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_52_length_78870_cov_78.7946_ID_103-processed-gene-0.94&CDS=1-621, augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-0.0&CDS=1-453, augustus_masked-NODE_786_length_355_cov_756.453_ID_1571-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_786_length_355_cov_756.453_ID_1571-processed-gene-0.1&CDS=1-303, augustus_masked-NODE_95_length_6329_cov_73.7469_ID_189-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_95_length_6329_cov_73.7469_ID_189-processed-gene-0.1&CDS=1-495, genemark-NODE_185_length_1181_cov_950.92_ID_369-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_185_length_1181_cov_950.92_ID_369-processed-gene-0.0&CDS=1-1137, genemark-NODE_89_length_12557_cov_108.157_ID_177-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_89_length_12557_cov_108.157_ID_177-processed-gene-0.16&CDS=1-2226, snap_masked-NODE_159_length_1373_cov_326.138_ID_317-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_159_length_1373_cov_326.138_ID_317-processed-gene-0.2&CDS=1-393, snap_masked-NODE_169_length_1297_cov_423.59_ID_337-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_169_length_1297_cov_423.59_ID_337-processed-gene-0.2&CDS=1-336, snap_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-2.100&CDS=1-309, snap_masked-NODE_332_length_555_cov_274.081_ID_663-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_332_length_555_cov_274.081_ID_663-processed-gene-0.1&CDS=1-318, snap_masked-NODE_345_length_525_cov_1125.47_ID_689-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_345_length_525_cov_1125.47_ID_689-processed-gene-0.0&CDS=1-216, snap_masked-NODE_363_length_483_cov_1129.72_ID_725-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_363_length_483_cov_1129.72_ID_725-processed-gene-0.1&CDS=1-216
1	OG0000001	YKR039W	augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-2.39&CDS=1-1830, augustus_masked-NODE_81_length_24560_cov_82.3572_ID_161-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_81_length_24560_cov_82.3572_ID_161-processed-gene-0.0&CDS=1-1761, genemark-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.114&CDS=1-1827, genemark-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.99-mRNA-1_1&gene=genemark-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-3.99&CDS=1-1722, maker-NODE_22_length_240944_cov_72.0822_ID_43-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_22_length_240944_cov_72.0822_ID_43-snap-gene-0.5&CDS=1-1743, maker-NODE_32_length_163693_cov_61.6862_ID_63-snap-gene-0.232-mRNA-1_1&gene=maker-NODE_32_length_163693_cov_61.6862_ID_63-snap-gene-0.232&CDS=1-1800, maker-NODE_35_length_147298_cov_77.5425_ID_69-augustus-gene-0.52-mRNA-1_1&gene=maker-NODE_35_length_147298_cov_77.5425_ID_69-augustus-gene-0.52&CDS=1-1776, maker-NODE_3_length_574203_cov_71.0128_ID_5-snap-gene-1.40-mRNA-1_1&gene=maker-NODE_3_length_574203_cov_71.0128_ID_5-snap-gene-1.40&CDS=1-1830, maker-NODE_52_length_78870_cov_78.7946_ID_103-snap-gene-0.102-mRNA-1_1&gene=maker-NODE_52_length_78870_cov_78.7946_ID_103-snap-gene-0.102&CDS=1-3483, snap_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-0.51&CDS=1-1749, snap_masked-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_35_length_147298_cov_77.5425_ID_69-processed-gene-0.117&CDS=1-1743
2	OG0000002	YML111W, YMR275C, YNR069C	augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.121&CDS=1-2214, augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.122&CDS=1-2316, augustus_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.27&CDS=1-2313, augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-2.32&CDS=1-2250, snap_masked-NODE_27_length_200086_cov_97.5813_ID_53-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_27_length_200086_cov_97.5813_ID_53-processed-gene-0.1&CDS=1-2334, snap_masked-NODE_27_length_200086_cov_97.5813_ID_53-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_27_length_200086_cov_97.5813_ID_53-processed-gene-0.2&CDS=1-2385, snap_masked-NODE_34_length_152273_cov_66.6081_ID_67-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_34_length_152273_cov_66.6081_ID_67-processed-gene-0.108&CDS=1-2874, snap_masked-NODE_46_length_114931_cov_70.3255_ID_91-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_46_length_114931_cov_70.3255_ID_91-processed-gene-0.47&CDS=1-3408
3	OG0000003	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-0.92&CDS=1-1056, augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_21_length_254489_cov_70.2048_ID_41-processed-gene-1.137&CDS=1-1755, augustus_masked-NODE_50_length_86447_cov_77.602_ID_99-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_50_length_86447_cov_77.602_ID_99-processed-gene-0.105&CDS=1-1752, augustus_masked-NODE_58_length_66415_cov_127.585_ID_115-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_58_length_66415_cov_127.585_ID_115-processed-gene-0.19&CDS=1-1725, genemark-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-0.89&CDS=1-1713, snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.126-mRNA-1_1&gene=snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.126&CDS=1-1803
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_119_length_2157_cov_124.353_ID_237-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_119_length_2157_cov_124.353_ID_237-processed-gene-0.2&CDS=1-1044, snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.45&CDS=1-1047, snap_masked-NODE_187_length_1167_cov_128.364_ID_373-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_187_length_1167_cov_128.364_ID_373-processed-gene-0.1&CDS=1-1044, snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.133&CDS=1-1035, snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_31_length_174477_cov_101.441_ID_61-processed-gene-0.95&CDS=1-1065, snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.140&CDS=1-1044
5	OG0000005	YAL051W, YLR256W, YOL031C, YOR363C	maker-NODE_19_length_283276_cov_66.6713_ID_37-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_19_length_283276_cov_66.6713_ID_37-snap-gene-0.4&CDS=1-4134, maker-NODE_2_length_577604_cov_68.7021_ID_3-snap-gene-1.55-mRNA-1_1&gene=maker-NODE_2_length_577604_cov_68.7021_ID_3-snap-gene-1.55&CDS=1-3693, snap_masked-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-2.10&CDS=1-2784, snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-1.142-mRNA-1_1&gene=snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-1.142&CDS=1-4257, snap_masked-NODE_55_length_74542_cov_79.4292_ID_109-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_55_length_74542_cov_79.4292_ID_109-processed-gene-0.94&CDS=1-3132
6	OG0000006	YBR150C, YOL089C	augustus_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.33&CDS=1-4809, augustus_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.34&CDS=1-2814, augustus_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.197-mRNA-1_1&gene=augustus_masked-NODE_8_length_454298_cov_69.0551_ID_15-processed-gene-3.197&CDS=1-2523, genemark-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-2.1&CDS=1-2457, snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.80&CDS=1-2460, snap_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_24_length_208480_cov_68.3436_ID_47-processed-gene-1.76&CDS=1-2214, snap_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_43_length_119858_cov_67.8265_ID_85-processed-gene-0.21&CDS=1-2649
7	OG0000007	YDR242W	augustus_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NODE_16_length_339954_cov_73.013_ID_31-processed-gene-2.34&CDS=1-1626, augustus_masked-NODE_32_length_163693_cov_61.6862_ID_63-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_32_length_163693_cov_61.6862_ID_63-processed-gene-0.163&CDS=1-1659, snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-0.29&CDS=1-1632, snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.149&CDS=1-1599, snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-4.134&CDS=1-1629, snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-2.128&CDS=1-1671, snap_masked-NODE_65_length_49542_cov_142.097_ID_129-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_65_length_49542_cov_142.097_ID_129-processed-gene-0.86&CDS=1-1656, snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_9_length_435884_cov_70.8235_ID_17-processed-gene-1.99&CDS=1-1719
8	OG0000008	YHR179W, YPL171C	maker-NODE_19_length_283276_cov_66.6713_ID_37-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_19_length_283276_cov_66.6713_ID_37-snap-gene-0.2&CDS=1-2625, snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.78&CDS=1-1206, snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-0.37&CDS=1-1215, snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_19_length_283276_cov_66.6713_ID_37-processed-gene-1.102&CDS=1-1209, snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_2_length_577604_cov_68.7021_ID_3-processed-gene-2.28&CDS=1-1200, snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.114&CDS=1-1212, snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-4.61&CDS=1-1212
9	OG0000009	YJR061W, YKL201C	augustus_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.16&CDS=1-2160, genemark-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-1.72&CDS=1-2652, genemark-NODE_48_length_101462_cov_85.2912_ID_95-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_48_length_101462_cov_85.2912_ID_95-processed-gene-0.117&CDS=1-2304, snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.83&CDS=1-2286, snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-3.111-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-3.111&CDS=1-2253, snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.60&CDS=1-2418, snap_masked-NODE_77_length_28829_cov_178.927_ID_153-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_77_length_28829_cov_178.927_ID_153-processed-gene-0.19&CDS=1-2292
