	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034754_Lipomyces_arxii
0	OG0000000	YFL040W	augustus_masked-NODE_293_length_8235_cov_11.1361_ID_585-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_293_length_8235_cov_11.1361_ID_585-processed-gene-0.2&CDS=1-1416, augustus_masked-NODE_371_length_3810_cov_16.3201_ID_741-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_371_length_3810_cov_16.3201_ID_741-processed-gene-0.0&CDS=1-1032, augustus_masked-NODE_394_length_3022_cov_16.0645_ID_787-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_394_length_3022_cov_16.0645_ID_787-processed-gene-0.0&CDS=1-1032, genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.79&CDS=1-1563, genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.26&CDS=1-1581, genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.30&CDS=1-1536, genemark-NODE_149_length_33029_cov_11.2425_ID_297-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_149_length_33029_cov_11.2425_ID_297-processed-gene-0.5&CDS=1-1599, genemark-NODE_156_length_30788_cov_13.5778_ID_311-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_156_length_30788_cov_13.5778_ID_311-processed-gene-0.24&CDS=1-1503, genemark-NODE_192_length_21431_cov_13.4539_ID_383-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_192_length_21431_cov_13.4539_ID_383-processed-gene-0.24&CDS=1-1548, genemark-NODE_230_length_15615_cov_12.844_ID_459-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_230_length_15615_cov_12.844_ID_459-processed-gene-0.12&CDS=1-1608, genemark-NODE_258_length_11766_cov_13.4814_ID_515-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_258_length_11766_cov_13.4814_ID_515-processed-gene-0.2&CDS=1-1587, genemark-NODE_284_length_9171_cov_31.5132_ID_567-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_284_length_9171_cov_31.5132_ID_567-processed-gene-0.3&CDS=1-1575, genemark-NODE_302_length_7512_cov_11.3431_ID_603-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_302_length_7512_cov_11.3431_ID_603-processed-gene-0.1&CDS=1-1560, genemark-NODE_304_length_7402_cov_15.7126_ID_607-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_304_length_7402_cov_15.7126_ID_607-processed-gene-0.5&CDS=1-1494, genemark-NODE_38_length_132907_cov_11.3871_ID_75-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_38_length_132907_cov_11.3871_ID_75-processed-gene-0.105&CDS=1-1701, genemark-NODE_47_length_115791_cov_10.9052_ID_93-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_47_length_115791_cov_10.9052_ID_93-processed-gene-0.25&CDS=1-1569, maker-NODE_102_length_59237_cov_11.1668_ID_203-augustus-gene-0.81-mRNA-1_1&gene=maker-NODE_102_length_59237_cov_11.1668_ID_203-augustus-gene-0.81&CDS=1-1587, maker-NODE_151_length_32922_cov_12.7541_ID_301-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_151_length_32922_cov_12.7541_ID_301-snap-gene-0.43&CDS=1-3156, maker-NODE_151_length_32922_cov_12.7541_ID_301-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_151_length_32922_cov_12.7541_ID_301-snap-gene-0.44&CDS=1-1458, maker-NODE_158_length_29835_cov_12.6607_ID_315-augustus-gene-0.28-mRNA-1_1&gene=maker-NODE_158_length_29835_cov_12.6607_ID_315-augustus-gene-0.28&CDS=1-2037, maker-NODE_169_length_27393_cov_12.326_ID_337-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_169_length_27393_cov_12.326_ID_337-snap-gene-0.3&CDS=1-1617, snap_masked-NODE_275_length_10027_cov_29.2734_ID_549-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_275_length_10027_cov_29.2734_ID_549-processed-gene-0.15&CDS=1-1569, snap_masked-NODE_95_length_63293_cov_11.3888_ID_189-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_95_length_63293_cov_11.3888_ID_189-processed-gene-0.51&CDS=1-1620
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-NODE_151_length_32922_cov_12.7541_ID_301-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_151_length_32922_cov_12.7541_ID_301-processed-gene-0.10&CDS=1-1809
2	OG0000002	YBL042C, YBR021W, YIR028W	genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.265-mRNA-1_1&gene=genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.265&CDS=1-1695, genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.31&CDS=1-1638, genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.81-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.81&CDS=1-1677, genemark-NODE_46_length_115905_cov_11.9662_ID_91-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_46_length_115905_cov_11.9662_ID_91-processed-gene-0.86&CDS=1-1686, genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.141-mRNA-1_1&gene=genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.141&CDS=1-1686, genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.19&CDS=1-1701, maker-NODE_46_length_115905_cov_11.9662_ID_91-snap-gene-0.102-mRNA-1_1&gene=maker-NODE_46_length_115905_cov_11.9662_ID_91-snap-gene-0.102&CDS=1-1674, maker-NODE_46_length_115905_cov_11.9662_ID_91-snap-gene-0.103-mRNA-1_1&gene=maker-NODE_46_length_115905_cov_11.9662_ID_91-snap-gene-0.103&CDS=1-3297, maker-NODE_506_length_1281_cov_21.9493_ID_1011-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_506_length_1281_cov_21.9493_ID_1011-augustus-gene-0.0&CDS=1-1212, maker-NODE_67_length_87842_cov_11.634_ID_133-snap-gene-0.111-mRNA-1_1&gene=maker-NODE_67_length_87842_cov_11.634_ID_133-snap-gene-0.111&CDS=1-3324
3	OG0000003	YBR298C, YDL247W, YJR160C	augustus_masked-NODE_201_length_19338_cov_12.7707_ID_401-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_201_length_19338_cov_12.7707_ID_401-processed-gene-0.9&CDS=1-1710, genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.46&CDS=1-1614, genemark-NODE_231_length_15401_cov_11.2882_ID_461-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_231_length_15401_cov_11.2882_ID_461-processed-gene-0.3&CDS=1-1662, genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.158-mRNA-1_1&gene=genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.158&CDS=1-1581, genemark-NODE_252_length_13024_cov_11.2674_ID_503-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_252_length_13024_cov_11.2674_ID_503-processed-gene-0.13&CDS=1-1617, genemark-NODE_316_length_6471_cov_12.9127_ID_631-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_316_length_6471_cov_12.9127_ID_631-processed-gene-0.8&CDS=1-1722, genemark-NODE_46_length_115905_cov_11.9662_ID_91-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_46_length_115905_cov_11.9662_ID_91-processed-gene-0.95&CDS=1-1704, genemark-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.94&CDS=1-1644, maker-NODE_251_length_13085_cov_12.5489_ID_501-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_251_length_13085_cov_12.5489_ID_501-snap-gene-0.0&CDS=1-1680, snap_masked-NODE_166_length_27701_cov_12.9359_ID_331-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_166_length_27701_cov_12.9359_ID_331-processed-gene-0.9&CDS=1-1686
4	OG0000004	YCR028C	genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-0.92&CDS=1-1605, genemark-NODE_112_length_50345_cov_10.9217_ID_223-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_112_length_50345_cov_10.9217_ID_223-processed-gene-0.74&CDS=1-1545, genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_119_length_47445_cov_11.1416_ID_237-processed-gene-0.29&CDS=1-1512, genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.25&CDS=1-1512, genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.34&CDS=1-1518, genemark-NODE_160_length_29006_cov_13.9237_ID_319-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_160_length_29006_cov_13.9237_ID_319-processed-gene-0.1&CDS=1-1512, genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-0.85&CDS=1-1506, genemark-NODE_202_length_19250_cov_12.1146_ID_403-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_202_length_19250_cov_12.1146_ID_403-processed-gene-0.12&CDS=1-1503, genemark-NODE_244_length_13576_cov_12.5059_ID_487-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_244_length_13576_cov_12.5059_ID_487-processed-gene-0.11&CDS=1-1494, genemark-NODE_245_length_13492_cov_10.8733_ID_489-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_245_length_13492_cov_10.8733_ID_489-processed-gene-0.2&CDS=1-1500, genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.91&CDS=1-1518, maker-NODE_255_length_12746_cov_11.9972_ID_509-augustus-gene-0.13-mRNA-1_1&gene=maker-NODE_255_length_12746_cov_11.9972_ID_509-augustus-gene-0.13&CDS=1-1095
5	OG0000005	YPR194C	augustus_masked-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.5&CDS=1-2556, augustus_masked-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.106&CDS=1-2583, genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.55&CDS=1-2553, genemark-NODE_113_length_50330_cov_11.6004_ID_225-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_113_length_50330_cov_11.6004_ID_225-processed-gene-0.33&CDS=1-2559, genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.18&CDS=1-2652, genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.147-mRNA-1_1&gene=genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.147&CDS=1-2586, genemark-NODE_166_length_27701_cov_12.9359_ID_331-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_166_length_27701_cov_12.9359_ID_331-processed-gene-0.11&CDS=1-2598, genemark-NODE_213_length_17669_cov_12.2405_ID_425-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_213_length_17669_cov_12.2405_ID_425-processed-gene-0.2&CDS=1-2595, genemark-NODE_221_length_17338_cov_13.5718_ID_441-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_221_length_17338_cov_13.5718_ID_441-processed-gene-0.15&CDS=1-2580, genemark-NODE_238_length_14488_cov_13.1432_ID_475-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_238_length_14488_cov_13.1432_ID_475-processed-gene-0.4&CDS=1-2598, genemark-NODE_286_length_8963_cov_14.0599_ID_571-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_286_length_8963_cov_14.0599_ID_571-processed-gene-0.3&CDS=1-2598
6	OG0000006	YGR287C, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.57&CDS=1-1749, genemark-NODE_176_length_25568_cov_14.6759_ID_351-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_176_length_25568_cov_14.6759_ID_351-processed-gene-0.29&CDS=1-1704, genemark-NODE_252_length_13024_cov_11.2674_ID_503-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_252_length_13024_cov_11.2674_ID_503-processed-gene-0.11&CDS=1-1743, genemark-NODE_255_length_12746_cov_11.9972_ID_509-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_255_length_12746_cov_11.9972_ID_509-processed-gene-0.6&CDS=1-1722
7	OG0000007	YKL055C	augustus_masked-NODE_224_length_17002_cov_18.4365_ID_447-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_224_length_17002_cov_18.4365_ID_447-processed-gene-0.6&CDS=1-750, genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.26&CDS=1-744, genemark-NODE_215_length_17618_cov_11.8643_ID_429-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_215_length_17618_cov_11.8643_ID_429-processed-gene-0.15&CDS=1-948, genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.107&CDS=1-876, genemark-NODE_421_length_2149_cov_10.5097_ID_841-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_421_length_2149_cov_10.5097_ID_841-processed-gene-0.1&CDS=1-879, genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_81_length_74981_cov_11.7391_ID_161-processed-gene-0.81&CDS=1-813, maker-NODE_11_length_244810_cov_11.4858_ID_21-augustus-gene-1.20-mRNA-1_1&gene=maker-NODE_11_length_244810_cov_11.4858_ID_21-augustus-gene-1.20&CDS=1-798, maker-NODE_275_length_10027_cov_29.2734_ID_549-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_275_length_10027_cov_29.2734_ID_549-snap-gene-0.2&CDS=1-759
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.117&CDS=1-2154, genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_69_length_87016_cov_10.832_ID_137-processed-gene-0.11&CDS=1-2097, genemark-NODE_84_length_71601_cov_11.8655_ID_167-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_84_length_71601_cov_11.8655_ID_167-processed-gene-0.33&CDS=1-2079
9	OG0000009	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	genemark-NODE_26_length_177985_cov_11.2812_ID_51-processed-gene-0.131-mRNA-1_1&gene=genemark-NODE_26_length_177985_cov_11.2812_ID_51-processed-gene-0.131&CDS=1-2061
