	OrthologID	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
0	OG0000000	YHR185C, YMR163C	augustus_masked-scf7180000049640-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049640-processed-gene-0.2&CDS=1-402, augustus_masked-scf7180000049642-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049642-processed-gene-0.0&CDS=1-99, augustus_masked-scf7180000049954-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049954-processed-gene-0.1&CDS=1-99, augustus_masked-scf7180000050150-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050150-processed-gene-0.6&CDS=1-1146, augustus_masked-scf7180000050186-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000050186-processed-gene-0.1&CDS=1-426, augustus_masked-scf7180000050354-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.97&CDS=1-198, augustus_masked-scf7180000050363-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050363-processed-gene-0.43&CDS=1-894, maker-scf7180000050304-augustus-gene-0.6-mRNA-1_1&gene=maker-scf7180000050304-augustus-gene-0.6&CDS=1-363, snap_masked-scf7180000049353-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.2&CDS=1-234, snap_masked-scf7180000049438-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.24&CDS=1-267, snap_masked-scf7180000049442-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049442-processed-gene-0.0&CDS=1-177, snap_masked-scf7180000049455-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000049455-processed-gene-0.13&CDS=1-249, snap_masked-scf7180000049494-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049494-processed-gene-0.2&CDS=1-141, snap_masked-scf7180000049506-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000049506-processed-gene-0.29&CDS=1-129, snap_masked-scf7180000049572-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049572-processed-gene-0.1&CDS=1-129, snap_masked-scf7180000049598-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049598-processed-gene-0.0&CDS=1-180, snap_masked-scf7180000049643-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049643-processed-gene-0.1&CDS=1-336, snap_masked-scf7180000049718-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049718-processed-gene-0.0&CDS=1-183, snap_masked-scf7180000050094-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000050094-processed-gene-0.10&CDS=1-180, snap_masked-scf7180000050149-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000050149-processed-gene-0.13&CDS=1-183, snap_masked-scf7180000050163-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000050163-processed-gene-0.50&CDS=1-240, snap_masked-scf7180000050176-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000050176-processed-gene-0.0&CDS=1-180, snap_masked-scf7180000050259-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000050259-processed-gene-0.1&CDS=1-207, snap_masked-scf7180000050304-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000050304-processed-gene-0.81&CDS=1-183, snap_masked-scf7180000050354-processed-gene-0.171-mRNA-1_1&gene=snap_masked-scf7180000050354-processed-gene-0.171&CDS=1-186, snap_masked-scf7180000050364-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000050364-processed-gene-0.2&CDS=1-216
1	OG0000001	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	augustus_masked-scf7180000050275-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000050275-processed-gene-0.17&CDS=1-3144
2	OG0000002	YCL075W, YCL076W	augustus_masked-scf7180000050080-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000050080-processed-gene-0.0&CDS=1-555, augustus_masked-scf7180000050196-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.73&CDS=1-1263, augustus_masked-scf7180000050225-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050225-processed-gene-0.2&CDS=1-2532, augustus_masked-scf7180000050283-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050283-processed-gene-0.4&CDS=1-231, augustus_masked-scf7180000050307-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050307-processed-gene-0.2&CDS=1-2172, augustus_masked-scf7180000050384-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.98&CDS=1-1206, snap_masked-scf7180000050038-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000050038-processed-gene-0.1&CDS=1-354, snap_masked-scf7180000050188-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000050188-processed-gene-0.1&CDS=1-1182, snap_masked-scf7180000050339-processed-gene-0.119-mRNA-1_1&gene=snap_masked-scf7180000050339-processed-gene-0.119&CDS=1-462, snap_masked-scf7180000050339-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scf7180000050339-processed-gene-0.120&CDS=1-339
3	OG0000003	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W	snap_masked-scf7180000050326-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000050326-processed-gene-0.91&CDS=1-732
4	OG0000004	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-scf7180000050203-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000050203-processed-gene-0.1&CDS=1-525, snap_masked-scf7180000050381-processed-gene-0.68-mRNA-1_1&gene=snap_masked-scf7180000050381-processed-gene-0.68&CDS=1-504, snap_masked-scf7180000050382-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scf7180000050382-processed-gene-0.67&CDS=1-852, snap_masked-scf7180000050386-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000050386-processed-gene-0.9&CDS=1-891
5	OG0000005	YIL171W, YJL219W, YOL156W	augustus_masked-scf7180000050093-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.41&CDS=1-558, augustus_masked-scf7180000050301-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050301-processed-gene-0.3&CDS=1-312, genemark-scf7180000049455-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000049455-processed-gene-0.4&CDS=1-504, genemark-scf7180000050277-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000050277-processed-gene-0.0&CDS=1-372, genemark-scf7180000050300-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000050300-processed-gene-0.5&CDS=1-402
6	OG0000006	YBL100W-A, YDR034C-C, YFL002W-B, YGR161W-A, YLR410W-A, YLR410W-B, YOR343W-A	
7	OG0000007	YHR179W, YPL171C	augustus_masked-scf7180000049348-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.29&CDS=1-1194, augustus_masked-scf7180000050213-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.100&CDS=1-1200, augustus_masked-scf7180000050304-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000050304-processed-gene-0.65&CDS=1-1200, augustus_masked-scf7180000050392-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000050392-processed-gene-0.1&CDS=1-1200, maker-scf7180000050323-snap-gene-0.12-mRNA-1_1&gene=maker-scf7180000050323-snap-gene-0.12&CDS=1-1251
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
9	OG0000009	YCR106W, YLL054C	augustus_masked-scf7180000049367-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049367-processed-gene-0.2&CDS=1-2613, augustus_masked-scf7180000050361-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.13&CDS=1-2493, augustus_masked-scf7180000050361-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.14&CDS=1-2592, snap_masked-scf7180000050153-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000050153-processed-gene-0.5&CDS=1-2595
10	OG0000010	YDR179W-A, YDR180W	augustus_masked-scf7180000049345-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049345-processed-gene-0.10&CDS=1-1869, augustus_masked-scf7180000049524-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049524-processed-gene-0.2&CDS=1-2427, augustus_masked-scf7180000049525-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049525-processed-gene-0.1&CDS=1-2406, augustus_masked-scf7180000050328-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050328-processed-gene-0.44&CDS=1-3360
11	OG0000011	YGR201C	augustus_masked-scf7180000050106-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050106-processed-gene-0.4&CDS=1-669, augustus_masked-scf7180000050381-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scf7180000050381-processed-gene-0.151&CDS=1-669, snap_masked-scf7180000050146-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000050146-processed-gene-0.29&CDS=1-666, snap_masked-scf7180000050196-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scf7180000050196-processed-gene-0.111&CDS=1-813, snap_masked-scf7180000050220-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000050220-processed-gene-0.25&CDS=1-675
12	OG0000012	YHR141C, YNL162W	genemark-scf7180000049784-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000049784-processed-gene-0.7&CDS=1-318, genemark-scf7180000049853-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000049853-processed-gene-0.72&CDS=1-318, genemark-scf7180000050299-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000050299-processed-gene-0.71&CDS=1-318, maker-scf7180000050302-snap-gene-1.156-mRNA-1_1&gene=maker-scf7180000050302-snap-gene-1.156&CDS=1-318
13	OG0000013	YOR010C	augustus_masked-scf7180000049753-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049753-processed-gene-0.2&CDS=1-342, augustus_masked-scf7180000050320-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050320-processed-gene-0.57&CDS=1-681, augustus_masked-scf7180000050382-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scf7180000050382-processed-gene-0.111&CDS=1-801, augustus_masked-scf7180000050382-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-scf7180000050382-processed-gene-0.137&CDS=1-816, augustus_masked-scf7180000050383-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000050383-processed-gene-0.0&CDS=1-732
14	OG0000014		augustus_masked-scf7180000050205-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000050205-processed-gene-0.19&CDS=1-555, augustus_masked-scf7180000050205-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000050205-processed-gene-0.20&CDS=1-330, augustus_masked-scf7180000050302-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-1.35&CDS=1-2070, snap_masked-scf7180000049438-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.40&CDS=1-216, snap_masked-scf7180000049438-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.41&CDS=1-252, snap_masked-scf7180000049438-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000049438-processed-gene-0.42&CDS=1-252
15	OG0000015	YBL003C, YDR225W	augustus_masked-scf7180000049439-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049439-processed-gene-0.10&CDS=1-396, augustus_masked-scf7180000050319-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-0.71&CDS=1-396, augustus_masked-scf7180000050328-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050328-processed-gene-0.23&CDS=1-396
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	maker-scf7180000050097-augustus-gene-0.138-mRNA-1_1&gene=maker-scf7180000050097-augustus-gene-0.138&CDS=1-5190
17	OG0000017	YBL054W, YER088C	augustus_masked-scf7180000050346-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050346-processed-gene-0.87&CDS=1-627, augustus_masked-scf7180000050357-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.71&CDS=1-1725, genemark-scf7180000050211-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000050211-processed-gene-0.0&CDS=1-1779
18	OG0000018	YBR009C, YNL030W	augustus_masked-scf7180000050200-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000050200-processed-gene-0.74&CDS=1-309, augustus_masked-scf7180000050319-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-0.49&CDS=1-309, augustus_masked-scf7180000050321-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050321-processed-gene-0.6&CDS=1-309
19	OG0000019	YBR010W, YNL031C	augustus_masked-scf7180000050200-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000050200-processed-gene-0.53&CDS=1-408, augustus_masked-scf7180000050319-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-0.66&CDS=1-408, augustus_masked-scf7180000050321-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050321-processed-gene-0.2&CDS=1-408
20	OG0000020	YBR019C, YHR210C, YNR071C	augustus_masked-scf7180000050249-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050249-processed-gene-0.3&CDS=1-552, augustus_masked-scf7180000050319-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-0.76&CDS=1-2082
