	OrthologID	Saccharomyces_cerevisiae	Sporopachydermia_quercuum
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-1.120&CDS=1-1614, -processed-gene-9.122-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-9.122&CDS=1-1644
1	OG0000001	YBR240C, YDR207C	-augustus-gene-8.109-mRNA-1_1&gene=maker-gi|1002316346|dbj|BCGN01000007.1|-augustus-gene-8.109&CDS=1-2010, -processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-0.63&CDS=1-3243, -processed-gene-12.14-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-12.14&CDS=1-1350, -processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-4.26&CDS=1-2853, -processed-gene-4.90-mRNA-1_1&gene=genemark-gi|1002316343|dbj|BCGN01000010.1|-processed-gene-4.90&CDS=1-1695, -processed-gene-7.93-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-7.93&CDS=1-2700, -snap-gene-4.80-mRNA-1_1&gene=maker-gi|1002316349|dbj|BCGN01000004.1|-snap-gene-4.80&CDS=1-1362, -snap-gene-7.39-mRNA-1_1&gene=maker-gi|1002316349|dbj|BCGN01000004.1|-snap-gene-7.39&CDS=1-2961, -snap-gene-8.101-mRNA-1_1&gene=maker-gi|1002316346|dbj|BCGN01000007.1|-snap-gene-8.101&CDS=1-1590
2	OG0000002	YAL051W, YCR106W, YLL054C, YOR363C	-processed-gene-18.57-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-18.57&CDS=1-3147, -processed-gene-4.104-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-4.104&CDS=1-2844, -processed-gene-4.51-mRNA-1_1&gene=genemark-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-4.51&CDS=1-3060, -processed-gene-4.86-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-4.86&CDS=1-2979, -processed-gene-6.19-mRNA-1_1&gene=genemark-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-6.19&CDS=1-3063
3	OG0000003	YDR011W, YNR070W, YOR153W, YPL058C	-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-0.21&CDS=1-4602, -processed-gene-10.32-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-10.32&CDS=1-4482, -processed-gene-12.17-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-12.17&CDS=1-4641, -processed-gene-4.23-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-4.23&CDS=1-4596
4	OG0000004	YER013W, YGL120C, YKR086W, YNR011C	-processed-gene-11.68-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-11.68&CDS=1-3621, -processed-gene-2.11-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-2.11&CDS=1-2319, -processed-gene-2.66-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-2.66&CDS=1-3561, -processed-gene-3.72-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-3.72&CDS=1-2613
5	OG0000005	YLL057C	-processed-gene-0.38-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-0.38&CDS=1-1179, -processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-0.61&CDS=1-1170, -processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-0.62&CDS=1-1158, -processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-0.63&CDS=1-1170, -processed-gene-0.77-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-0.77&CDS=1-1176, -processed-gene-1.12-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-1.12&CDS=1-1179, -processed-gene-17.20-mRNA-1_1&gene=augustus_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-17.20&CDS=1-1170
6	OG0000006	YGL131C	-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-0.15&CDS=1-3933, -processed-gene-0.60-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-0.60&CDS=1-732, -processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-0.61&CDS=1-834, -processed-gene-18.62-mRNA-1_1&gene=genemark-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-18.62&CDS=1-2556, -snap-gene-0.40-mRNA-1_1&gene=maker-gi|1002316351|dbj|BCGN01000002.1|-snap-gene-0.40&CDS=1-1521, -snap-gene-0.41-mRNA-1_1&gene=maker-gi|1002316351|dbj|BCGN01000002.1|-snap-gene-0.41&CDS=1-321
7	OG0000007	YMR169C, YMR170C, YOR374W	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-0.40&CDS=1-1488, -processed-gene-1.91-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-1.91&CDS=1-1572, -processed-gene-12.12-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-12.12&CDS=1-1497, -processed-gene-17.71-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-17.71&CDS=1-1524
8	OG0000008	YMR280C, YNR063W	-processed-gene-13.16-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-13.16&CDS=1-3015, -processed-gene-15.20-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-15.20&CDS=1-2784, -processed-gene-19.81-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-19.81&CDS=1-1947, -processed-gene-21.47-mRNA-1_1&gene=genemark-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-21.47&CDS=1-2013, -processed-gene-3.93-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-3.93&CDS=1-1107
9	OG0000009	YNL274C, YPL113C	-processed-gene-12.36-mRNA-1_1&gene=augustus_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-12.36&CDS=1-1053, -processed-gene-13.25-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-13.25&CDS=1-1101, -processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-7.98&CDS=1-1011, -processed-gene-9.25-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-9.25&CDS=1-1005, -snap-gene-7.44-mRNA-1_1&gene=maker-gi|1002316352|dbj|BCGN01000001.1|-snap-gene-7.44&CDS=1-1998
