	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034635_Nadsonia_fulvescens
0	OG0000000	Q0105, Q0115, Q0120	augustus_masked-flattened_line_365-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_365-processed-gene-0.0&CDS=1-306, augustus_masked-flattened_line_367-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_367-processed-gene-0.1&CDS=1-306, augustus_masked-flattened_line_371-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_371-processed-gene-0.0&CDS=1-243, augustus_masked-flattened_line_375-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_375-processed-gene-0.0&CDS=1-306, augustus_masked-flattened_line_385-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_385-processed-gene-0.0&CDS=1-267, augustus_masked-flattened_line_393-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_393-processed-gene-0.1&CDS=1-300, augustus_masked-flattened_line_9149-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_9149-processed-gene-0.1&CDS=1-261, genemark-flattened_line_10405-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_10405-processed-gene-0.1&CDS=1-303, genemark-flattened_line_2265-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_2265-processed-gene-0.1&CDS=1-294, genemark-flattened_line_2297-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_2297-processed-gene-0.0&CDS=1-294, genemark-flattened_line_2373-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_2373-processed-gene-0.0&CDS=1-300, genemark-flattened_line_2389-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_2389-processed-gene-0.0&CDS=1-294, genemark-flattened_line_2391-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_2391-processed-gene-0.1&CDS=1-294, genemark-flattened_line_8821-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_8821-processed-gene-0.1&CDS=1-294, genemark-flattened_line_9535-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_9535-processed-gene-0.0&CDS=1-294, snap_masked-flattened_line_10353-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_10353-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_10403-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_10403-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_10421-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_10421-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_2205-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2205-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_2219-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_2219-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_2221-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2221-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_2315-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_2315-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_2357-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_2357-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_2359-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2359-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_2411-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2411-processed-gene-0.0&CDS=1-243, snap_masked-flattened_line_2431-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2431-processed-gene-0.0&CDS=1-243
1	OG0000001	Q0045, Q0065, Q0070	augustus_masked-flattened_line_10523-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_10523-processed-gene-0.1&CDS=1-255, augustus_masked-flattened_line_1887-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1887-processed-gene-0.2&CDS=1-225, augustus_masked-flattened_line_6497-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_6497-processed-gene-0.1&CDS=1-234, augustus_masked-flattened_line_6509-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_6509-processed-gene-0.1&CDS=1-258, augustus_masked-flattened_line_6955-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_6955-processed-gene-0.2&CDS=1-228, genemark-flattened_line_10053-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_10053-processed-gene-0.0&CDS=1-258, genemark-flattened_line_6597-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_6597-processed-gene-0.0&CDS=1-237, maker-flattened_line_1717-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_1717-snap-gene-0.0&CDS=1-306, maker-flattened_line_1767-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_1767-snap-gene-0.3&CDS=1-306, maker-flattened_line_1811-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_1811-snap-gene-0.2&CDS=1-306, maker-flattened_line_1813-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_1813-snap-gene-0.0&CDS=1-171, maker-flattened_line_1859-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_1859-snap-gene-0.1&CDS=1-306, maker-flattened_line_1885-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_1885-snap-gene-0.3&CDS=1-306, maker-flattened_line_6473-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_6473-snap-gene-0.2&CDS=1-306, maker-flattened_line_6825-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_6825-snap-gene-0.0&CDS=1-306, maker-flattened_line_6837-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_6837-augustus-gene-0.2&CDS=1-261, maker-flattened_line_6949-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_6949-snap-gene-0.0&CDS=1-171, maker-flattened_line_7055-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_7055-snap-gene-0.0&CDS=1-171, maker-flattened_line_8633-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_8633-snap-gene-0.1&CDS=1-306, snap_masked-flattened_line_1857-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_1857-processed-gene-0.2&CDS=1-336, snap_masked-flattened_line_1965-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1965-processed-gene-0.0&CDS=1-174, snap_masked-flattened_line_6619-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6619-processed-gene-0.0&CDS=1-174, snap_masked-flattened_line_6727-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6727-processed-gene-0.0&CDS=1-174, snap_masked-flattened_line_6957-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_6957-processed-gene-0.1&CDS=1-174, snap_masked-flattened_line_7051-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7051-processed-gene-0.0&CDS=1-174
2	OG0000002	Q0130	snap_masked-flattened_line_10271-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_10271-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_10329-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_10329-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_10569-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_10569-processed-gene-0.1&CDS=1-228, snap_masked-flattened_line_1835-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1835-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_1943-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1943-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_2005-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2005-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_6429-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6429-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_6433-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6433-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_6681-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_6681-processed-gene-0.1&CDS=1-228, snap_masked-flattened_line_6789-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6789-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_6913-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6913-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_6919-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_6919-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_7011-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7011-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_7101-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7101-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_7109-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7109-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_7111-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_7111-processed-gene-0.2&CDS=1-228, snap_masked-flattened_line_7225-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_7225-processed-gene-0.1&CDS=1-228, snap_masked-flattened_line_7233-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7233-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_7319-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_7319-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_8577-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8577-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_8615-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8615-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_8673-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8673-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_8799-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8799-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_8849-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8849-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_9137-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_9137-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_9365-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_9365-processed-gene-0.0&CDS=1-228
3	OG0000003	Q0250	augustus_masked-flattened_line_10469-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_10469-processed-gene-0.2&CDS=1-276, augustus_masked-flattened_line_1095-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1095-processed-gene-0.2&CDS=1-261, augustus_masked-flattened_line_1155-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1155-processed-gene-0.2&CDS=1-264, augustus_masked-flattened_line_3639-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_3639-processed-gene-0.0&CDS=1-303, augustus_masked-flattened_line_3741-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_3741-processed-gene-0.2&CDS=1-300, augustus_masked-flattened_line_3887-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_3887-processed-gene-0.0&CDS=1-333, augustus_masked-flattened_line_4009-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4009-processed-gene-0.1&CDS=1-303, augustus_masked-flattened_line_4171-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_4171-processed-gene-0.0&CDS=1-309, augustus_masked-flattened_line_4177-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4177-processed-gene-0.1&CDS=1-297, augustus_masked-flattened_line_4179-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4179-processed-gene-0.1&CDS=1-282, augustus_masked-flattened_line_4189-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_4189-processed-gene-0.0&CDS=1-360, augustus_masked-flattened_line_4373-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4373-processed-gene-0.1&CDS=1-324, augustus_masked-flattened_line_4383-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4383-processed-gene-0.1&CDS=1-345, augustus_masked-flattened_line_4549-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_4549-processed-gene-0.2&CDS=1-261, augustus_masked-flattened_line_4563-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4563-processed-gene-0.1&CDS=1-285, augustus_masked-flattened_line_4773-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_4773-processed-gene-0.0&CDS=1-339, augustus_masked-flattened_line_5207-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_5207-processed-gene-0.2&CDS=1-342, augustus_masked-flattened_line_8087-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_8087-processed-gene-0.1&CDS=1-315, augustus_masked-flattened_line_9093-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_9093-processed-gene-0.1&CDS=1-285, genemark-flattened_line_4011-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_4011-processed-gene-0.1&CDS=1-348, genemark-flattened_line_4565-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_4565-processed-gene-0.2&CDS=1-345, maker-flattened_line_1097-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_1097-snap-gene-0.1&CDS=1-303, maker-flattened_line_4193-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_4193-snap-gene-0.2&CDS=1-303, maker-flattened_line_4387-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_4387-snap-gene-0.1&CDS=1-303, maker-flattened_line_4993-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_4993-snap-gene-0.1&CDS=1-303
4	OG0000004	Q0275	augustus_masked-flattened_line_10285-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_10285-processed-gene-0.0&CDS=1-201, augustus_masked-flattened_line_1039-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1039-processed-gene-0.1&CDS=1-174, augustus_masked-flattened_line_11463-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_11463-processed-gene-0.1&CDS=1-153, augustus_masked-flattened_line_12077-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_12077-processed-gene-0.0&CDS=1-126, augustus_masked-flattened_line_12261-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_12261-processed-gene-0.0&CDS=1-165, augustus_masked-flattened_line_16919-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_16919-processed-gene-0.0&CDS=1-132, augustus_masked-flattened_line_19027-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_19027-processed-gene-0.0&CDS=1-129, augustus_masked-flattened_line_22147-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_22147-processed-gene-0.1&CDS=1-123, augustus_masked-flattened_line_25581-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_25581-processed-gene-0.0&CDS=1-126, augustus_masked-flattened_line_3899-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_3899-processed-gene-0.0&CDS=1-153, augustus_masked-flattened_line_3903-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_3903-processed-gene-0.1&CDS=1-174, augustus_masked-flattened_line_4029-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4029-processed-gene-0.1&CDS=1-174, augustus_masked-flattened_line_4393-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4393-processed-gene-0.1&CDS=1-195, augustus_masked-flattened_line_4395-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4395-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_4403-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4403-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_4405-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_4405-processed-gene-0.0&CDS=1-189, augustus_masked-flattened_line_4589-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4589-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_4595-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4595-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_4603-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4603-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_5009-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_5009-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_787-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_787-processed-gene-0.1&CDS=1-189, augustus_masked-flattened_line_8115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_8115-processed-gene-0.1&CDS=1-192, augustus_masked-flattened_line_9303-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_9303-processed-gene-0.0&CDS=1-174, augustus_masked-flattened_line_9533-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_9533-processed-gene-0.1&CDS=1-192, maker-flattened_line_1037-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_1037-snap-gene-0.3&CDS=1-261
5	OG0000005	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_162-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_162-snap-gene-0.22&CDS=1-405, maker-flattened_line_162-snap-gene-0.24-mRNA-1_1&gene=maker-flattened_line_162-snap-gene-0.24&CDS=1-195, maker-flattened_line_162-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_162-snap-gene-0.25&CDS=1-267, maker-flattened_line_18-snap-gene-1.12-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.12&CDS=1-294, maker-flattened_line_185-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_185-snap-gene-0.0&CDS=1-603, maker-flattened_line_22-snap-gene-1.83-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.83&CDS=1-210, maker-flattened_line_32-snap-gene-1.127-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-1.127&CDS=1-210, maker-flattened_line_4-snap-gene-3.112-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.112&CDS=1-204, maker-flattened_line_52-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.72&CDS=1-246, maker-flattened_line_64-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.8&CDS=1-192, maker-flattened_line_72-snap-gene-0.60-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.60&CDS=1-204, maker-flattened_line_72-snap-gene-0.61-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.61&CDS=1-213, maker-flattened_line_78-snap-gene-0.64-mRNA-1_1&gene=maker-flattened_line_78-snap-gene-0.64&CDS=1-366, maker-flattened_line_78-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_78-snap-gene-0.65&CDS=1-288, maker-flattened_line_94-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_94-snap-gene-0.0&CDS=1-213, snap_masked-flattened_line_130-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.10&CDS=1-270, snap_masked-flattened_line_82-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.119&CDS=1-270, snap_masked-flattened_line_88-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.134&CDS=1-240
6	OG0000006	YDL138W, YDL194W, YDR536W, YFL040W	augustus_masked-flattened_line_0-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.25&CDS=1-1476, augustus_masked-flattened_line_0-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.31&CDS=1-1545, augustus_masked-flattened_line_122-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.8&CDS=1-1578, augustus_masked-flattened_line_18-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.44&CDS=1-1551, augustus_masked-flattened_line_28-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.178&CDS=1-1467, augustus_masked-flattened_line_90-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.178&CDS=1-1548, maker-flattened_line_20-snap-gene-1.87-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-1.87&CDS=1-2040
7	OG0000007	YBR199W, YJL139C, YKR061W, YOR099W	augustus_masked-flattened_line_128-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.48&CDS=1-1221, augustus_masked-flattened_line_14-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.114&CDS=1-1377, augustus_masked-flattened_line_22-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.109&CDS=1-1230, augustus_masked-flattened_line_78-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.2&CDS=1-1578, augustus_masked-flattened_line_80-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.19&CDS=1-1218, snap_masked-flattened_line_96-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.31&CDS=1-1212
8	OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_0-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.8&CDS=1-1716, augustus_masked-flattened_line_152-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.27&CDS=1-1725, genemark-flattened_line_28-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.73&CDS=1-987
9	OG0000009	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_0-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.5&CDS=1-2106, augustus_masked-flattened_line_0-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.6&CDS=1-2052, augustus_masked-flattened_line_112-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.6&CDS=1-2205, augustus_masked-flattened_line_66-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.203&CDS=1-2151, augustus_masked-flattened_line_90-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.156&CDS=1-2184
