	OrthologID	Saccharomyces_cerevisiae	Wickerhamiella_domercqiae
0	OG0000000	YDR135C, YGR281W, YLL048C, YOR187W	-processed-gene-10.115-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-10.115&CDS=1-5916, -processed-gene-10.17-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.17&CDS=1-4506, -processed-gene-18.10-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-18.10&CDS=1-3825, -processed-gene-19.126-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.126&CDS=1-4104, -processed-gene-29.91-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.91&CDS=1-6318, -processed-gene-5.105-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.105&CDS=1-4863, -processed-gene-5.119-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.119&CDS=1-4869, -processed-gene-7.31-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.31&CDS=1-7983
1	OG0000001	YGL120C, YKL078W, YKR086W, YLR419W, YNR011C	-augustus-gene-17.62-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-17.62&CDS=1-3252, -augustus-gene-19.4-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-19.4&CDS=1-3591, -processed-gene-1.113-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-1.113&CDS=1-2118, -processed-gene-11.78-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-11.78&CDS=1-2361, -processed-gene-11.82-mRNA-1_1&gene=genemark-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-11.82&CDS=1-9312, -processed-gene-22.44-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.44&CDS=1-6366
2	OG0000002	YFL016C, YMR169C, YMR170C, YOR374W	-augustus-gene-1.101-mRNA-1_1&gene=maker-gi|1002316078|dbj|BCGM01000004.1|-augustus-gene-1.101&CDS=1-2763, -augustus-gene-31.46-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-31.46&CDS=1-2949, -processed-gene-10.129-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-10.129&CDS=1-1527, -processed-gene-15.29-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-15.29&CDS=1-2466, -processed-gene-21.58-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.58&CDS=1-1563, -processed-gene-6.4-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-6.4&CDS=1-1482
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-0.28&CDS=1-1527, -processed-gene-7.132-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-7.132&CDS=1-3432, -processed-gene-8.85-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-8.85&CDS=1-1521
4	OG0000004	YBR248C, YDR035W, YLR120C, YLR121C	-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-1.48&CDS=1-1617, -processed-gene-10.39-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.39&CDS=1-5268, -processed-gene-16.82-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.82&CDS=1-1110, -processed-gene-5.44-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.44&CDS=1-1416
5	OG0000005	YGL203C, YMR152W, YMR297W	-augustus-gene-15.209-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-15.209&CDS=1-1392, -processed-gene-22.31-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.31&CDS=1-1695, -processed-gene-26.77-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-26.77&CDS=1-1017, -processed-gene-31.7-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-31.7&CDS=1-2742, -processed-gene-5.40-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-5.40&CDS=1-2658
6	OG0000006	YAR019C, YJL095W, YLR362W	-processed-gene-13.54-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.54&CDS=1-1947, -processed-gene-22.43-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.43&CDS=1-1566, -processed-gene-34.89-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-34.89&CDS=1-3459, -snap-gene-9.92-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-snap-gene-9.92&CDS=1-2643
7	OG0000007	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-0.3&CDS=1-1857
8	OG0000008	YER175C, YHR209W, YOR075W	-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-0.26&CDS=1-777, -processed-gene-11.76-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-11.76&CDS=1-2316, -processed-gene-27.76-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.76&CDS=1-4083, -processed-gene-8.75-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-8.75&CDS=1-1275
9	OG0000009	YJL069C, YLR214W	-processed-gene-16.109-mRNA-1_1&gene=genemark-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-16.109&CDS=1-2025, -processed-gene-19.144-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.144&CDS=1-4866, -processed-gene-20.146-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-20.146&CDS=1-2055, -processed-gene-9.48-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-9.48&CDS=1-2178, -snap-gene-19.113-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-snap-gene-19.113&CDS=1-2097
10	OG0000010	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
11	OG0000011	YCR098C, YML123C	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-0.2&CDS=1-1548, -processed-gene-19.72-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.72&CDS=1-1515, -processed-gene-2.103-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-2.103&CDS=1-1629, -processed-gene-32.62-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-32.62&CDS=1-2076
12	OG0000012	YDR242W, YOR049C	-processed-gene-18.73-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.73&CDS=1-1653, -processed-gene-25.26-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-25.26&CDS=1-3012, -processed-gene-26.87-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-26.87&CDS=1-1581, -processed-gene-30.64-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-30.64&CDS=1-1614
13	OG0000013	YER150W	-processed-gene-13.161-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-13.161&CDS=1-1293, -processed-gene-16.85-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-16.85&CDS=1-1287, -processed-gene-3.64-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-3.64&CDS=1-945, -processed-gene-36.107-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-36.107&CDS=1-291, -processed-gene-5.44-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.44&CDS=1-1317
14	OG0000014	YGL077C	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-0.17&CDS=1-1617, -processed-gene-10.110-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-10.110&CDS=1-1737, -processed-gene-19.59-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.59&CDS=1-1677, -processed-gene-2.7-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-2.7&CDS=1-1632, -processed-gene-20.28-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-20.28&CDS=1-1608
15	OG0000015	YGR097W, YIL105C, YNL047C, YPR115W	-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-4.12&CDS=1-3201, -processed-gene-6.22-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-6.22&CDS=1-1557
16	OG0000016	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	-augustus-gene-18.0-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-18.0&CDS=1-1881
17	OG0000017	YJR152W	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-0.19&CDS=1-1545, -processed-gene-17.103-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-17.103&CDS=1-1578, -processed-gene-2.40-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-2.40&CDS=1-1584, -processed-gene-30.85-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-30.85&CDS=1-1578, -processed-gene-4.3-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-4.3&CDS=1-1521
18	OG0000018	YLR412W, YNL106C, YOR109W	-processed-gene-13.6-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.6&CDS=1-3123, -processed-gene-15.19-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-15.19&CDS=1-2157, -processed-gene-33.101-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.101&CDS=1-1479
19	OG0000019	YNL054W, YNL239W	-augustus-gene-18.47-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-18.47&CDS=1-2691, -processed-gene-14.9-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-14.9&CDS=1-3585, -processed-gene-18.53-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.53&CDS=1-810, -processed-gene-19.122-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.122&CDS=1-801
20	OG0000020	YPR194C	-augustus-gene-12.2-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-12.2&CDS=1-7971, -processed-gene-1.3-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-1.3&CDS=1-2619, -processed-gene-12.34-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-12.34&CDS=1-2682, -processed-gene-13.3-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-13.3&CDS=1-2604, -processed-gene-5.24-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.24&CDS=1-2073
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-17.39-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-17.39&CDS=1-2388
