	OrthologID	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-haw-_s613-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s613-processed-gene-0.0&CDS=1-1737, augustus_masked-haw-_s613-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s613-processed-gene-0.7&CDS=1-2157, genemark-haw-_s195-processed-gene-0.108-mRNA-1_1&gene=genemark-haw-_s195-processed-gene-0.108&CDS=1-1299, genemark-haw-_s4-processed-gene-1.210-mRNA-1_1&gene=genemark-haw-_s4-processed-gene-1.210&CDS=1-2316, genemark-haw-_s444-processed-gene-0.10-mRNA-1_1&gene=genemark-haw-_s444-processed-gene-0.10&CDS=1-4302, genemark-haw-_s528-processed-gene-0.2-mRNA-1_1&gene=genemark-haw-_s528-processed-gene-0.2&CDS=1-348, genemark-haw-_s587-processed-gene-0.1-mRNA-1_1&gene=genemark-haw-_s587-processed-gene-0.1&CDS=1-1284, snap_masked-haw-_s113-processed-gene-2.139-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-2.139&CDS=1-993, snap_masked-haw-_s126-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s126-processed-gene-0.46&CDS=1-759, snap_masked-haw-_s151-processed-gene-1.122-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.122&CDS=1-510, snap_masked-haw-_s426-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.14&CDS=1-1092, snap_masked-haw-_s426-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.15&CDS=1-4341, snap_masked-haw-_s713-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s713-processed-gene-0.21&CDS=1-810	
1	OG0000001	augustus_masked-haw-_C46030-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C46030-processed-gene-0.0&CDS=1-420, augustus_masked-haw-_C51482-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C51482-processed-gene-0.0&CDS=1-345, augustus_masked-haw-_s23-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-haw-_s23-processed-gene-0.20&CDS=1-234, augustus_masked-haw-_s374-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-haw-_s374-processed-gene-0.29&CDS=1-864, augustus_masked-haw-_s558-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-haw-_s558-processed-gene-0.19&CDS=1-909, genemark-haw-_s26-processed-gene-0.15-mRNA-1_1&gene=genemark-haw-_s26-processed-gene-0.15&CDS=1-381, snap_masked-haw-_s145-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s145-processed-gene-0.27&CDS=1-1170, snap_masked-haw-_s244-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s244-processed-gene-0.7&CDS=1-876, snap_masked-haw-_s329-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-0.56&CDS=1-984, snap_masked-haw-_s81-processed-gene-0.77-mRNA-1_1&gene=snap_masked-haw-_s81-processed-gene-0.77&CDS=1-885, snap_masked-haw-_s90-processed-gene-0.84-mRNA-1_1&gene=snap_masked-haw-_s90-processed-gene-0.84&CDS=1-873	YKL096W
2	OG0000002	genemark-haw-_s148-processed-gene-0.4-mRNA-1_1&gene=genemark-haw-_s148-processed-gene-0.4&CDS=1-840, genemark-haw-_s329-processed-gene-2.38-mRNA-1_1&gene=genemark-haw-_s329-processed-gene-2.38&CDS=1-7329, genemark-haw-_s61-processed-gene-0.3-mRNA-1_1&gene=genemark-haw-_s61-processed-gene-0.3&CDS=1-1662, snap_masked-haw-_s199-processed-gene-0.92-mRNA-1_1&gene=snap_masked-haw-_s199-processed-gene-0.92&CDS=1-1713, snap_masked-haw-_s31-processed-gene-1.47-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.47&CDS=1-1752, snap_masked-haw-_s31-processed-gene-1.67-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.67&CDS=1-1728, snap_masked-haw-_s362-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s362-processed-gene-0.16&CDS=1-1653, snap_masked-haw-_s4-processed-gene-1.160-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.160&CDS=1-1812	YKR039W, YLL061W, YPL274W
3	OG0000003	augustus_masked-haw-_s178-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-haw-_s178-processed-gene-0.42&CDS=1-3228, maker-haw-_s284-snap-gene-0.60-mRNA-1_1&gene=maker-haw-_s284-snap-gene-0.60&CDS=1-3222, snap_masked-haw-_s161-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.15&CDS=1-2457, snap_masked-haw-_s165-processed-gene-3.149-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.149&CDS=1-2649, snap_masked-haw-_s178-processed-gene-0.121-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.121&CDS=1-3531, snap_masked-haw-_s178-processed-gene-0.124-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.124&CDS=1-3165, snap_masked-haw-_s4-processed-gene-1.132-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.132&CDS=1-2475, snap_masked-haw-_s411-processed-gene-0.89-mRNA-1_1&gene=snap_masked-haw-_s411-processed-gene-0.89&CDS=1-2931	YLR256W, YMR168C
4	OG0000004	augustus_masked-haw-_s182-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-haw-_s182-processed-gene-0.35&CDS=1-1173, augustus_masked-haw-_s317-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s317-processed-gene-0.2&CDS=1-564, augustus_masked-haw-_s460-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s460-processed-gene-0.13&CDS=1-1005, snap_masked-haw-_C44770-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_C44770-processed-gene-0.1&CDS=1-228, snap_masked-haw-_s151-processed-gene-1.87-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.87&CDS=1-1461, snap_masked-haw-_s160-processed-gene-3.46-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.46&CDS=1-3537	YGL066W, YGL133W, YPL216W
5	OG0000005	augustus_masked-haw-_s298-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-haw-_s298-processed-gene-1.32&CDS=1-1764, genemark-haw-_s113-processed-gene-1.82-mRNA-1_1&gene=genemark-haw-_s113-processed-gene-1.82&CDS=1-1812, snap_masked-haw-_s110-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s110-processed-gene-0.8&CDS=1-1722, snap_masked-haw-_s165-processed-gene-3.140-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.140&CDS=1-1749	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
6	OG0000006	augustus_masked-haw-_s113-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-haw-_s113-processed-gene-2.14&CDS=1-2229, genemark-haw-_s463-processed-gene-1.70-mRNA-1_1&gene=genemark-haw-_s463-processed-gene-1.70&CDS=1-2115, snap_masked-haw-_s160-processed-gene-3.69-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.69&CDS=1-2253, snap_masked-haw-_s195-processed-gene-1.119-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.119&CDS=1-1773, snap_masked-haw-_s90-processed-gene-0.94-mRNA-1_1&gene=snap_masked-haw-_s90-processed-gene-0.94&CDS=1-2259, snap_masked-haw-_s93-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s93-processed-gene-0.39&CDS=1-2715	YGR057C, YJR061W, YKL201C
7	OG0000007	maker-haw-_s161-snap-gene-0.113-mRNA-1_1&gene=maker-haw-_s161-snap-gene-0.113&CDS=1-2379, snap_masked-haw-_s209-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.17&CDS=1-2142, snap_masked-haw-_s426-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.16&CDS=1-2148, snap_masked-haw-_s463-processed-gene-1.150-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.150&CDS=1-2184	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
8	OG0000008	augustus_masked-haw-_C44638-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C44638-processed-gene-0.2&CDS=1-309, augustus_masked-haw-_s575-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-haw-_s575-processed-gene-0.3&CDS=1-828, snap_masked-haw-_s329-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-0.64&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
9	OG0000009	snap_masked-haw-_s113-processed-gene-2.89-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-2.89&CDS=1-3288, snap_masked-haw-_s161-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.48&CDS=1-2277, snap_masked-haw-_s31-processed-gene-2.8-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.8&CDS=1-2418, snap_masked-haw-_s313-processed-gene-0.78-mRNA-1_1&gene=snap_masked-haw-_s313-processed-gene-0.78&CDS=1-3372	YER013W, YGL120C, YKR086W, YNR011C
