	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035274_Wickerhamomyces_alni
0	OG0000000	YFL023W, YLR256W	augustus_masked-NODE_58_length_44259_cov_12.5131_ID_8359-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_58_length_44259_cov_12.5131_ID_8359-processed-gene-0.43&CDS=1-2055, augustus_masked-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.2&CDS=1-2304, augustus_masked-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-0.115&CDS=1-5001, genemark-NODE_29_length_134270_cov_11.4931_ID_6149-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_29_length_134270_cov_11.4931_ID_6149-processed-gene-0.86&CDS=1-1599, genemark-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.29&CDS=1-2571, genemark-NODE_86_length_10357_cov_12.9419_ID_9289-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_86_length_10357_cov_12.9419_ID_9289-processed-gene-0.17&CDS=1-2751, maker-NODE_16_length_205259_cov_12.8162_ID_5189-snap-gene-1.66-mRNA-1_1&gene=maker-NODE_16_length_205259_cov_12.8162_ID_5189-snap-gene-1.66&CDS=1-5457, snap_masked-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-0.89&CDS=1-3015, snap_masked-NODE_27_length_140818_cov_11.2745_ID_5826-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_27_length_140818_cov_11.2745_ID_5826-processed-gene-0.58&CDS=1-2505
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_17_length_184246_cov_13.1104_ID_6460-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_17_length_184246_cov_13.1104_ID_6460-processed-gene-0.150&CDS=1-1869, genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.102-mRNA-1_1&gene=genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.102&CDS=1-1752, genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.67-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.67&CDS=1-1803, genemark-NODE_50_length_67577_cov_10.972_ID_19802-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_50_length_67577_cov_10.972_ID_19802-processed-gene-0.19&CDS=1-1746, genemark-NODE_53_length_56955_cov_11.5968_ID_7388-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_53_length_56955_cov_11.5968_ID_7388-processed-gene-0.6&CDS=1-1734, genemark-NODE_81_length_13607_cov_11.2621_ID_9063-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_81_length_13607_cov_11.2621_ID_9063-processed-gene-0.9&CDS=1-1734
2	OG0000002	YKR064W	genemark-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-1.78&CDS=1-3102, genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-8.81-mRNA-1_1&gene=genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-8.81&CDS=1-2457, genemark-NODE_35_length_109357_cov_11.5325_ID_7024-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_35_length_109357_cov_11.5325_ID_7024-processed-gene-0.94&CDS=1-2571, genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.54&CDS=1-2586, genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-1.9&CDS=1-2745, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.10&CDS=1-2661, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.28&CDS=1-2586, snap_masked-NODE_32_length_117012_cov_14.2211_ID_18420-processed-gene-0.178-mRNA-1_1&gene=snap_masked-NODE_32_length_117012_cov_14.2211_ID_18420-processed-gene-0.178&CDS=1-2442, snap_masked-NODE_54_length_56774_cov_11.4536_ID_7374-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_54_length_56774_cov_11.4536_ID_7374-processed-gene-0.67&CDS=1-2325
3	OG0000003	YGR281W	augustus_masked-NODE_32_length_117012_cov_14.2211_ID_18420-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_32_length_117012_cov_14.2211_ID_18420-processed-gene-0.59&CDS=1-4026, augustus_masked-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-0.7&CDS=1-4773, genemark-NODE_10_length_274997_cov_10.7885_ID_5235-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_10_length_274997_cov_10.7885_ID_5235-processed-gene-1.136&CDS=1-3906, genemark-NODE_13_length_217331_cov_11.2721_ID_5089-processed-gene-1.66-mRNA-1_1&gene=genemark-NODE_13_length_217331_cov_11.2721_ID_5089-processed-gene-1.66&CDS=1-4128, genemark-NODE_45_length_75470_cov_12.1368_ID_6889-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_45_length_75470_cov_12.1368_ID_6889-processed-gene-0.62&CDS=1-3924, genemark-NODE_7_length_364968_cov_11.2443_ID_4962-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_7_length_364968_cov_11.2443_ID_4962-processed-gene-1.26&CDS=1-3990, snap_masked-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.121-mRNA-1_1&gene=snap_masked-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.121&CDS=1-4014, snap_masked-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.122&CDS=1-3864
4	OG0000004	YAR019C, YDR523C, YHR102W	genemark-NODE_18_length_180217_cov_13.295_ID_5353-processed-gene-0.206-mRNA-1_1&gene=genemark-NODE_18_length_180217_cov_13.295_ID_5353-processed-gene-0.206&CDS=1-1371, genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-5.25-mRNA-1_1&gene=genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-5.25&CDS=1-2502, genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-0.125&CDS=1-1005, genemark-NODE_40_length_95558_cov_12.1275_ID_16063-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_40_length_95558_cov_12.1275_ID_16063-processed-gene-0.86&CDS=1-3069, maker-NODE_12_length_247088_cov_12.6365_ID_9252-augustus-gene-1.285-mRNA-1_1&gene=maker-NODE_12_length_247088_cov_12.6365_ID_9252-augustus-gene-1.285&CDS=1-4113
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-0.70&CDS=1-1383, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.87-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.87&CDS=1-1359, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.88-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.88&CDS=1-1344
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.78-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.78&CDS=1-1710
7	OG0000007	YDR254W, YHL028W, YNL283C, YOL105C	genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.62&CDS=1-1254, genemark-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-0.58&CDS=1-1221, genemark-NODE_9_length_289240_cov_11.2825_ID_8777-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_9_length_289240_cov_11.2825_ID_8777-processed-gene-0.103&CDS=1-1455, maker-NODE_30_length_126156_cov_10.7807_ID_6269-snap-gene-0.135-mRNA-1_1&gene=maker-NODE_30_length_126156_cov_10.7807_ID_6269-snap-gene-0.135&CDS=1-2553
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_10_length_274997_cov_10.7885_ID_5235-processed-gene-1.139-mRNA-1_1&gene=genemark-NODE_10_length_274997_cov_10.7885_ID_5235-processed-gene-1.139&CDS=1-1053, genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.87-mRNA-1_1&gene=genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.87&CDS=1-1029, genemark-NODE_57_length_46308_cov_10.9304_ID_7921-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_57_length_46308_cov_10.9304_ID_7921-processed-gene-0.14&CDS=1-1050, genemark-NODE_62_length_42014_cov_11.4031_ID_7606-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_62_length_42014_cov_11.4031_ID_7606-processed-gene-0.32&CDS=1-1050
9	OG0000009	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.10&CDS=1-3795, genemark-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_16_length_205259_cov_12.8162_ID_5189-processed-gene-0.33&CDS=1-2505, genemark-NODE_17_length_184246_cov_13.1104_ID_6460-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_17_length_184246_cov_13.1104_ID_6460-processed-gene-0.144&CDS=1-2175, genemark-NODE_22_length_169033_cov_11.1949_ID_6056-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_22_length_169033_cov_11.1949_ID_6056-processed-gene-0.48&CDS=1-2751
