	OrthologID	Saccharomyces_cerevisiae	Spathaspora_girioi
0	OG0000000	YDR131C, YJL149W	augustus_masked-LQMS01001241.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001241.1-processed-gene-0.2&CDS=1-387, augustus_masked-LQMS01001880.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMS01001880.1-processed-gene-0.4&CDS=1-387, augustus_masked-LQMS01002225.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LQMS01002225.1-processed-gene-0.26&CDS=1-774, genemark-LQMS01002084.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQMS01002084.1-processed-gene-0.0&CDS=1-597, genemark-LQMS01002218.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQMS01002218.1-processed-gene-0.6&CDS=1-1296, genemark-LQMS01002262.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQMS01002262.1-processed-gene-0.11&CDS=1-792, genemark-LQMS01002271.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LQMS01002271.1-processed-gene-0.48&CDS=1-1320, genemark-LQMS01002306.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LQMS01002306.1-processed-gene-0.52&CDS=1-969, genemark-LQMS01002311.1-processed-gene-0.66-mRNA-1_1&gene=genemark-LQMS01002311.1-processed-gene-0.66&CDS=1-756, genemark-LQMS01002318.1-processed-gene-0.102-mRNA-1_1&gene=genemark-LQMS01002318.1-processed-gene-0.102&CDS=1-933, genemark-LQMS01002324.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQMS01002324.1-processed-gene-0.23&CDS=1-843, genemark-LQMS01002354.1-processed-gene-0.51-mRNA-1_1&gene=genemark-LQMS01002354.1-processed-gene-0.51&CDS=1-1398, genemark-LQMS01002355.1-processed-gene-0.95-mRNA-1_1&gene=genemark-LQMS01002355.1-processed-gene-0.95&CDS=1-1356, genemark-LQMS01002369.1-processed-gene-0.107-mRNA-1_1&gene=genemark-LQMS01002369.1-processed-gene-0.107&CDS=1-1119, genemark-LQMS01002375.1-processed-gene-0.94-mRNA-1_1&gene=genemark-LQMS01002375.1-processed-gene-0.94&CDS=1-1182, maker-LQMS01002037.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01002037.1-snap-gene-0.0&CDS=1-852, maker-LQMS01002218.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMS01002218.1-augustus-gene-0.0&CDS=1-1452, maker-LQMS01002367.1-snap-gene-0.199-mRNA-1_1&gene=maker-LQMS01002367.1-snap-gene-0.199&CDS=1-1323, snap_masked-LQMS01001597.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001597.1-processed-gene-0.1&CDS=1-585, snap_masked-LQMS01001949.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01001949.1-processed-gene-0.0&CDS=1-855, snap_masked-LQMS01002212.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LQMS01002212.1-processed-gene-0.9&CDS=1-1179, snap_masked-LQMS01002271.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LQMS01002271.1-processed-gene-0.17&CDS=1-717, snap_masked-LQMS01002342.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LQMS01002342.1-processed-gene-0.48&CDS=1-846, snap_masked-LQMS01002375.1-processed-gene-0.218-mRNA-1_1&gene=snap_masked-LQMS01002375.1-processed-gene-0.218&CDS=1-969
1	OG0000001	YJR004C	augustus_masked-LQMS01000820.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01000820.1-processed-gene-0.2&CDS=1-339, augustus_masked-LQMS01002057.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01002057.1-processed-gene-0.0&CDS=1-1674, augustus_masked-LQMS01002113.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMS01002113.1-processed-gene-0.1&CDS=1-1371, augustus_masked-LQMS01002215.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQMS01002215.1-processed-gene-0.21&CDS=1-1380, augustus_masked-LQMS01002347.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LQMS01002347.1-processed-gene-0.20&CDS=1-1500, augustus_masked-LQMS01002374.1-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-LQMS01002374.1-processed-gene-0.230&CDS=1-1869, genemark-LQMS01002069.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMS01002069.1-processed-gene-0.4&CDS=1-1896, genemark-LQMS01002070.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMS01002070.1-processed-gene-0.1&CDS=1-1401, genemark-LQMS01002133.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQMS01002133.1-processed-gene-0.9&CDS=1-1698, genemark-LQMS01002362.1-processed-gene-0.74-mRNA-1_1&gene=genemark-LQMS01002362.1-processed-gene-0.74&CDS=1-3642, genemark-LQMS01002367.1-processed-gene-0.108-mRNA-1_1&gene=genemark-LQMS01002367.1-processed-gene-0.108&CDS=1-2235, genemark-LQMS01002374.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQMS01002374.1-processed-gene-0.22&CDS=1-2820, genemark-LQMS01002380.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-0.31&CDS=1-2247, genemark-LQMS01002380.1-processed-gene-2.64-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-2.64&CDS=1-2688, maker-LQMS01002265.1-snap-gene-0.53-mRNA-1_1&gene=maker-LQMS01002265.1-snap-gene-0.53&CDS=1-6900, maker-LQMS01002367.1-snap-gene-0.200-mRNA-1_1&gene=maker-LQMS01002367.1-snap-gene-0.200&CDS=1-6603, snap_masked-LQMS01002325.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LQMS01002325.1-processed-gene-0.38&CDS=1-2139
2	OG0000002	YDR541C, YOL151W	augustus_masked-LQMS01001247.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001247.1-processed-gene-0.2&CDS=1-471, genemark-LQMS01002217.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQMS01002217.1-processed-gene-0.16&CDS=1-1002, genemark-LQMS01002246.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQMS01002246.1-processed-gene-0.26&CDS=1-1011, genemark-LQMS01002249.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQMS01002249.1-processed-gene-0.12&CDS=1-996, genemark-LQMS01002251.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQMS01002251.1-processed-gene-0.18&CDS=1-1005, genemark-LQMS01002294.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002294.1-processed-gene-0.37&CDS=1-1002, genemark-LQMS01002316.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQMS01002316.1-processed-gene-0.38&CDS=1-996, genemark-LQMS01002322.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002322.1-processed-gene-0.37&CDS=1-1005, genemark-LQMS01002342.1-processed-gene-0.104-mRNA-1_1&gene=genemark-LQMS01002342.1-processed-gene-0.104&CDS=1-987, genemark-LQMS01002360.1-processed-gene-0.123-mRNA-1_1&gene=genemark-LQMS01002360.1-processed-gene-0.123&CDS=1-1008, genemark-LQMS01002365.1-processed-gene-0.104-mRNA-1_1&gene=genemark-LQMS01002365.1-processed-gene-0.104&CDS=1-1002, genemark-LQMS01002371.1-processed-gene-0.81-mRNA-1_1&gene=genemark-LQMS01002371.1-processed-gene-0.81&CDS=1-996, genemark-LQMS01002379.1-processed-gene-0.84-mRNA-1_1&gene=genemark-LQMS01002379.1-processed-gene-0.84&CDS=1-996, genemark-LQMS01002380.1-processed-gene-2.104-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-2.104&CDS=1-1005
3	OG0000003	Q0085	maker-LQMS01001120.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001120.1-snap-gene-0.3&CDS=1-198, maker-LQMS01001151.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001151.1-snap-gene-0.0&CDS=1-324, maker-LQMS01001161.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001161.1-snap-gene-0.0&CDS=1-324, maker-LQMS01001180.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001180.1-snap-gene-0.0&CDS=1-327, maker-LQMS01001302.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001302.1-snap-gene-0.0&CDS=1-387, maker-LQMS01001342.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001342.1-snap-gene-0.3&CDS=1-324, maker-LQMS01001439.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001439.1-snap-gene-0.3&CDS=1-453, maker-LQMS01001470.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001470.1-snap-gene-0.0&CDS=1-453, maker-LQMS01001478.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001478.1-snap-gene-0.0&CDS=1-453, maker-LQMS01001495.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001495.1-snap-gene-0.3&CDS=1-453, maker-LQMS01001500.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001500.1-snap-gene-0.0&CDS=1-453, maker-LQMS01001502.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001502.1-snap-gene-0.3&CDS=1-453, maker-LQMS01001575.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01001575.1-snap-gene-0.3&CDS=1-453, snap_masked-LQMS01001178.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001178.1-processed-gene-0.1&CDS=1-279
4	OG0000004	Q0275	augustus_masked-LQMS01000666.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMS01000666.1-processed-gene-0.1&CDS=1-201, augustus_masked-LQMS01000718.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01000718.1-processed-gene-0.0&CDS=1-204, augustus_masked-LQMS01000912.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01000912.1-processed-gene-0.2&CDS=1-360, augustus_masked-LQMS01001006.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01001006.1-processed-gene-0.0&CDS=1-384, genemark-LQMS01001078.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMS01001078.1-processed-gene-0.2&CDS=1-360, snap_masked-LQMS01000958.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01000958.1-processed-gene-0.0&CDS=1-234, snap_masked-LQMS01001076.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001076.1-processed-gene-0.1&CDS=1-327, snap_masked-LQMS01001382.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMS01001382.1-processed-gene-0.2&CDS=1-234, snap_masked-LQMS01001465.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001465.1-processed-gene-0.1&CDS=1-234, snap_masked-LQMS01001507.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQMS01001507.1-processed-gene-0.3&CDS=1-234, snap_masked-LQMS01001511.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQMS01001511.1-processed-gene-0.3&CDS=1-234
5	OG0000005	YGL257C, YNR059W	augustus_masked-LQMS01002018.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01002018.1-processed-gene-0.0&CDS=1-1890, augustus_masked-LQMS01002039.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01002039.1-processed-gene-0.0&CDS=1-2076, augustus_masked-LQMS01002344.1-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-LQMS01002344.1-processed-gene-0.145&CDS=1-6858, genemark-LQMS01002205.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQMS01002205.1-processed-gene-0.14&CDS=1-2223, genemark-LQMS01002319.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQMS01002319.1-processed-gene-0.32&CDS=1-2187, genemark-LQMS01002380.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQMS01002380.1-processed-gene-0.30&CDS=1-2313, maker-LQMS01002322.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQMS01002322.1-snap-gene-0.3&CDS=1-6207, snap_masked-LQMS01002365.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LQMS01002365.1-processed-gene-0.54&CDS=1-2058
6	OG0000006	Q0105, Q0120	augustus_masked-LQMS01000702.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMS01000702.1-processed-gene-0.1&CDS=1-204, maker-LQMS01001490.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQMS01001490.1-snap-gene-0.1&CDS=1-339, maker-LQMS01001538.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001538.1-snap-gene-0.0&CDS=1-387, maker-LQMS01001557.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQMS01001557.1-snap-gene-0.4&CDS=1-387, maker-LQMS01001587.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001587.1-snap-gene-0.0&CDS=1-387, maker-LQMS01001638.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQMS01001638.1-snap-gene-0.4&CDS=1-387, maker-LQMS01001644.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQMS01001644.1-snap-gene-0.4&CDS=1-387, maker-LQMS01001668.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQMS01001668.1-snap-gene-0.4&CDS=1-387
7	OG0000007		augustus_masked-LQMS01002074.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01002074.1-processed-gene-0.0&CDS=1-846, augustus_masked-LQMS01002138.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01002138.1-processed-gene-0.0&CDS=1-4053, augustus_masked-LQMS01002143.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMS01002143.1-processed-gene-0.7&CDS=1-1419, genemark-LQMS01001626.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMS01001626.1-processed-gene-0.1&CDS=1-720, snap_masked-LQMS01001528.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01001528.1-processed-gene-0.0&CDS=1-609, snap_masked-LQMS01001546.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001546.1-processed-gene-0.1&CDS=1-609, snap_masked-LQMS01001592.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01001592.1-processed-gene-0.0&CDS=1-660, snap_masked-LQMS01001715.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01001715.1-processed-gene-0.0&CDS=1-435, snap_masked-LQMS01001765.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01001765.1-processed-gene-0.1&CDS=1-966, snap_masked-LQMS01002006.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMS01002006.1-processed-gene-0.2&CDS=1-1683
8	OG0000008	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W	
9	OG0000009	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-LQMS01002342.1-processed-gene-0.113-mRNA-1_1&gene=genemark-LQMS01002342.1-processed-gene-0.113&CDS=1-1629, snap_masked-LQMS01002358.1-processed-gene-0.165-mRNA-1_1&gene=snap_masked-LQMS01002358.1-processed-gene-0.165&CDS=1-1713
