	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035641_Yamadazyma_scolyti
0	OG0000000		augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-1.95&CDS=1-2589, augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-10.187-mRNA-1_1&gene=augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-10.187&CDS=1-870, augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-4.53&CDS=1-3066, augustus_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.107&CDS=1-2430, augustus_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.18&CDS=1-1020, augustus_masked-NODE_33_length_72579_cov_28.3893_ID_7737-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_33_length_72579_cov_28.3893_ID_7737-processed-gene-0.53&CDS=1-2169, augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.335-mRNA-1_1&gene=augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.335&CDS=1-1707, augustus_masked-NODE_40_length_55667_cov_57.0441_ID_4107-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_40_length_55667_cov_57.0441_ID_4107-processed-gene-0.40&CDS=1-2700, augustus_masked-NODE_53_length_21845_cov_61.8478_ID_9255-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_53_length_21845_cov_61.8478_ID_9255-processed-gene-0.7&CDS=1-2505, augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-3.84&CDS=1-1878, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-0.86&CDS=1-2253, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.72&CDS=1-2010, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.76&CDS=1-2133, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.89&CDS=1-2220, augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.86&CDS=1-2148, genemark-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.108&CDS=1-891, genemark-NODE_42_length_45059_cov_54.9928_ID_4787-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_42_length_45059_cov_54.9928_ID_4787-processed-gene-0.51&CDS=1-2325, maker-NODE_10_length_341731_cov_26.5013_ID_5740-snap-gene-1.8-mRNA-1_1&gene=maker-NODE_10_length_341731_cov_26.5013_ID_5740-snap-gene-1.8&CDS=1-1776, maker-NODE_29_length_87390_cov_28.3536_ID_3068-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_29_length_87390_cov_28.3536_ID_3068-snap-gene-0.110&CDS=1-1452, maker-NODE_45_length_31945_cov_32.2144_ID_7374-augustus-gene-0.15-mRNA-1_1&gene=maker-NODE_45_length_31945_cov_32.2144_ID_7374-augustus-gene-0.15&CDS=1-849, maker-NODE_45_length_31945_cov_32.2144_ID_7374-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_45_length_31945_cov_32.2144_ID_7374-snap-gene-0.0&CDS=1-3282, snap_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.79&CDS=1-3255, snap_masked-NODE_38_length_63465_cov_28.2542_ID_4430-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_38_length_63465_cov_28.2542_ID_4430-processed-gene-0.7&CDS=1-2082, snap_masked-NODE_51_length_24604_cov_31.2149_ID_6916-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_51_length_24604_cov_31.2149_ID_6916-processed-gene-0.0&CDS=1-2526, snap_masked-NODE_65_length_4766_cov_28.5845_ID_8459-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_65_length_4766_cov_28.5845_ID_8459-processed-gene-0.3&CDS=1-855
1	OG0000001	YKR095W-A	augustus_masked-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.62&CDS=1-5442, augustus_masked-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.63&CDS=1-2388, augustus_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_27_length_98042_cov_29.9253_ID_4903-processed-gene-0.0&CDS=1-2451, augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.35&CDS=1-2706, augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.36&CDS=1-2373, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.84&CDS=1-2532, augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-0.111&CDS=1-2511, genemark-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.67-mRNA-1_1&gene=genemark-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-2.67&CDS=1-2013, genemark-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-3.142-mRNA-1_1&gene=genemark-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-3.142&CDS=1-4203, maker-NODE_29_length_87390_cov_28.3536_ID_3068-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_29_length_87390_cov_28.3536_ID_3068-augustus-gene-0.0&CDS=1-2673, maker-NODE_8_length_401942_cov_32.945_ID_2553-augustus-gene-1.58-mRNA-1_1&gene=maker-NODE_8_length_401942_cov_32.945_ID_2553-augustus-gene-1.58&CDS=1-5142, snap_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.41&CDS=1-3066, snap_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-0.30&CDS=1-6018, snap_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-1.175-mRNA-1_1&gene=snap_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-1.175&CDS=1-2490
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-1.83&CDS=1-981, augustus_masked-NODE_16_length_216442_cov_36.8176_ID_2354-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_16_length_216442_cov_36.8176_ID_2354-processed-gene-0.71&CDS=1-987, augustus_masked-NODE_48_length_27703_cov_33.2025_ID_5002-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_48_length_27703_cov_33.2025_ID_5002-processed-gene-0.21&CDS=1-990, augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.55&CDS=1-966, augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-2.72&CDS=1-948, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-1.65&CDS=1-987, augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-0.123&CDS=1-981, genemark-NODE_17_length_195034_cov_27.8368_ID_2750-processed-gene-0.205-mRNA-1_1&gene=genemark-NODE_17_length_195034_cov_27.8368_ID_2750-processed-gene-0.205&CDS=1-1002, genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-1.79-mRNA-1_1&gene=genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-1.79&CDS=1-1005, genemark-NODE_46_length_30817_cov_27.3728_ID_4824-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_46_length_30817_cov_27.3728_ID_4824-processed-gene-0.21&CDS=1-990
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W, YPL009C	augustus_masked-NODE_22_length_122971_cov_32.7259_ID_7671-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_22_length_122971_cov_32.7259_ID_7671-processed-gene-0.102&CDS=1-1368, augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-2.118&CDS=1-5760, augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-2.55&CDS=1-1368, genemark-NODE_15_length_231884_cov_38.0692_ID_3232-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_15_length_231884_cov_38.0692_ID_3232-processed-gene-1.35&CDS=1-1371, snap_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.114&CDS=1-1038
4	OG0000004	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	augustus_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-0.49&CDS=1-2301, maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-0.47-mRNA-1_1&gene=maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-0.47&CDS=1-2886
5	OG0000005	YKL071W	augustus_masked-NODE_30_length_86670_cov_50.3814_ID_3192-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_30_length_86670_cov_50.3814_ID_3192-processed-gene-0.9&CDS=1-744, augustus_masked-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.31&CDS=1-744, augustus_masked-NODE_55_length_18752_cov_25.8261_ID_6452-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_55_length_18752_cov_25.8261_ID_6452-processed-gene-0.10&CDS=1-696, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.70&CDS=1-744, augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-3.77&CDS=1-696, augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_9_length_364984_cov_35.4331_ID_4957-processed-gene-1.24&CDS=1-744, maker-NODE_36_length_64859_cov_30.1357_ID_7042-snap-gene-0.102-mRNA-1_1&gene=maker-NODE_36_length_64859_cov_30.1357_ID_7042-snap-gene-0.102&CDS=1-609, snap_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-0.16&CDS=1-297, snap_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.28&CDS=1-693
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.87&CDS=1-2079, genemark-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.89&CDS=1-2079, maker-NODE_6_length_638402_cov_25.8398_ID_2084-augustus-gene-0.84-mRNA-1_1&gene=maker-NODE_6_length_638402_cov_25.8398_ID_2084-augustus-gene-0.84&CDS=1-4419, snap_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.147&CDS=1-2241
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	augustus_masked-NODE_25_length_107794_cov_42.2009_ID_3383-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_25_length_107794_cov_42.2009_ID_3383-processed-gene-0.97&CDS=1-1704, maker-NODE_14_length_232044_cov_26.2844_ID_2850-snap-gene-1.147-mRNA-1_1&gene=maker-NODE_14_length_232044_cov_26.2844_ID_2850-snap-gene-1.147&CDS=1-3459
8	OG0000008	YDL054C, YDR332W	augustus_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-2.129&CDS=1-1077, augustus_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-NODE_12_length_314762_cov_25.5892_ID_2686-processed-gene-2.148&CDS=1-2271, augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.48&CDS=1-1080, genemark-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.0&CDS=1-795, genemark-NODE_38_length_63465_cov_28.2542_ID_4430-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_38_length_63465_cov_28.2542_ID_4430-processed-gene-0.75&CDS=1-1179, maker-NODE_12_length_314762_cov_25.5892_ID_2686-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_12_length_314762_cov_25.5892_ID_2686-augustus-gene-1.7&CDS=1-2493
9	OG0000009	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_14_length_232044_cov_26.2844_ID_2850-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_14_length_232044_cov_26.2844_ID_2850-processed-gene-0.64&CDS=1-1311, augustus_masked-NODE_36_length_64859_cov_30.1357_ID_7042-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_36_length_64859_cov_30.1357_ID_7042-processed-gene-0.61&CDS=1-1194, augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-5.73&CDS=1-1191, genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-9.15-mRNA-1_1&gene=genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-9.15&CDS=1-1737, genemark-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.241-mRNA-1_1&gene=genemark-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.241&CDS=1-3195
