	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035633_Candida_hispaniensis
0	OG0000000	YBR199W, YIL085C, YJL139C, YKR061W, YNL029C, YOR099W	genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.126&CDS=1-1206, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.37-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.37&CDS=1-1215, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.17&CDS=1-1248, genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.25&CDS=1-1245, genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-2.30&CDS=1-1329
1	OG0000001	YDR043C, YER028C, YOR113W, YPR013C, YPR015C	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.31&CDS=1-1206, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-14.22-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-14.22&CDS=1-672, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-6.0-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-6.0&CDS=1-519, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.92-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.92&CDS=1-1311, snap_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-6.48&CDS=1-807, snap_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-7.137-mRNA-1_1&gene=snap_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-7.137&CDS=1-552
2	OG0000002	YBR160W, YFL029C, YKL139W, YPL031C, YPR161C	augustus_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-3.48&CDS=1-2016, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-10.18-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-10.18&CDS=1-981, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-1.131&CDS=1-882, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-9.140-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-9.140&CDS=1-894, genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-3.26-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-3.26&CDS=1-1962
3	OG0000003	YDR402C	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-13.146-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-13.146&CDS=1-1572, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-4.131-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-4.131&CDS=1-1293, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-8.27-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-8.27&CDS=1-1608, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.152-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.152&CDS=1-1587, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-21.177-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-21.177&CDS=1-1560, genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.118&CDS=1-1587, snap_masked-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-5.98&CDS=1-1590
4	OG0000004	YDL134C, YDR075W, YNR032W	genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.94&CDS=1-963, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.45&CDS=1-960, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.9-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.9&CDS=1-972, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-21.190-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-21.190&CDS=1-1029
5	OG0000005	YDR011W, YDR406W, YOR153W	genemark-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.9&CDS=1-4431, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-2.125-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-2.125&CDS=1-4416, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.166-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.166&CDS=1-4401, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-9.153-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-9.153&CDS=1-4248
6	OG0000006	YDR034C	augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-5.74&CDS=1-2373, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-1.34&CDS=1-408, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-11.122-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-11.122&CDS=1-1584, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.170-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.170&CDS=1-2214, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.135-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.135&CDS=1-2079, snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-5.63-mRNA-1_1&gene=snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-5.63&CDS=1-1392
7	OG0000007	YFL039C, YJL081C, YLR085C	genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-11.124-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-11.124&CDS=1-1158, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-18.153-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-18.153&CDS=1-1239, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.152-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.152&CDS=1-1125, genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-3.45-mRNA-1_1&gene=genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-3.45&CDS=1-1272
8	OG0000008	YGL205W	genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-0.88&CDS=1-2082, genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-1.145-mRNA-1_1&gene=genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-1.145&CDS=1-2067, genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.99&CDS=1-2088, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-0.5&CDS=1-2112, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-8.46-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-8.46&CDS=1-2040, snap_masked-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-1.138-mRNA-1_1&gene=snap_masked-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-1.138&CDS=1-2097
9	OG0000009	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.128&CDS=1-2274, maker-NODE_3_length_1168197_cov_88.2392_ID_5-snap-gene-2.107-mRNA-1_1&gene=maker-NODE_3_length_1168197_cov_88.2392_ID_5-snap-gene-2.107&CDS=1-2181, snap_masked-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.37&CDS=1-2514
