	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026145_Ambrosiozyma_vanderkliftii
0	OG0000000	Q0045, Q0065, Q0070	augustus_masked-flattened_line_1467-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1467-processed-gene-0.0&CDS=1-318, augustus_masked-flattened_line_901-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_901-processed-gene-0.0&CDS=1-318, genemark-flattened_line_1267-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1267-processed-gene-0.0&CDS=1-111, genemark-flattened_line_1281-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_1281-processed-gene-0.1&CDS=1-318, genemark-flattened_line_1283-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1283-processed-gene-0.0&CDS=1-111, genemark-flattened_line_1695-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1695-processed-gene-0.0&CDS=1-108, genemark-flattened_line_1783-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_1783-processed-gene-0.1&CDS=1-318, genemark-flattened_line_1843-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1843-processed-gene-0.0&CDS=1-108, genemark-flattened_line_1853-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1853-processed-gene-0.0&CDS=1-108, genemark-flattened_line_1965-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1965-processed-gene-0.0&CDS=1-108, genemark-flattened_line_1973-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1973-processed-gene-0.0&CDS=1-219, genemark-flattened_line_2027-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_2027-processed-gene-0.0&CDS=1-249, genemark-flattened_line_3037-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_3037-processed-gene-0.0&CDS=1-108, genemark-flattened_line_3613-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_3613-processed-gene-0.0&CDS=1-189, genemark-flattened_line_4605-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_4605-processed-gene-0.0&CDS=1-219, genemark-flattened_line_5443-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_5443-processed-gene-0.0&CDS=1-129, genemark-flattened_line_5887-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_5887-processed-gene-0.0&CDS=1-111, genemark-flattened_line_9075-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_9075-processed-gene-0.0&CDS=1-111, snap_masked-flattened_line_1949-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1949-processed-gene-0.0&CDS=1-219, snap_masked-flattened_line_1999-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1999-processed-gene-0.1&CDS=1-219, snap_masked-flattened_line_2029-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2029-processed-gene-0.0&CDS=1-294, snap_masked-flattened_line_897-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_897-processed-gene-0.1&CDS=1-219, snap_masked-flattened_line_907-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_907-processed-gene-0.1&CDS=1-219, snap_masked-flattened_line_909-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_909-processed-gene-0.0&CDS=1-294, snap_masked-flattened_line_925-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_925-processed-gene-0.1&CDS=1-219
1	OG0000001	YAL051W, YCR106W, YLL054C, YLR256W, YOR363C	augustus_masked-flattened_line_10-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.100&CDS=1-3603, augustus_masked-flattened_line_112-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.38&CDS=1-4461, augustus_masked-flattened_line_198-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_198-processed-gene-0.59&CDS=1-2913, augustus_masked-flattened_line_204-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.7&CDS=1-792, augustus_masked-flattened_line_62-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.117&CDS=1-2787, augustus_masked-flattened_line_80-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.87&CDS=1-3180, maker-flattened_line_112-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_112-augustus-gene-0.5&CDS=1-3735
2	OG0000002	YCL075W	augustus_masked-flattened_line_132-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.74&CDS=1-567, augustus_masked-flattened_line_309-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_309-processed-gene-0.20&CDS=1-1080, augustus_masked-flattened_line_377-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_377-processed-gene-0.2&CDS=1-1221, augustus_masked-flattened_line_379-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_379-processed-gene-0.6&CDS=1-384, augustus_masked-flattened_line_379-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_379-processed-gene-0.7&CDS=1-1035, augustus_masked-flattened_line_385-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_385-processed-gene-0.6&CDS=1-270, augustus_masked-flattened_line_559-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_559-processed-gene-0.0&CDS=1-582, snap_masked-flattened_line_387-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_387-processed-gene-0.2&CDS=1-1719, snap_masked-flattened_line_458-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_458-processed-gene-0.2&CDS=1-441, snap_masked-flattened_line_508-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_508-processed-gene-0.2&CDS=1-1107
3	OG0000003	YDL037C, YIR019C	augustus_masked-flattened_line_138-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.78&CDS=1-213, augustus_masked-flattened_line_1755-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1755-processed-gene-0.2&CDS=1-351, augustus_masked-flattened_line_321-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_321-processed-gene-0.1&CDS=1-2130, maker-flattened_line_110-snap-gene-0.110-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.110&CDS=1-3591, maker-flattened_line_411-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_411-snap-gene-0.0&CDS=1-2757, snap_masked-flattened_line_435-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_435-processed-gene-0.2&CDS=1-2679, snap_masked-flattened_line_484-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_484-processed-gene-0.0&CDS=1-1545, snap_masked-flattened_line_554-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_554-processed-gene-0.2&CDS=1-783
4	OG0000004	YGR201C, YPL048W	augustus_masked-flattened_line_192-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.28&CDS=1-663, augustus_masked-flattened_line_253-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_253-processed-gene-0.15&CDS=1-615, augustus_masked-flattened_line_282-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_282-processed-gene-0.5&CDS=1-648, maker-flattened_line_150-augustus-gene-0.98-mRNA-1_1&gene=maker-flattened_line_150-augustus-gene-0.98&CDS=1-1227, maker-flattened_line_282-augustus-gene-0.36-mRNA-1_1&gene=maker-flattened_line_282-augustus-gene-0.36&CDS=1-654, maker-flattened_line_282-augustus-gene-0.37-mRNA-1_1&gene=maker-flattened_line_282-augustus-gene-0.37&CDS=1-651, maker-flattened_line_60-augustus-gene-0.115-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.115&CDS=1-882, snap_masked-flattened_line_389-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_389-processed-gene-0.4&CDS=1-1236
5	OG0000005	YGR281W, YKR104W	augustus_masked-flattened_line_106-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.34&CDS=1-4137, augustus_masked-flattened_line_168-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.45&CDS=1-4161, augustus_masked-flattened_line_200-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_200-processed-gene-0.46&CDS=1-3480, augustus_masked-flattened_line_294-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_294-processed-gene-0.3&CDS=1-3483, augustus_masked-flattened_line_32-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.85&CDS=1-4278, snap_masked-flattened_line_211-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_211-processed-gene-0.30&CDS=1-4209, snap_masked-flattened_line_316-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_316-processed-gene-0.5&CDS=1-882, snap_masked-flattened_line_316-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_316-processed-gene-0.9&CDS=1-888
6	OG0000006	YBR015C	augustus_masked-flattened_line_116-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.77&CDS=1-1737, augustus_masked-flattened_line_12-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.132&CDS=1-2043, augustus_masked-flattened_line_134-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.52&CDS=1-2133, augustus_masked-flattened_line_213-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_213-processed-gene-0.45&CDS=1-1974, augustus_masked-flattened_line_30-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.224&CDS=1-2082, augustus_masked-flattened_line_36-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.139&CDS=1-1962, augustus_masked-flattened_line_363-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_363-processed-gene-0.4&CDS=1-2073, maker-flattened_line_12-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.2&CDS=1-5094
7	OG0000007	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_10-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.117&CDS=1-1797, augustus_masked-flattened_line_164-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.26&CDS=1-1782, genemark-flattened_line_184-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.29&CDS=1-1767, genemark-flattened_line_278-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_278-processed-gene-0.3&CDS=1-1740, snap_masked-flattened_line_88-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.40&CDS=1-1611
8	OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_40-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.79&CDS=1-1776
9	OG0000009	YCR028C	augustus_masked-flattened_line_134-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.59&CDS=1-1446, augustus_masked-flattened_line_229-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_229-processed-gene-0.9&CDS=1-1659, augustus_masked-flattened_line_332-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_332-processed-gene-0.10&CDS=1-1677, augustus_masked-flattened_line_40-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.97&CDS=1-1644, augustus_masked-flattened_line_44-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.24&CDS=1-1590, augustus_masked-flattened_line_62-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.103&CDS=1-1677, snap_masked-flattened_line_8-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.42&CDS=1-1644
