	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034760_Lipomyces_kononenkoae
0	OG0000000	YFL040W	augustus_masked-NODE_1_length_800456_cov_18.956_ID_1-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_800456_cov_18.956_ID_1-processed-gene-7.134&CDS=1-1530, augustus_masked-NODE_30_length_185954_cov_19.4228_ID_59-processed-gene-0.326-mRNA-1_1&gene=augustus_masked-NODE_30_length_185954_cov_19.4228_ID_59-processed-gene-0.326&CDS=1-1572, augustus_masked-NODE_39_length_156451_cov_19.9934_ID_77-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_39_length_156451_cov_19.9934_ID_77-processed-gene-0.55&CDS=1-1590, augustus_masked-NODE_42_length_145683_cov_20.0035_ID_83-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-NODE_42_length_145683_cov_20.0035_ID_83-processed-gene-0.232&CDS=1-1545, augustus_masked-NODE_53_length_109949_cov_18.5741_ID_105-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_53_length_109949_cov_18.5741_ID_105-processed-gene-0.71&CDS=1-1599, augustus_masked-NODE_91_length_39181_cov_20.7387_ID_181-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_91_length_39181_cov_20.7387_ID_181-processed-gene-0.3&CDS=1-1521, augustus_masked-NODE_94_length_36558_cov_20.8686_ID_187-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_94_length_36558_cov_20.8686_ID_187-processed-gene-0.5&CDS=1-1497, genemark-NODE_56_length_95309_cov_19.1379_ID_111-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_56_length_95309_cov_19.1379_ID_111-processed-gene-0.76&CDS=1-1548, genemark-NODE_84_length_48271_cov_21.5704_ID_167-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_84_length_48271_cov_21.5704_ID_167-processed-gene-0.4&CDS=1-1491, maker-NODE_12_length_298682_cov_19.2352_ID_23-snap-gene-1.362-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-snap-gene-1.362&CDS=1-2973, maker-NODE_147_length_10947_cov_25.1884_ID_293-augustus-gene-0.11-mRNA-1_1&gene=maker-NODE_147_length_10947_cov_25.1884_ID_293-augustus-gene-0.11&CDS=1-1596, maker-NODE_14_length_256127_cov_18.7261_ID_27-augustus-gene-0.30-mRNA-1_1&gene=maker-NODE_14_length_256127_cov_18.7261_ID_27-augustus-gene-0.30&CDS=1-1632, maker-NODE_17_length_243555_cov_19.5157_ID_33-augustus-gene-1.28-mRNA-1_1&gene=maker-NODE_17_length_243555_cov_19.5157_ID_33-augustus-gene-1.28&CDS=1-1482, maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-0.82-mRNA-1_1&gene=maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-0.82&CDS=1-1542, maker-NODE_32_length_174022_cov_19.146_ID_63-augustus-gene-0.127-mRNA-1_1&gene=maker-NODE_32_length_174022_cov_19.146_ID_63-augustus-gene-0.127&CDS=1-1572, maker-NODE_40_length_150348_cov_19.9098_ID_79-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_40_length_150348_cov_19.9098_ID_79-snap-gene-0.15&CDS=1-3708, maker-NODE_56_length_95309_cov_19.1379_ID_111-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_56_length_95309_cov_19.1379_ID_111-augustus-gene-0.50&CDS=1-1509, maker-NODE_64_length_80132_cov_20.1841_ID_127-augustus-gene-0.70-mRNA-1_1&gene=maker-NODE_64_length_80132_cov_20.1841_ID_127-augustus-gene-0.70&CDS=1-1527, maker-NODE_87_length_45590_cov_18.8479_ID_173-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_87_length_45590_cov_18.8479_ID_173-augustus-gene-0.34&CDS=1-1566, snap_masked-NODE_15_length_255706_cov_19.5054_ID_29-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_15_length_255706_cov_19.5054_ID_29-processed-gene-0.23&CDS=1-1446, snap_masked-NODE_56_length_95309_cov_19.1379_ID_111-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_56_length_95309_cov_19.1379_ID_111-processed-gene-0.7&CDS=1-1623, snap_masked-NODE_61_length_83660_cov_18.6574_ID_121-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_61_length_83660_cov_18.6574_ID_121-processed-gene-0.114&CDS=1-1674, snap_masked-NODE_80_length_50405_cov_21.0299_ID_159-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_80_length_50405_cov_21.0299_ID_159-processed-gene-0.53&CDS=1-1581
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	snap_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-0.96&CDS=1-1794
2	OG0000002	YDL170W, YDR034C	augustus_masked-NODE_134_length_13818_cov_21.8676_ID_267-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_134_length_13818_cov_21.8676_ID_267-processed-gene-0.9&CDS=1-2217, augustus_masked-NODE_14_length_256127_cov_18.7261_ID_27-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_14_length_256127_cov_18.7261_ID_27-processed-gene-0.79&CDS=1-612, augustus_masked-NODE_28_length_189221_cov_18.6079_ID_55-processed-gene-0.272-mRNA-1_1&gene=augustus_masked-NODE_28_length_189221_cov_18.6079_ID_55-processed-gene-0.272&CDS=1-1005, augustus_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.62&CDS=1-1965, augustus_masked-NODE_76_length_53092_cov_18.621_ID_151-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_76_length_53092_cov_18.621_ID_151-processed-gene-0.32&CDS=1-1779, augustus_masked-NODE_90_length_40484_cov_20.9118_ID_179-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_90_length_40484_cov_20.9118_ID_179-processed-gene-0.48&CDS=1-1176, maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-0.44-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-0.44&CDS=1-1185, maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-1.324-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-1.324&CDS=1-1185, maker-NODE_12_length_298682_cov_19.2352_ID_23-snap-gene-1.374-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-snap-gene-1.374&CDS=1-540, maker-NODE_14_length_256127_cov_18.7261_ID_27-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_14_length_256127_cov_18.7261_ID_27-snap-gene-0.5&CDS=1-762, maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-4.79-mRNA-1_1&gene=maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-4.79&CDS=1-1272, maker-NODE_24_length_201069_cov_18.7772_ID_47-augustus-gene-1.123-mRNA-1_1&gene=maker-NODE_24_length_201069_cov_18.7772_ID_47-augustus-gene-1.123&CDS=1-1752, maker-NODE_7_length_344975_cov_19.2962_ID_13-augustus-gene-2.74-mRNA-1_1&gene=maker-NODE_7_length_344975_cov_19.2962_ID_13-augustus-gene-2.74&CDS=1-1182, snap_masked-NODE_173_length_5906_cov_24.2151_ID_345-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_173_length_5906_cov_24.2151_ID_345-processed-gene-0.6&CDS=1-657
3	OG0000003	YBL042C, YBR021W, YIR028W	augustus_masked-NODE_17_length_243555_cov_19.5157_ID_33-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-NODE_17_length_243555_cov_19.5157_ID_33-processed-gene-1.184&CDS=1-1104, augustus_masked-NODE_99_length_29624_cov_23.0453_ID_197-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_99_length_29624_cov_23.0453_ID_197-processed-gene-0.31&CDS=1-249, maker-NODE_20_length_225737_cov_18.5558_ID_39-augustus-gene-0.138-mRNA-1_1&gene=maker-NODE_20_length_225737_cov_18.5558_ID_39-augustus-gene-0.138&CDS=1-1668, maker-NODE_2_length_758014_cov_19.0229_ID_3-augustus-gene-0.66-mRNA-1_1&gene=maker-NODE_2_length_758014_cov_19.0229_ID_3-augustus-gene-0.66&CDS=1-1698, maker-NODE_2_length_758014_cov_19.0229_ID_3-augustus-gene-0.77-mRNA-1_1&gene=maker-NODE_2_length_758014_cov_19.0229_ID_3-augustus-gene-0.77&CDS=1-1677, maker-NODE_2_length_758014_cov_19.0229_ID_3-snap-gene-0.128-mRNA-1_1&gene=maker-NODE_2_length_758014_cov_19.0229_ID_3-snap-gene-0.128&CDS=1-3225, maker-NODE_30_length_185954_cov_19.4228_ID_59-augustus-gene-0.195-mRNA-1_1&gene=maker-NODE_30_length_185954_cov_19.4228_ID_59-augustus-gene-0.195&CDS=1-1686, maker-NODE_4_length_545746_cov_20.1284_ID_7-augustus-gene-4.128-mRNA-1_1&gene=maker-NODE_4_length_545746_cov_20.1284_ID_7-augustus-gene-4.128&CDS=1-1638, maker-NODE_53_length_109949_cov_18.5741_ID_105-augustus-gene-0.193-mRNA-1_1&gene=maker-NODE_53_length_109949_cov_18.5741_ID_105-augustus-gene-0.193&CDS=1-1698, maker-NODE_53_length_109949_cov_18.5741_ID_105-augustus-gene-0.203-mRNA-1_1&gene=maker-NODE_53_length_109949_cov_18.5741_ID_105-augustus-gene-0.203&CDS=1-1665, maker-NODE_64_length_80132_cov_20.1841_ID_127-augustus-gene-0.73-mRNA-1_1&gene=maker-NODE_64_length_80132_cov_20.1841_ID_127-augustus-gene-0.73&CDS=1-1692, maker-NODE_67_length_72774_cov_19.1132_ID_133-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_67_length_72774_cov_19.1132_ID_133-snap-gene-0.55&CDS=1-1818
4	OG0000004	YKL055C	augustus_masked-NODE_130_length_16087_cov_18.149_ID_259-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_130_length_16087_cov_18.149_ID_259-processed-gene-0.10&CDS=1-774, augustus_masked-NODE_29_length_189010_cov_19.6402_ID_57-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_29_length_189010_cov_19.6402_ID_57-processed-gene-0.113&CDS=1-915, augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-2.76&CDS=1-948, augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.76&CDS=1-750, augustus_masked-NODE_41_length_146323_cov_20.1062_ID_81-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-NODE_41_length_146323_cov_20.1062_ID_81-processed-gene-0.225&CDS=1-852, augustus_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-2.10&CDS=1-750, maker-NODE_101_length_28904_cov_18.6329_ID_201-augustus-gene-0.39-mRNA-1_1&gene=maker-NODE_101_length_28904_cov_18.6329_ID_201-augustus-gene-0.39&CDS=1-744, maker-NODE_3_length_726745_cov_18.6369_ID_5-augustus-gene-4.49-mRNA-1_1&gene=maker-NODE_3_length_726745_cov_18.6369_ID_5-augustus-gene-4.49&CDS=1-795, maker-NODE_41_length_146323_cov_20.1062_ID_81-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_41_length_146323_cov_20.1062_ID_81-augustus-gene-0.12&CDS=1-813, snap_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-2.116&CDS=1-750
5	OG0000005	YDR207C, YFL060C, YMR095C, YNL334C	augustus_masked-NODE_13_length_279715_cov_18.2027_ID_25-processed-gene-1.284-mRNA-1_1&gene=augustus_masked-NODE_13_length_279715_cov_18.2027_ID_25-processed-gene-1.284&CDS=1-2415, augustus_masked-NODE_141_length_13086_cov_18.4037_ID_281-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_141_length_13086_cov_18.4037_ID_281-processed-gene-0.12&CDS=1-699, augustus_masked-NODE_47_length_131077_cov_18.1418_ID_93-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_47_length_131077_cov_18.1418_ID_93-processed-gene-0.16&CDS=1-1887, augustus_masked-NODE_53_length_109949_cov_18.5741_ID_105-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_53_length_109949_cov_18.5741_ID_105-processed-gene-0.72&CDS=1-1815, maker-NODE_42_length_145683_cov_20.0035_ID_83-snap-gene-0.164-mRNA-1_1&gene=maker-NODE_42_length_145683_cov_20.0035_ID_83-snap-gene-0.164&CDS=1-1761, snap_masked-NODE_3_length_726745_cov_18.6369_ID_5-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NODE_3_length_726745_cov_18.6369_ID_5-processed-gene-2.101&CDS=1-1641
6	OG0000006	YDR402C	augustus_masked-NODE_8_length_336372_cov_19.1489_ID_15-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_8_length_336372_cov_19.1489_ID_15-processed-gene-0.100&CDS=1-1626, maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-3.55-mRNA-1_1&gene=maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-3.55&CDS=1-1656, maker-NODE_36_length_166449_cov_18.998_ID_71-augustus-gene-0.174-mRNA-1_1&gene=maker-NODE_36_length_166449_cov_18.998_ID_71-augustus-gene-0.174&CDS=1-1575, maker-NODE_3_length_726745_cov_18.6369_ID_5-snap-gene-2.153-mRNA-1_1&gene=maker-NODE_3_length_726745_cov_18.6369_ID_5-snap-gene-2.153&CDS=1-2058, maker-NODE_54_length_99133_cov_19.2114_ID_107-augustus-gene-0.67-mRNA-1_1&gene=maker-NODE_54_length_99133_cov_19.2114_ID_107-augustus-gene-0.67&CDS=1-1575, maker-NODE_62_length_82821_cov_19.5809_ID_123-augustus-gene-0.54-mRNA-1_1&gene=maker-NODE_62_length_82821_cov_19.5809_ID_123-augustus-gene-0.54&CDS=1-1605, maker-NODE_62_length_82821_cov_19.5809_ID_123-snap-gene-0.109-mRNA-1_1&gene=maker-NODE_62_length_82821_cov_19.5809_ID_123-snap-gene-0.109&CDS=1-1584, snap_masked-NODE_7_length_344975_cov_19.2962_ID_13-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_7_length_344975_cov_19.2962_ID_13-processed-gene-1.41&CDS=1-519, snap_masked-NODE_7_length_344975_cov_19.2962_ID_13-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_7_length_344975_cov_19.2962_ID_13-processed-gene-1.42&CDS=1-1056
7	OG0000007	YGR287C, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_20_length_225737_cov_18.5558_ID_39-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_20_length_225737_cov_18.5558_ID_39-processed-gene-1.41&CDS=1-1725, maker-NODE_39_length_156451_cov_19.9934_ID_77-augustus-gene-0.163-mRNA-1_1&gene=maker-NODE_39_length_156451_cov_19.9934_ID_77-augustus-gene-0.163&CDS=1-1737, maker-NODE_8_length_336372_cov_19.1489_ID_15-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_8_length_336372_cov_19.1489_ID_15-augustus-gene-0.50&CDS=1-1746, maker-NODE_9_length_328160_cov_18.9397_ID_17-augustus-gene-0.41-mRNA-1_1&gene=maker-NODE_9_length_328160_cov_18.9397_ID_17-augustus-gene-0.41&CDS=1-1752
8	OG0000008	YPR194C	augustus_masked-NODE_39_length_156451_cov_19.9934_ID_77-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_39_length_156451_cov_19.9934_ID_77-processed-gene-0.53&CDS=1-2580, augustus_masked-NODE_73_length_55363_cov_21.1983_ID_145-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_73_length_55363_cov_21.1983_ID_145-processed-gene-0.20&CDS=1-2601, augustus_masked-NODE_82_length_49625_cov_18.6877_ID_163-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_82_length_49625_cov_18.6877_ID_163-processed-gene-0.74&CDS=1-2562, maker-NODE_31_length_179249_cov_19.1009_ID_61-augustus-gene-0.221-mRNA-1_1&gene=maker-NODE_31_length_179249_cov_19.1009_ID_61-augustus-gene-0.221&CDS=1-2598, maker-NODE_42_length_145683_cov_20.0035_ID_83-snap-gene-0.158-mRNA-1_1&gene=maker-NODE_42_length_145683_cov_20.0035_ID_83-snap-gene-0.158&CDS=1-2112, maker-NODE_80_length_50405_cov_21.0299_ID_159-augustus-gene-0.66-mRNA-1_1&gene=maker-NODE_80_length_50405_cov_21.0299_ID_159-augustus-gene-0.66&CDS=1-2592, snap_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.124&CDS=1-2601, snap_masked-NODE_64_length_80132_cov_20.1841_ID_127-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_64_length_80132_cov_20.1841_ID_127-processed-gene-0.101&CDS=1-2589
9	OG0000009	YCR028C	augustus_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_4_length_545746_cov_20.1284_ID_7-processed-gene-4.16&CDS=1-1491, maker-NODE_139_length_13204_cov_22.5803_ID_277-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_139_length_13204_cov_22.5803_ID_277-augustus-gene-0.1&CDS=1-1614, maker-NODE_18_length_243082_cov_18.8276_ID_35-augustus-gene-0.107-mRNA-1_1&gene=maker-NODE_18_length_243082_cov_18.8276_ID_35-augustus-gene-0.107&CDS=1-1542, maker-NODE_41_length_146323_cov_20.1062_ID_81-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_41_length_146323_cov_20.1062_ID_81-snap-gene-0.123&CDS=1-2991, maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-1.112-mRNA-1_1&gene=maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-1.112&CDS=1-1503, maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-2.97-mRNA-1_1&gene=maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-2.97&CDS=1-1497, maker-NODE_8_length_336372_cov_19.1489_ID_15-augustus-gene-2.262-mRNA-1_1&gene=maker-NODE_8_length_336372_cov_19.1489_ID_15-augustus-gene-2.262&CDS=1-1530
