	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035674_Kregervanrija_delftensis
0	OG0000000		augustus_masked-NODE_101_length_9238_cov_30.3737_ID_24993-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_101_length_9238_cov_30.3737_ID_24993-processed-gene-0.3&CDS=1-3372, augustus_masked-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.56&CDS=1-2418, augustus_masked-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.93&CDS=1-2364, augustus_masked-NODE_64_length_52260_cov_33.1748_ID_22260-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_64_length_52260_cov_33.1748_ID_22260-processed-gene-0.32&CDS=1-1845, augustus_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.9&CDS=1-1329, augustus_masked-NODE_91_length_14802_cov_31.8578_ID_21928-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_91_length_14802_cov_31.8578_ID_21928-processed-gene-0.1&CDS=1-2496, augustus_masked-NODE_98_length_11335_cov_34.3071_ID_51467-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_98_length_11335_cov_34.3071_ID_51467-processed-gene-0.2&CDS=1-1689, genemark-NODE_102_length_9029_cov_27.3263_ID_40792-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_102_length_9029_cov_27.3263_ID_40792-processed-gene-0.4&CDS=1-2337, genemark-NODE_339_length_600_cov_49.1775_ID_51980-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_339_length_600_cov_49.1775_ID_51980-processed-gene-0.2&CDS=1-564, genemark-NODE_3_length_410227_cov_25.6116_ID_22000-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_3_length_410227_cov_25.6116_ID_22000-processed-gene-0.50&CDS=1-4473, genemark-NODE_51_length_71523_cov_30.9996_ID_15384-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_51_length_71523_cov_30.9996_ID_15384-processed-gene-0.78&CDS=1-864, genemark-NODE_82_length_27992_cov_33.0799_ID_20575-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_82_length_27992_cov_33.0799_ID_20575-processed-gene-0.5&CDS=1-1266, genemark-NODE_92_length_13231_cov_41.8037_ID_22426-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_92_length_13231_cov_41.8037_ID_22426-processed-gene-0.8&CDS=1-1608, genemark-NODE_93_length_12722_cov_37.5346_ID_22173-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_93_length_12722_cov_37.5346_ID_22173-processed-gene-0.4&CDS=1-1194, maker-NODE_118_length_5296_cov_26.4319_ID_24338-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_118_length_5296_cov_26.4319_ID_24338-snap-gene-0.1&CDS=1-1098, maker-NODE_54_length_68950_cov_26.5741_ID_15524-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_54_length_68950_cov_26.5741_ID_15524-snap-gene-0.69&CDS=1-1530, maker-NODE_85_length_21082_cov_27.2731_ID_23287-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_85_length_21082_cov_27.2731_ID_23287-snap-gene-0.0&CDS=1-1008, snap_masked-NODE_178_length_1526_cov_27.669_ID_27532-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_178_length_1526_cov_27.669_ID_27532-processed-gene-0.1&CDS=1-1449, snap_masked-NODE_40_length_105744_cov_29.28_ID_13649-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_40_length_105744_cov_29.28_ID_13649-processed-gene-0.31&CDS=1-3795, snap_masked-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.65&CDS=1-2949, snap_masked-NODE_70_length_42697_cov_29.5959_ID_21419-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_70_length_42697_cov_29.5959_ID_21419-processed-gene-0.7&CDS=1-1725, snap_masked-NODE_98_length_11335_cov_34.3071_ID_51467-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_98_length_11335_cov_34.3071_ID_51467-processed-gene-0.4&CDS=1-1221
1	OG0000001	YKR064W	augustus_masked-NODE_66_length_47514_cov_28.4675_ID_19958-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_66_length_47514_cov_28.4675_ID_19958-processed-gene-0.36&CDS=1-3177, augustus_masked-NODE_6_length_371428_cov_26.1942_ID_14693-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-NODE_6_length_371428_cov_26.1942_ID_14693-processed-gene-2.156&CDS=1-2124, augustus_masked-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-0.20&CDS=1-1971, genemark-NODE_11_length_272510_cov_25.6571_ID_23527-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_11_length_272510_cov_25.6571_ID_23527-processed-gene-1.115&CDS=1-1047, genemark-NODE_123_length_4701_cov_57.5817_ID_25080-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_123_length_4701_cov_57.5817_ID_25080-processed-gene-0.3&CDS=1-1719, genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.9&CDS=1-1656, genemark-NODE_32_length_137609_cov_25.5782_ID_11872-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_32_length_137609_cov_25.5782_ID_11872-processed-gene-0.95&CDS=1-2313, genemark-NODE_47_length_87001_cov_28.7446_ID_14029-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_47_length_87001_cov_28.7446_ID_14029-processed-gene-0.112&CDS=1-1071, genemark-NODE_57_length_62145_cov_31.1878_ID_19661-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_57_length_62145_cov_31.1878_ID_19661-processed-gene-0.5&CDS=1-2160, genemark-NODE_6_length_371428_cov_26.1942_ID_14693-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_6_length_371428_cov_26.1942_ID_14693-processed-gene-0.116&CDS=1-2742, genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-1.112&CDS=1-1953, genemark-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-1.160-mRNA-1_1&gene=genemark-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-1.160&CDS=1-3105, maker-NODE_34_length_129258_cov_28.785_ID_42393-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_34_length_129258_cov_28.785_ID_42393-augustus-gene-0.50&CDS=1-2289, snap_masked-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.183-mRNA-1_1&gene=snap_masked-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.183&CDS=1-2358, snap_masked-NODE_54_length_68950_cov_26.5741_ID_15524-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_54_length_68950_cov_26.5741_ID_15524-processed-gene-0.11&CDS=1-3192, snap_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.21&CDS=1-2067
2	OG0000002	YBL054W, YER088C	augustus_masked-NODE_23_length_165307_cov_25.5434_ID_13060-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_23_length_165307_cov_25.5434_ID_13060-processed-gene-0.57&CDS=1-786, augustus_masked-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.50&CDS=1-627, augustus_masked-NODE_57_length_62145_cov_31.1878_ID_19661-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_57_length_62145_cov_31.1878_ID_19661-processed-gene-0.52&CDS=1-627, augustus_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_81_length_28626_cov_35.3324_ID_20469-processed-gene-0.12&CDS=1-654, augustus_masked-NODE_88_length_15690_cov_31.5951_ID_21754-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_88_length_15690_cov_31.5951_ID_21754-processed-gene-0.0&CDS=1-645, genemark-NODE_23_length_165307_cov_25.5434_ID_13060-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_23_length_165307_cov_25.5434_ID_13060-processed-gene-0.139&CDS=1-1128, genemark-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.40&CDS=1-660, genemark-NODE_94_length_12431_cov_50.1814_ID_29340-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_94_length_12431_cov_50.1814_ID_29340-processed-gene-0.2&CDS=1-615, genemark-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-1.162-mRNA-1_1&gene=genemark-NODE_9_length_292977_cov_25.1657_ID_10131-processed-gene-1.162&CDS=1-783, snap_masked-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.93&CDS=1-624
3	OG0000003	YMR168C, YNR063W	augustus_masked-NODE_20_length_216721_cov_25.9753_ID_15554-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_20_length_216721_cov_25.9753_ID_15554-processed-gene-0.61&CDS=1-1146, augustus_masked-NODE_82_length_27992_cov_33.0799_ID_20575-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_82_length_27992_cov_33.0799_ID_20575-processed-gene-0.15&CDS=1-1986, genemark-NODE_12_length_257424_cov_25.5774_ID_11970-processed-gene-1.224-mRNA-1_1&gene=genemark-NODE_12_length_257424_cov_25.5774_ID_11970-processed-gene-1.224&CDS=1-2808, genemark-NODE_18_length_220966_cov_24.8878_ID_12157-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_18_length_220966_cov_24.8878_ID_12157-processed-gene-0.15&CDS=1-2370, genemark-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.67&CDS=1-2625, genemark-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_56_length_64359_cov_28.2504_ID_19461-processed-gene-0.7&CDS=1-2208, maker-NODE_18_length_220966_cov_24.8878_ID_12157-augustus-gene-1.56-mRNA-1_1&gene=maker-NODE_18_length_220966_cov_24.8878_ID_12157-augustus-gene-1.56&CDS=1-4728, maker-NODE_18_length_220966_cov_24.8878_ID_12157-snap-gene-1.122-mRNA-1_1&gene=maker-NODE_18_length_220966_cov_24.8878_ID_12157-snap-gene-1.122&CDS=1-2301
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_145_length_2764_cov_32.042_ID_26640-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_145_length_2764_cov_32.042_ID_26640-processed-gene-0.3&CDS=1-1050, augustus_masked-NODE_334_length_609_cov_30.0635_ID_54096-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_334_length_609_cov_30.0635_ID_54096-processed-gene-0.0&CDS=1-609, augustus_masked-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.123&CDS=1-2004, genemark-NODE_33_length_135795_cov_26.9639_ID_17199-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_33_length_135795_cov_26.9639_ID_17199-processed-gene-0.91&CDS=1-1047, genemark-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.243-mRNA-1_1&gene=genemark-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.243&CDS=1-1056
5	OG0000005	YJR152W	genemark-NODE_20_length_216721_cov_25.9753_ID_15554-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_20_length_216721_cov_25.9753_ID_15554-processed-gene-0.95&CDS=1-1572, genemark-NODE_2_length_500633_cov_25.5139_ID_10700-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_2_length_500633_cov_25.5139_ID_10700-processed-gene-2.51&CDS=1-1602, genemark-NODE_2_length_500633_cov_25.5139_ID_10700-processed-gene-2.53-mRNA-1_1&gene=genemark-NODE_2_length_500633_cov_25.5139_ID_10700-processed-gene-2.53&CDS=1-1584, genemark-NODE_42_length_104565_cov_25.9856_ID_18546-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_42_length_104565_cov_25.9856_ID_18546-processed-gene-0.19&CDS=1-1581, genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.27&CDS=1-1566, genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.58&CDS=1-1581, genemark-NODE_51_length_71523_cov_30.9996_ID_15384-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_51_length_71523_cov_30.9996_ID_15384-processed-gene-0.87&CDS=1-1635, genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-0.43&CDS=1-1581
6	OG0000006	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_146_length_2703_cov_20.6708_ID_26304-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_146_length_2703_cov_20.6708_ID_26304-processed-gene-0.3&CDS=1-1338, genemark-NODE_14_length_251124_cov_27.5689_ID_15618-processed-gene-1.158-mRNA-1_1&gene=genemark-NODE_14_length_251124_cov_27.5689_ID_15618-processed-gene-1.158&CDS=1-2112, genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.28&CDS=1-2148, genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-1.101-mRNA-1_1&gene=genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-1.101&CDS=1-2118, maker-NODE_14_length_251124_cov_27.5689_ID_15618-snap-gene-1.10-mRNA-1_1&gene=maker-NODE_14_length_251124_cov_27.5689_ID_15618-snap-gene-1.10&CDS=1-4125
7	OG0000007		augustus_masked-NODE_219_length_1036_cov_177.372_ID_52222-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_219_length_1036_cov_177.372_ID_52222-processed-gene-0.0&CDS=1-891, augustus_masked-NODE_347_length_595_cov_159.688_ID_53476-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_347_length_595_cov_159.688_ID_53476-processed-gene-0.0&CDS=1-192, augustus_masked-NODE_734_length_372_cov_138.777_ID_53644-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_734_length_372_cov_138.777_ID_53644-processed-gene-0.2&CDS=1-369, genemark-NODE_224_length_1000_cov_113.889_ID_36225-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_224_length_1000_cov_113.889_ID_36225-processed-gene-0.0&CDS=1-948, maker-NODE_142_length_2907_cov_403.562_ID_52180-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_142_length_2907_cov_403.562_ID_52180-snap-gene-0.0&CDS=1-2181, maker-NODE_149_length_2542_cov_264.353_ID_52258-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_149_length_2542_cov_264.353_ID_52258-snap-gene-0.2&CDS=1-1572, snap_masked-NODE_134_length_3341_cov_84.2466_ID_27232-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_134_length_3341_cov_84.2466_ID_27232-processed-gene-0.3&CDS=1-897, snap_masked-NODE_182_length_1445_cov_25.8905_ID_27378-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_182_length_1445_cov_25.8905_ID_27378-processed-gene-0.1&CDS=1-690, snap_masked-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.18&CDS=1-348
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-0.51&CDS=1-4026, genemark-NODE_21_length_210515_cov_26.0988_ID_11168-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_21_length_210515_cov_26.0988_ID_11168-processed-gene-1.100&CDS=1-2997, genemark-NODE_31_length_137690_cov_24.5755_ID_14827-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_31_length_137690_cov_24.5755_ID_14827-processed-gene-0.99&CDS=1-2751, genemark-NODE_63_length_53218_cov_29.507_ID_17471-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_63_length_53218_cov_29.507_ID_17471-processed-gene-0.8&CDS=1-2280
9	OG0000009	YMR169C, YMR170C, YOR374W	genemark-NODE_14_length_251124_cov_27.5689_ID_15618-processed-gene-1.164-mRNA-1_1&gene=genemark-NODE_14_length_251124_cov_27.5689_ID_15618-processed-gene-1.164&CDS=1-1503, genemark-NODE_21_length_210515_cov_26.0988_ID_11168-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_21_length_210515_cov_26.0988_ID_11168-processed-gene-0.29&CDS=1-1575, genemark-NODE_34_length_129258_cov_28.785_ID_42393-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_34_length_129258_cov_28.785_ID_42393-processed-gene-0.105&CDS=1-1491, genemark-NODE_35_length_126141_cov_26.8338_ID_12752-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_35_length_126141_cov_26.8338_ID_12752-processed-gene-0.45&CDS=1-1485, genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_8_length_296065_cov_26.2734_ID_35064-processed-gene-1.113&CDS=1-1506
