	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034893_Ogataea_philodendra
0	OG0000000	YBR240C	augustus_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.30&CDS=1-2565, augustus_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.137&CDS=1-1746, augustus_masked-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.182&CDS=1-1539, augustus_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-3.155&CDS=1-2421, genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-1.42&CDS=1-2034, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-8.131-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-8.131&CDS=1-2250, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-9.12-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-9.12&CDS=1-954, genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-0.30&CDS=1-1464, genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-0.88&CDS=1-1827, genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-1.94&CDS=1-480, genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.237-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.237&CDS=1-2178, genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-3.207-mRNA-1_1&gene=genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-3.207&CDS=1-939, snap_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.93&CDS=1-1644
1	OG0000001	YDR242W	augustus_masked-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-11.85&CDS=1-2856, augustus_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-0.4&CDS=1-1650, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-9.30-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-9.30&CDS=1-1719, genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-0.51&CDS=1-1551, maker-NODE_22_length_127543_cov_73.0507_ID_43-snap-gene-0.240-mRNA-1_1&gene=maker-NODE_22_length_127543_cov_73.0507_ID_43-snap-gene-0.240&CDS=1-4488, maker-NODE_25_length_41406_cov_83.1855_ID_49-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_25_length_41406_cov_83.1855_ID_49-snap-gene-0.2&CDS=1-4863, snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.85&CDS=1-1632, snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.86&CDS=1-1662, snap_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-4.150&CDS=1-3162
2	OG0000002	YJR152W, YLR004C	augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.65&CDS=1-1602, genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.101-mRNA-1_1&gene=genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.101&CDS=1-1539, genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.54-mRNA-1_1&gene=genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.54&CDS=1-1572, genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.44&CDS=1-1551, genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.48&CDS=1-1503, genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.56&CDS=1-1506, genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.77-mRNA-1_1&gene=genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.77&CDS=1-1395, snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.88&CDS=1-1524
3	OG0000003	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.180-mRNA-1_1&gene=augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.180&CDS=1-3513, augustus_masked-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.306-mRNA-1_1&gene=augustus_masked-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.306&CDS=1-3447, genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.101-mRNA-1_1&gene=genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.101&CDS=1-1743
4	OG0000004	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-0.9&CDS=1-2616, genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-1.52&CDS=1-2262, genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-0.112&CDS=1-2814, snap_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-2.17&CDS=1-2772
5	OG0000005	YHR114W, YJR061W, YKL201C, YPL206C	genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.146&CDS=1-3054, genemark-NODE_15_length_270368_cov_69.5672_ID_29-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_15_length_270368_cov_69.5672_ID_29-processed-gene-1.78&CDS=1-2325, genemark-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-4.154-mRNA-1_1&gene=genemark-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-4.154&CDS=1-2337, maker-NODE_7_length_450359_cov_65.6065_ID_13-snap-gene-2.163-mRNA-1_1&gene=maker-NODE_7_length_450359_cov_65.6065_ID_13-snap-gene-2.163&CDS=1-3864
6	OG0000006	YKL071W	genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.198-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.198&CDS=1-735, genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.61&CDS=1-741, genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.107-mRNA-1_1&gene=genemark-NODE_14_length_283762_cov_68.7995_ID_27-processed-gene-1.107&CDS=1-732, genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.67&CDS=1-717, genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.142-mRNA-1_1&gene=genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.142&CDS=1-744, genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.146&CDS=1-723, maker-NODE_1_length_1278667_cov_66.6163_ID_1-snap-gene-11.372-mRNA-1_1&gene=maker-NODE_1_length_1278667_cov_66.6163_ID_1-snap-gene-11.372&CDS=1-1356
7	OG0000007	YMR243C, YOR099W, YOR316C	augustus_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.140&CDS=1-3033, augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-1.15&CDS=1-1059, genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.74-mRNA-1_1&gene=genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.74&CDS=1-1716, maker-NODE_11_length_352897_cov_66.8228_ID_21-snap-gene-1.192-mRNA-1_1&gene=maker-NODE_11_length_352897_cov_66.8228_ID_21-snap-gene-1.192&CDS=1-2454, maker-NODE_5_length_524919_cov_64.9816_ID_9-augustus-gene-3.4-mRNA-1_1&gene=maker-NODE_5_length_524919_cov_64.9816_ID_9-augustus-gene-3.4&CDS=1-2319
8	OG0000008	YAL067C, YCR028C	augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.240-mRNA-1_1&gene=augustus_masked-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.240&CDS=1-2394, genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.122-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.122&CDS=1-1551, genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.119-mRNA-1_1&gene=genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.119&CDS=1-1665, genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.97-mRNA-1_1&gene=genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.97&CDS=1-1434, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-11.297-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-11.297&CDS=1-1524
9	OG0000009	YBL017C, YIL173W, YJL222W, YNR065C, YPR003C	augustus_masked-NODE_16_length_209552_cov_67.4697_ID_31-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-NODE_16_length_209552_cov_67.4697_ID_31-processed-gene-1.209&CDS=1-4857, augustus_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-1.48&CDS=1-4542
