	OrthologID	Metschnikowia_kipukae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-kipT_s13-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-7.32&CDS=1-2127, augustus_masked-kipT_s15-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-kipT_s15-processed-gene-0.7&CDS=1-1509, augustus_masked-kipT_s16-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-kipT_s16-processed-gene-0.7&CDS=1-2361, augustus_masked-kipT_s24-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-kipT_s24-processed-gene-0.19&CDS=1-927, augustus_masked-kipT_s41-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-kipT_s41-processed-gene-0.3&CDS=1-1551, augustus_masked-kipT_s55-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-kipT_s55-processed-gene-0.6&CDS=1-2130, genemark-kipT_s27-processed-gene-0.2-mRNA-1_1&gene=genemark-kipT_s27-processed-gene-0.2&CDS=1-987, genemark-kipT_s33-processed-gene-0.2-mRNA-1_1&gene=genemark-kipT_s33-processed-gene-0.2&CDS=1-1365, genemark-kipT_s58-processed-gene-3.68-mRNA-1_1&gene=genemark-kipT_s58-processed-gene-3.68&CDS=1-948, maker-kipT_s16-snap-gene-0.37-mRNA-1_1&gene=maker-kipT_s16-snap-gene-0.37&CDS=1-4107, maker-kipT_s23-augustus-gene-0.49-mRNA-1_1&gene=maker-kipT_s23-augustus-gene-0.49&CDS=1-870, snap_masked-kipT_s11-processed-gene-3.99-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-3.99&CDS=1-639, snap_masked-kipT_s16-processed-gene-0.22-mRNA-1_1&gene=snap_masked-kipT_s16-processed-gene-0.22&CDS=1-1479, snap_masked-kipT_s18-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kipT_s18-processed-gene-0.13&CDS=1-1806, snap_masked-kipT_s2-processed-gene-0.52-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.52&CDS=1-1803, snap_masked-kipT_s3-processed-gene-0.166-mRNA-1_1&gene=snap_masked-kipT_s3-processed-gene-0.166&CDS=1-1173, snap_masked-kipT_s62-processed-gene-0.83-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-0.83&CDS=1-2616	
1	OG0000001	augustus_masked-kipT_s13-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-6.63&CDS=1-2946, snap_masked-kipT_s2-processed-gene-9.42-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.42&CDS=1-1665, snap_masked-kipT_s38-processed-gene-1.103-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-1.103&CDS=1-1716, snap_masked-kipT_s38-processed-gene-5.22-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.22&CDS=1-1671, snap_masked-kipT_s42-processed-gene-2.186-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.186&CDS=1-1755, snap_masked-kipT_s42-processed-gene-2.217-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.217&CDS=1-1728, snap_masked-kipT_s58-processed-gene-3.215-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.215&CDS=1-1803	YBR068C, YCL025C, YDR508C, YKR039W
2	OG0000002	genemark-kipT_s8-processed-gene-15.3-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-15.3&CDS=1-4002, snap_masked-kipT_s13-processed-gene-7.66-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.66&CDS=1-2691, snap_masked-kipT_s24-processed-gene-2.139-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-2.139&CDS=1-1932, snap_masked-kipT_s63-processed-gene-2.77-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-2.77&CDS=1-1908, snap_masked-kipT_s8-processed-gene-18.34-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.34&CDS=1-1839	YAL005C, YDL229W, YKL073W, YLL024C, YNL209W, YPR072W
3	OG0000003	augustus_masked-kipT_s24-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-kipT_s24-processed-gene-3.77&CDS=1-2346, genemark-kipT_s25-processed-gene-1.132-mRNA-1_1&gene=genemark-kipT_s25-processed-gene-1.132&CDS=1-3423, genemark-kipT_s62-processed-gene-5.75-mRNA-1_1&gene=genemark-kipT_s62-processed-gene-5.75&CDS=1-2649, snap_masked-kipT_s11-processed-gene-0.61-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.61&CDS=1-2700, snap_masked-kipT_s22-processed-gene-7.83-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.83&CDS=1-3144, snap_masked-kipT_s22-processed-gene-8.95-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.95&CDS=1-3471, snap_masked-kipT_s22-processed-gene-8.96-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.96&CDS=1-3486, snap_masked-kipT_s58-processed-gene-3.185-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.185&CDS=1-2766	YLR256W
4	OG0000004	genemark-kipT_s13-processed-gene-4.9-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-4.9&CDS=1-4272, maker-kipT_s24-augustus-gene-5.4-mRNA-1_1&gene=maker-kipT_s24-augustus-gene-5.4&CDS=1-5118, maker-kipT_s8-snap-gene-12.105-mRNA-1_1&gene=maker-kipT_s8-snap-gene-12.105&CDS=1-6567, snap_masked-kipT_s19-processed-gene-2.95-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.95&CDS=1-4782, snap_masked-kipT_s2-processed-gene-3.42-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-3.42&CDS=1-4776, snap_masked-kipT_s42-processed-gene-2.207-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-2.207&CDS=1-4662	YDR135C, YGR281W, YLL048C
5	OG0000005	snap_masked-kipT_s19-processed-gene-7.57-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.57&CDS=1-1758, snap_masked-kipT_s22-processed-gene-6.76-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.76&CDS=1-1704, snap_masked-kipT_s62-processed-gene-5.178-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.178&CDS=1-1791, snap_masked-kipT_s8-processed-gene-1.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.78&CDS=1-1791	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
6	OG0000006	augustus_masked-kipT_s25-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-kipT_s25-processed-gene-3.163&CDS=1-3900, augustus_masked-kipT_s8-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-1.0&CDS=1-5967, augustus_masked-kipT_s8-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-2.7&CDS=1-2469, snap_masked-kipT_s38-processed-gene-0.82-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-0.82&CDS=1-3297, snap_masked-kipT_s8-processed-gene-18.16-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.16&CDS=1-2271	YER013W, YGL120C, YKL078W, YKR086W
7	OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
8	OG0000008	augustus_masked-kipT_s38-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-kipT_s38-processed-gene-5.159&CDS=1-582, genemark-kipT_s13-processed-gene-7.195-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-7.195&CDS=1-888, snap_masked-kipT_C3263-processed-gene-0.2-mRNA-1_1&gene=snap_masked-kipT_C3263-processed-gene-0.2&CDS=1-294, snap_masked-kipT_s15-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kipT_s15-processed-gene-0.8&CDS=1-426, snap_masked-kipT_s22-processed-gene-0.21-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-0.21&CDS=1-549, snap_masked-kipT_s25-processed-gene-0.116-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-0.116&CDS=1-888, snap_masked-kipT_s40-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kipT_s40-processed-gene-0.8&CDS=1-888	YKL096W
9	OG0000009	genemark-kipT_s11-processed-gene-3.137-mRNA-1_1&gene=genemark-kipT_s11-processed-gene-3.137&CDS=1-2622, genemark-kipT_s8-processed-gene-1.110-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-1.110&CDS=1-2232, snap_masked-kipT_s2-processed-gene-5.140-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-5.140&CDS=1-2451, snap_masked-kipT_s24-processed-gene-0.63-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-0.63&CDS=1-2250, snap_masked-kipT_s36-processed-gene-0.58-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.58&CDS=1-1836, snap_masked-kipT_s8-processed-gene-14.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.72&CDS=1-1761	YJR061W, YKL201C
10	OG0000010	snap_masked-kipT_s36-processed-gene-1.89-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-1.89&CDS=1-1695	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
11	OG0000011	genemark-kipT_s42-processed-gene-1.131-mRNA-1_1&gene=genemark-kipT_s42-processed-gene-1.131&CDS=1-1281, maker-kipT_s22-snap-gene-1.124-mRNA-1_1&gene=maker-kipT_s22-snap-gene-1.124&CDS=1-1593, snap_masked-kipT_s11-processed-gene-0.62-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-0.62&CDS=1-2208, snap_masked-kipT_s13-processed-gene-4.140-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.140&CDS=1-1533, snap_masked-kipT_s8-processed-gene-0.128-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-0.128&CDS=1-1977	YFL021W, YKR034W
12	OG0000012	augustus_masked-kipT_s13-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-5.121&CDS=1-2442, snap_masked-kipT_s18-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kipT_s18-processed-gene-0.14&CDS=1-1677, snap_masked-kipT_s58-processed-gene-1.96-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-1.96&CDS=1-1722	YBR298C, YDL247W, YGR289C, YJR160C
