	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035690_Candida_vartiovaarae
0	OG0000000	YBR240C, YDR207C	augustus_masked-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.113&CDS=1-2304, genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-1.158-mRNA-1_1&gene=genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-1.158&CDS=1-711, genemark-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-2.35&CDS=1-492, genemark-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-1.107-mRNA-1_1&gene=genemark-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-1.107&CDS=1-765, genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-2.58&CDS=1-765, genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-5.73-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-5.73&CDS=1-1788, genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.153&CDS=1-1983, genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-2.109-mRNA-1_1&gene=genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-2.109&CDS=1-1191, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.108-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.108&CDS=1-1371, maker-NODE_1_length_719504_cov_26.1459_ID_4637-augustus-gene-2.5-mRNA-1_1&gene=maker-NODE_1_length_719504_cov_26.1459_ID_4637-augustus-gene-2.5&CDS=1-1857, snap_masked-NODE_39_length_54668_cov_51.9025_ID_3190-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_39_length_54668_cov_51.9025_ID_3190-processed-gene-0.8&CDS=1-1446, snap_masked-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-4.118&CDS=1-618
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YPL274W	genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.109&CDS=1-1722, genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-0.110-mRNA-1_1&gene=genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-0.110&CDS=1-1740, genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-1.28&CDS=1-1782, genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-3.123-mRNA-1_1&gene=genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-3.123&CDS=1-1746, genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.46-mRNA-1_1&gene=genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.46&CDS=1-1746, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-2.92-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-2.92&CDS=1-1764, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.97-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.97&CDS=1-1770
2	OG0000002	YER073W, YMR169C, YMR170C, YOR374W, YPL061W	genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.131&CDS=1-1494, genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.142&CDS=1-1557, genemark-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-1.64&CDS=1-1545, genemark-NODE_29_length_98821_cov_28.1411_ID_3092-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_29_length_98821_cov_28.1411_ID_3092-processed-gene-0.92&CDS=1-1500, genemark-NODE_30_length_97626_cov_23.6733_ID_2772-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_30_length_97626_cov_23.6733_ID_2772-processed-gene-0.83&CDS=1-1563, genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-1.80-mRNA-1_1&gene=genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-1.80&CDS=1-1491
3	OG0000003	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.238-mRNA-1_1&gene=augustus_masked-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.238&CDS=1-1740, augustus_masked-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.239-mRNA-1_1&gene=augustus_masked-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.239&CDS=1-1758, genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-5.54-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-5.54&CDS=1-1722, genemark-NODE_48_length_33727_cov_56.3551_ID_3714-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_48_length_33727_cov_56.3551_ID_3714-processed-gene-0.25&CDS=1-1743, maker-NODE_17_length_211088_cov_32.7383_ID_2339-snap-gene-0.133-mRNA-1_1&gene=maker-NODE_17_length_211088_cov_32.7383_ID_2339-snap-gene-0.133&CDS=1-1089
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.105&CDS=1-480, genemark-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_19_length_180822_cov_36.1012_ID_4465-processed-gene-0.106&CDS=1-1683
5	OG0000005	YKR064W, YLR256W	augustus_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.204&CDS=1-2499, genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.24&CDS=1-2640, genemark-NODE_24_length_153470_cov_22.5394_ID_2397-processed-gene-0.249-mRNA-1_1&gene=genemark-NODE_24_length_153470_cov_22.5394_ID_2397-processed-gene-0.249&CDS=1-2760, genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-4.206-mRNA-1_1&gene=genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-4.206&CDS=1-1080, genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.71&CDS=1-2595, maker-NODE_25_length_149664_cov_31.4308_ID_2431-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_25_length_149664_cov_31.4308_ID_2431-augustus-gene-0.2&CDS=1-5220, maker-NODE_25_length_149664_cov_31.4308_ID_2431-snap-gene-0.253-mRNA-1_1&gene=maker-NODE_25_length_149664_cov_31.4308_ID_2431-snap-gene-0.253&CDS=1-2826
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_45_length_43159_cov_23.7185_ID_3560-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_45_length_43159_cov_23.7185_ID_3560-processed-gene-0.21&CDS=1-2637, genemark-NODE_46_length_41916_cov_22.4466_ID_3590-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_46_length_41916_cov_22.4466_ID_3590-processed-gene-0.44&CDS=1-2481, genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-1.150-mRNA-1_1&gene=genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-1.150&CDS=1-3210, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-4.124-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-4.124&CDS=1-2172
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_36_length_74578_cov_49.1665_ID_3424-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_36_length_74578_cov_49.1665_ID_3424-processed-gene-0.39&CDS=1-1329, maker-NODE_10_length_454449_cov_24.1248_ID_1905-snap-gene-3.6-mRNA-1_1&gene=maker-NODE_10_length_454449_cov_24.1248_ID_1905-snap-gene-3.6&CDS=1-1305
8	OG0000008	YDR242W	genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-1.59&CDS=1-1644, genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-2.184-mRNA-1_1&gene=genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-2.184&CDS=1-1623, genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-2.38&CDS=1-1716, genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.87&CDS=1-1608, maker-NODE_47_length_35293_cov_23.0284_ID_3650-augustus-gene-0.53-mRNA-1_1&gene=maker-NODE_47_length_35293_cov_23.0284_ID_3650-augustus-gene-0.53&CDS=1-3204, snap_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.56&CDS=1-2622
9	OG0000009	YDR338C, YHR032W	genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.191&CDS=1-1668, genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.98&CDS=1-1461, genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-3.40&CDS=1-1746, genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-0.6&CDS=1-1599, genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-1.128&CDS=1-1920
