	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-flattened_line_47-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.75&CDS=1-615
1	OG0000001	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_100-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.3&CDS=1-1236, snap_masked-flattened_line_3-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.82&CDS=1-2670
2	OG0000002	YJL158C	augustus_masked-flattened_line_201-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_201-processed-gene-0.4&CDS=1-237, augustus_masked-flattened_line_201-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_201-processed-gene-0.5&CDS=1-237, augustus_masked-flattened_line_71-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.57&CDS=1-270, augustus_masked-flattened_line_722-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_722-processed-gene-0.1&CDS=1-231, genemark-flattened_line_252-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_252-processed-gene-0.0&CDS=1-594, snap_masked-flattened_line_61-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.41&CDS=1-900
3	OG0000003	YIR013C, YLR013W, YMR136W	augustus_masked-flattened_line_0-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.130&CDS=1-1434, augustus_masked-flattened_line_0-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.26&CDS=1-1434, augustus_masked-flattened_line_59-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.37&CDS=1-1980
4	OG0000004	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_33-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.27&CDS=1-4836
5	OG0000005	YBR009C, YNL030W	augustus_masked-flattened_line_15-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.91&CDS=1-309, augustus_masked-flattened_line_23-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.9&CDS=1-309, augustus_masked-flattened_line_3-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.100&CDS=1-309
6	OG0000006	YDL082W, YMR142C	augustus_masked-flattened_line_0-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.103&CDS=1-597, augustus_masked-flattened_line_0-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.96&CDS=1-597, augustus_masked-flattened_line_59-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.3&CDS=1-597
7	OG0000007	YDL083C, YMR143W	genemark-flattened_line_0-processed-gene-3.55-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.55&CDS=1-423, genemark-flattened_line_0-processed-gene-8.5-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.5&CDS=1-423, genemark-flattened_line_59-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.131&CDS=1-417
8	OG0000008	YDR368W, YOR120W	augustus_masked-flattened_line_23-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.1&CDS=1-933, augustus_masked-flattened_line_27-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.31&CDS=1-930, augustus_masked-flattened_line_65-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.40&CDS=1-927
9	OG0000009	YFL059W, YMR096W, YNL333W	augustus_masked-flattened_line_0-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.96&CDS=1-879, augustus_masked-flattened_line_0-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.2&CDS=1-879
