	OrthologID	Komagataella_pastoris	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-chromosome_1-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-6.115&CDS=1-1536, augustus_masked-chromosome_3-processed-gene-20.132-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-20.132&CDS=1-2715, augustus_masked-chromosome_3-processed-gene-21.106-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-21.106&CDS=1-4359, snap_masked-chromosome_1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.66&CDS=1-1494, snap_masked-chromosome_1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.68&CDS=1-1623, snap_masked-chromosome_2-processed-gene-1.108-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.108&CDS=1-1566, snap_masked-chromosome_3-processed-gene-0.26-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.26&CDS=1-1620, snap_masked-chromosome_4-processed-gene-11.37-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.37&CDS=1-1587	YDR536W, YFL040W, YLR361C
1	OG0000001	augustus_masked-chromosome_1-processed-gene-15.29-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-15.29&CDS=1-1260, augustus_masked-chromosome_3-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-4.23&CDS=1-3951, maker-chromosome_2-snap-gene-20.128-mRNA-1_1&gene=maker-chromosome_2-snap-gene-20.128&CDS=1-2679, snap_masked-chromosome_2-processed-gene-21.158-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-21.158&CDS=1-1188, snap_masked-chromosome_3-processed-gene-4.140-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.140&CDS=1-1140	YBR199W, YIL085C, YKR061W, YNL029C, YOR099W
2	OG0000002	augustus_masked-chromosome_2-processed-gene-11.127-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-11.127&CDS=1-6561, augustus_masked-chromosome_2-processed-gene-22.20-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-22.20&CDS=1-2319, augustus_masked-chromosome_3-processed-gene-12.132-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.132&CDS=1-6732, augustus_masked-chromosome_3-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-6.19&CDS=1-1953	YBL017C, YIL107C, YIL173W, YJL222W, YNR065C
3	OG0000003	augustus_masked-chromosome_1-processed-gene-14.85-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-14.85&CDS=1-2277, snap_masked-chromosome_1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.46&CDS=1-1374, snap_masked-chromosome_1-processed-gene-13.94-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.94&CDS=1-1518, snap_masked-chromosome_3-processed-gene-0.25-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.25&CDS=1-1350, snap_masked-chromosome_3-processed-gene-16.125-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.125&CDS=1-1383, snap_masked-chromosome_4-processed-gene-4.3-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.3&CDS=1-1503	YHR176W, YJL003W
4	OG0000004	augustus_masked-chromosome_2-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-9.50&CDS=1-1641, genemark-chromosome_3-processed-gene-2.83-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-2.83&CDS=1-8847, maker-chromosome_1-augustus-gene-12.161-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-12.161&CDS=1-4317, snap_masked-chromosome_4-processed-gene-9.57-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-9.57&CDS=1-2484	YCL024W, YDR477W, YDR507C, YPL150W
5	OG0000005	genemark-chromosome_2-processed-gene-2.18-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-2.18&CDS=1-1758, maker-chromosome_3-snap-gene-16.50-mRNA-1_1&gene=maker-chromosome_3-snap-gene-16.50&CDS=1-3183, snap_masked-chromosome_1-processed-gene-12.35-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.35&CDS=1-1611, snap_masked-chromosome_1-processed-gene-25.87-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.87&CDS=1-1683, snap_masked-chromosome_2-processed-gene-12.138-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.138&CDS=1-1725	YBR132C, YEL063C, YOR348C
6	OG0000006	genemark-chromosome_2-processed-gene-5.67-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-5.67&CDS=1-5955, maker-chromosome_2-augustus-gene-18.1-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-18.1&CDS=1-4731, snap_masked-chromosome_1-processed-gene-13.59-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.59&CDS=1-4551, snap_masked-chromosome_4-processed-gene-15.28-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.28&CDS=1-4509	YDR011W, YNR070W, YOR153W, YPL058C
7	OG0000007	augustus_masked-chromosome_1-processed-gene-18.137-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-18.137&CDS=1-3624, snap_masked-chromosome_1-processed-gene-16.12-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-16.12&CDS=1-3015, snap_masked-chromosome_1-processed-gene-25.57-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.57&CDS=1-2259, snap_masked-chromosome_3-processed-gene-9.74-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-9.74&CDS=1-2667	YER013W, YGL120C, YKR086W, YNR011C
8	OG0000008	maker-chromosome_4-snap-gene-10.55-mRNA-1_1&gene=maker-chromosome_4-snap-gene-10.55&CDS=1-2736, snap_masked-chromosome_2-processed-gene-2.101-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.101&CDS=1-2034, snap_masked-chromosome_3-processed-gene-14.58-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.58&CDS=1-1839, snap_masked-chromosome_3-processed-gene-4.152-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.152&CDS=1-1971	YAL005C, YJL034W, YNL209W
9	OG0000009	snap_masked-chromosome_2-processed-gene-8.104-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.104&CDS=1-1485, snap_masked-chromosome_2-processed-gene-9.76-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.76&CDS=1-1575, snap_masked-chromosome_3-processed-gene-19.11-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.11&CDS=1-1491, snap_masked-chromosome_4-processed-gene-1.5-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.5&CDS=1-1503	YMR169C, YMR170C, YOR374W
