	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041678_Debaryomyces_prosopidis
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_101-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.4&CDS=1-2256, augustus_masked-flattened_line_109-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_109-processed-gene-0.5&CDS=1-1338, augustus_masked-flattened_line_152-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.0&CDS=1-807, augustus_masked-flattened_line_25-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.22&CDS=1-2127, augustus_masked-flattened_line_291-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_291-processed-gene-0.1&CDS=1-486, maker-flattened_line_101-augustus-gene-0.18-mRNA-1_1&gene=maker-flattened_line_101-augustus-gene-0.18&CDS=1-771
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-7.95&CDS=1-1704, augustus_masked-flattened_line_53-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.162&CDS=1-1704, maker-flattened_line_5-snap-gene-5.119-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-5.119&CDS=1-1662
3	OG0000003	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_1-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.45&CDS=1-1239, augustus_masked-flattened_line_160-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.0&CDS=1-894, augustus_masked-flattened_line_160-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.1&CDS=1-894, augustus_masked-flattened_line_21-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.181&CDS=1-1095, augustus_masked-flattened_line_5-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.26&CDS=1-1116, augustus_masked-flattened_line_69-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.31&CDS=1-417, snap_masked-flattened_line_69-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.75&CDS=1-1110
4	OG0000004	YDR402C, YJL039C	augustus_masked-flattened_line_142-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.6&CDS=1-1059, augustus_masked-flattened_line_142-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.7&CDS=1-714, augustus_masked-flattened_line_23-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.45&CDS=1-1572, augustus_masked-flattened_line_49-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.32&CDS=1-570, augustus_masked-flattened_line_57-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.63&CDS=1-6882, genemark-flattened_line_23-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.116&CDS=1-1416, maker-flattened_line_142-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_142-snap-gene-0.3&CDS=1-462
5	OG0000005		augustus_masked-flattened_line_1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-7.105&CDS=1-2220, augustus_masked-flattened_line_13-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.65&CDS=1-1809, augustus_masked-flattened_line_27-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.137&CDS=1-2769, augustus_masked-flattened_line_59-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.167&CDS=1-2475, genemark-flattened_line_69-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.5&CDS=1-3126, maker-flattened_line_3-snap-gene-2.149-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-2.149&CDS=1-5985, maker-flattened_line_7-augustus-gene-3.320-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-3.320&CDS=1-13743, snap_masked-flattened_line_15-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.95&CDS=1-1683, snap_masked-flattened_line_23-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.60&CDS=1-2187
6	OG0000006		augustus_masked-flattened_line_103-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_103-processed-gene-0.14&CDS=1-4047, augustus_masked-flattened_line_105-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.2&CDS=1-3903, augustus_masked-flattened_line_69-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.41&CDS=1-2679, snap_masked-flattened_line_111-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.5&CDS=1-1131, snap_masked-flattened_line_111-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.6&CDS=1-1752, snap_masked-flattened_line_113-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.8&CDS=1-363, snap_masked-flattened_line_43-processed-gene-0.225-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.225&CDS=1-375, snap_masked-flattened_line_59-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.93&CDS=1-216, snap_masked-flattened_line_93-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_93-processed-gene-0.8&CDS=1-636
7	OG0000007	Q0045, Q0060, Q0065, Q0070	maker-flattened_line_89-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.10&CDS=1-207, maker-flattened_line_89-snap-gene-0.12-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.12&CDS=1-717, maker-flattened_line_89-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.8&CDS=1-396, maker-flattened_line_89-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.9&CDS=1-585
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	snap_masked-flattened_line_77-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_77-processed-gene-0.14&CDS=1-1422
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_29-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.4&CDS=1-1389, augustus_masked-flattened_line_31-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.81&CDS=1-1392
