	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034605_Spencermartinsiella_europaea
0	OG0000000	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.38&CDS=1-1629, augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.51&CDS=1-1701, augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.109&CDS=1-1596, augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.120&CDS=1-1596, augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.20&CDS=1-1635, augustus_masked-NODE_20_length_270141_cov_27.5218_ID_39-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_20_length_270141_cov_27.5218_ID_39-processed-gene-1.39&CDS=1-1620, augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-1.181&CDS=1-1566, augustus_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-0.84&CDS=1-1671, augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.154&CDS=1-1650, augustus_masked-NODE_34_length_143944_cov_26.1735_ID_67-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_34_length_143944_cov_26.1735_ID_67-processed-gene-0.164&CDS=1-1677, augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.118&CDS=1-1650, augustus_masked-NODE_45_length_98638_cov_26.1847_ID_89-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_45_length_98638_cov_26.1847_ID_89-processed-gene-0.96&CDS=1-1644, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-1.25&CDS=1-1617, augustus_masked-NODE_51_length_61381_cov_27.0409_ID_101-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_51_length_61381_cov_27.0409_ID_101-processed-gene-0.7&CDS=1-1605, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.76&CDS=1-1617, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.81&CDS=1-1611, augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-0.13&CDS=1-1578, snap_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.111&CDS=1-1614, snap_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.112&CDS=1-1653
1	OG0000001		augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.85&CDS=1-804, augustus_masked-NODE_18_length_280325_cov_26.708_ID_35-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_18_length_280325_cov_26.708_ID_35-processed-gene-1.38&CDS=1-909, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-0.44&CDS=1-744, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-17.211-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-17.211&CDS=1-846, augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-1.48&CDS=1-831, augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-0.9&CDS=1-792, augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-0.27&CDS=1-771, augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-1.20&CDS=1-807, augustus_masked-NODE_27_length_218879_cov_27.44_ID_53-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_27_length_218879_cov_27.44_ID_53-processed-gene-1.140&CDS=1-867, augustus_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.6&CDS=1-798, augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.100&CDS=1-807, augustus_masked-NODE_47_length_87473_cov_28.0353_ID_93-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_47_length_87473_cov_28.0353_ID_93-processed-gene-0.16&CDS=1-789, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.45&CDS=1-777, augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-2.14&CDS=1-834, augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.132&CDS=1-792, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.41&CDS=1-786, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.42&CDS=1-810, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.53&CDS=1-933, maker-NODE_4_length_497818_cov_28.3057_ID_7-augustus-gene-1.130-mRNA-1_1&gene=maker-NODE_4_length_497818_cov_28.3057_ID_7-augustus-gene-1.130&CDS=1-876, snap_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-2.21&CDS=1-783
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.133&CDS=1-1716, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.67&CDS=1-1716, snap_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-3.130&CDS=1-1680
3	OG0000003		augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-2.42&CDS=1-2205, augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.158&CDS=1-1707, augustus_masked-NODE_31_length_167482_cov_25.969_ID_61-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_31_length_167482_cov_25.969_ID_61-processed-gene-0.4&CDS=1-2010, augustus_masked-NODE_35_length_134487_cov_28.4228_ID_69-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_35_length_134487_cov_28.4228_ID_69-processed-gene-0.3&CDS=1-1863, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-1.40&CDS=1-1962, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.10&CDS=1-2316, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.78&CDS=1-1752, maker-NODE_9_length_374175_cov_27.2202_ID_17-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_9_length_374175_cov_27.2202_ID_17-snap-gene-0.44&CDS=1-1695, snap_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.156&CDS=1-1914, snap_masked-NODE_62_length_7115_cov_24.9268_ID_123-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_62_length_7115_cov_24.9268_ID_123-processed-gene-0.5&CDS=1-1797
4	OG0000004	YDR402C	augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-0.92&CDS=1-1557, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.138&CDS=1-1539, augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.144&CDS=1-1545, augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-3.17&CDS=1-1566, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.37&CDS=1-1521, maker-NODE_18_length_280325_cov_26.708_ID_35-snap-gene-1.257-mRNA-1_1&gene=maker-NODE_18_length_280325_cov_26.708_ID_35-snap-gene-1.257&CDS=1-4593, maker-NODE_2_length_1276072_cov_27.1787_ID_3-snap-gene-10.59-mRNA-1_1&gene=maker-NODE_2_length_1276072_cov_27.1787_ID_3-snap-gene-10.59&CDS=1-3162, snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.85&CDS=1-1575
5	OG0000005	YLR004C	augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.49&CDS=1-1518, augustus_masked-NODE_17_length_297273_cov_27.7333_ID_33-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_17_length_297273_cov_27.7333_ID_33-processed-gene-0.24&CDS=1-1584, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-11.29&CDS=1-1581, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-4.9&CDS=1-1578, augustus_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.1&CDS=1-1515, augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.126&CDS=1-1518, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.18&CDS=1-1482
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-1.24&CDS=1-1413, maker-NODE_11_length_349578_cov_28.2102_ID_21-augustus-gene-1.45-mRNA-1_1&gene=maker-NODE_11_length_349578_cov_28.2102_ID_21-augustus-gene-1.45&CDS=1-1431
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-0.8&CDS=1-2040, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.31&CDS=1-2037
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-0.57&CDS=1-1521, snap_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.205-mRNA-1_1&gene=snap_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.205&CDS=1-1656
9	OG0000009	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-0.9&CDS=1-1785, snap_masked-NODE_37_length_124811_cov_26.8911_ID_73-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_37_length_124811_cov_26.8911_ID_73-processed-gene-0.67&CDS=1-1890
